Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,4687,3922,307,144,51,263,76.0,704.0,1357.0,85.0,4843.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,5620,4816,292,155,56,301,76.0,750.0,1739.0,108.0,5620.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,8989,8345,226,130,43,245,70.0,526.0,3896.0,113.0,8989.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,5256,4521,292,126,51,266,78.0,906.0,1506.0,102.0,5289.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,5107,4285,323,151,42,306,78.0,864.0,1405.0,119.0,5107.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,4939,4096,341,168,46,288,76.0,712.0,1336.0,108.0,4939.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,4932,4183,314,142,38,255,78.0,814.0,1299.0,104.0,4932.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,4837,4065,306,172,38,256,74.0,550.0,1250.0,118.0,4837.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,5126,4400,274,165,45,242,74.0,611.0,1409.0,121.0,5126.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,6375,5821,232,102,30,190,74.0,659.0,2315.0,117.0,6375.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/11 00:00:00,1397/12/12 00:00:00,1340.0,4732,4139,236,119,39,199,78.0,838.0,1307.0,95.0,5130.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,4907,4158,341,156,45,207,75.0,668.0,1235.0,129.0,4911.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,4720,3866,370,187,41,256,76.0,699.0,1229.0,96.0,4720.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,5043,4199,357,189,45,253,77.0,767.0,1368.0,137.0,5043.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,5339,4523,347,155,47,267,76.0,772.0,1589.0,127.0,5339.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/16 00:00:00,1397/12/17 00:00:00,1430.0,5656,4849,330,165,54,258,73.0,653.0,1781.0,134.0,5695.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,5049,4423,274,126,24,202,70.0,353.0,1424.0,109.0,5090.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,4824,4184,278,139,47,176,78.0,846.0,1271.0,101.0,4824.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,5569,4715,362,198,40,254,76.0,742.0,1751.0,128.0,5569.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,5334,4487,393,175,61,218,76.0,777.0,1494.0,145.0,5484.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/21 00:00:00,1397/12/22 00:00:00,935.0,4341,3680,279,147,28,207,75.0,520.0,1378.0,114.0,5466.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,5779,4871,367,210,57,274,75.0,731.0,1756.0,146.0,5811.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,6149,5224,330,261,52,282,71.0,637.0,1830.0,128.0,6149.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,6924,6006,375,243,55,245,71.0,607.0,2479.0,162.0,6924.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,6586,5652,354,237,56,287,75.0,796.0,2163.0,149.0,6586.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/26 00:00:00,1397/12/27 00:00:00,1430.0,6743,5747,362,268,69,297,73.0,762.0,2210.0,127.0,6794.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/27 00:00:00,1397/12/28 00:00:00,1435.0,7038,6044,379,250,51,314,72.0,649.0,2469.0,130.0,7062.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,5966,5331,232,159,41,203,70.0,349.0,1770.0,114.0,5992.0
543201,آستارا - اردبيل (آستارا - آق چاي),1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,6521,6162,145,79,27,108,74.0,527.0,2279.0,125.0,6521.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/01 00:00:00,1401/12/02 00:00:00,1395.0,5779,4848,447,124,41,319,67.0,333.0,861.0,776.0,5987.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/02 00:00:00,1401/12/03 00:00:00,1175.0,4837,3916,382,100,21,418,68.0,253.0,754.0,361.0,5796.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,6410,5043,604,157,45,561,67.0,407.0,1107.0,874.0,6410.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/04 00:00:00,1401/12/05 00:00:00,1410.0,6171,5240,366,128,24,413,65.0,267.0,738.0,266.0,6364.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/05 00:00:00,1401/12/06 00:00:00,1405.0,6307,5657,333,65,25,227,65.0,193.0,682.0,242.0,6377.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/06 00:00:00,1401/12/07 00:00:00,1415.0,5438,4526,426,112,23,351,71.0,376.0,784.0,348.0,5492.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/07 00:00:00,1401/12/08 00:00:00,1355.0,5675,4446,547,163,32,487,66.0,352.0,945.0,765.0,6086.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/08 00:00:00,1401/12/09 00:00:00,1270.0,5003,4009,433,120,30,411,67.0,277.0,740.0,474.0,5727.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/09 00:00:00,1401/12/10 00:00:00,1430.0,5705,4663,461,161,40,380,69.0,370.0,829.0,452.0,5756.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/10 00:00:00,1401/12/11 00:00:00,985.0,4044,3317,317,116,17,277,68.0,261.0,580.0,263.0,6116.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/11 00:00:00,1401/12/12 00:00:00,1365.0,6650,5420,507,171,53,499,65.0,360.0,1242.0,985.0,7226.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,9473,8707,367,89,26,284,63.0,211.0,1365.0,400.0,9473.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/13 00:00:00,1401/12/14 00:00:00,1350.0,5767,4776,442,129,28,392,69.0,426.0,860.0,683.0,6410.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/14 00:00:00,1401/12/15 00:00:00,1410.0,5970,4743,516,169,26,516,68.0,378.0,993.0,600.0,5999.0
543201,آستارا - اردبيل (آستارا - آق چاي),1401/12/15 00:00:00,1401/12/16 00:00:00,1430.0,5781,4637,538,152,43,411,67.0,343.0,871.0,571.0,5827.0
