Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543951,آستارا - تالش,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,8669,7882,307,96,97,287,76.0,8822.0,34.0,706.0,0.0
543951,آستارا - تالش,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,9309,8539,295,93,97,285,78.0,9309.0,43.0,825.0,0.0
543951,آستارا - تالش,1397/12/03 00:00:00,1397/12/04 00:00:00,1425.0,9355,8503,354,100,96,302,77.0,9516.0,48.0,1042.0,0.0
543951,آستارا - تالش,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,8757,7944,303,120,113,277,77.0,8759.0,44.0,695.0,0.0
543951,آستارا - تالش,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,8592,7743,352,109,90,298,77.0,8592.0,55.0,635.0,0.0
543951,آستارا - تالش,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,8703,7806,386,122,94,295,77.0,8703.0,51.0,657.0,0.0
543951,آستارا - تالش,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,8754,7925,357,109,86,277,77.0,8754.0,42.0,716.0,0.0
543951,آستارا - تالش,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,8734,7938,373,106,80,237,78.0,8739.0,62.0,681.0,0.0
543951,آستارا - تالش,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,8434,7730,298,99,77,230,77.0,8434.0,47.0,669.0,0.0
543951,آستارا - تالش,1397/12/10 00:00:00,1397/12/11 00:00:00,1330.0,7711,7071,280,88,65,207,78.0,8897.0,32.0,772.0,0.0
543951,آستارا - تالش,1397/12/11 00:00:00,1397/12/12 00:00:00,1390.0,8195,7459,306,88,87,255,78.0,8565.0,59.0,652.0,0.0
543951,آستارا - تالش,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,8562,7657,412,145,90,258,78.0,8613.0,64.0,690.0,0.0
543951,آستارا - تالش,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,8391,7556,354,141,90,250,76.0,8443.0,42.0,662.0,0.0
543951,آستارا - تالش,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,8651,7726,399,121,90,315,77.0,8651.0,44.0,685.0,0.0
543951,آستارا - تالش,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,9138,8276,396,139,71,256,77.0,9138.0,43.0,795.0,0.0
543951,آستارا - تالش,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,9055,8283,339,103,76,254,76.0,9061.0,49.0,805.0,0.0
543951,آستارا - تالش,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,8617,7792,347,107,101,270,72.0,8617.0,15.0,751.0,0.0
543951,آستارا - تالش,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,8461,7700,281,114,89,277,77.0,8461.0,44.0,654.0,0.0
543951,آستارا - تالش,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,8742,7901,388,115,87,251,77.0,8742.0,50.0,664.0,0.0
543951,آستارا - تالش,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,8460,7619,350,141,79,271,77.0,8701.0,43.0,705.0,0.0
543951,آستارا - تالش,1397/12/21 00:00:00,1397/12/22 00:00:00,1000.0,7174,6409,320,95,71,279,77.0,8783.0,38.0,621.0,0.0
543951,آستارا - تالش,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,9488,8537,383,128,107,333,77.0,9548.0,68.0,830.0,0.0
543951,آستارا - تالش,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,9718,8850,345,128,115,280,75.0,9718.0,42.0,891.0,0.0
543951,آستارا - تالش,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,9603,8700,358,149,112,284,76.0,9603.0,34.0,909.0,0.0
543951,آستارا - تالش,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,9860,9070,317,126,101,246,78.0,9860.0,46.0,986.0,0.0
543951,آستارا - تالش,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,9849,9058,368,83,103,237,79.0,9849.0,70.0,889.0,0.0
543951,آستارا - تالش,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,10458,9820,289,68,92,189,76.0,10458.0,35.0,1120.0,0.0
543951,آستارا - تالش,1397/12/28 00:00:00,1397/12/29 00:00:00,1430.0,9339,8874,179,48,70,168,71.0,9440.0,5.0,911.0,0.0
543951,آستارا - تالش,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,11449,11129,107,41,83,89,77.0,11449.0,15.0,1584.0,0.0
543951,آستارا - تالش,1401/12/01 00:00:00,1401/12/02 00:00:00,1365.0,9080,7980,604,114,25,357,76.0,9742.0,205.0,425.0,0.0
543951,آستارا - تالش,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,9466,8315,609,123,18,401,72.0,9515.0,83.0,402.0,0.0
543951,آستارا - تالش,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,10075,8820,694,113,19,429,74.0,10075.0,153.0,525.0,0.0
543951,آستارا - تالش,1401/12/04 00:00:00,1401/12/05 00:00:00,1400.0,9494,8511,547,79,19,338,73.0,9799.0,165.0,413.0,0.0
543951,آستارا - تالش,1401/12/05 00:00:00,1401/12/06 00:00:00,1395.0,9468,8455,532,89,19,373,71.0,9617.0,86.0,433.0,0.0
543951,آستارا - تالش,1401/12/06 00:00:00,1401/12/07 00:00:00,1400.0,9655,8607,544,110,19,375,74.0,9857.0,151.0,481.0,0.0
543951,آستارا - تالش,1401/12/07 00:00:00,1401/12/08 00:00:00,1430.0,9656,8412,737,114,17,376,73.0,9769.0,128.0,461.0,0.0
543951,آستارا - تالش,1401/12/08 00:00:00,1401/12/09 00:00:00,1235.0,8032,7067,548,88,19,310,72.0,9645.0,110.0,379.0,0.0
543951,آستارا - تالش,1401/12/09 00:00:00,1401/12/10 00:00:00,1385.0,9082,7942,621,130,23,366,72.0,9564.0,119.0,450.0,0.0
543951,آستارا - تالش,1401/12/10 00:00:00,1401/12/11 00:00:00,1390.0,9673,8468,674,111,25,395,72.0,9961.0,125.0,471.0,0.0
543951,آستارا - تالش,1401/12/11 00:00:00,1401/12/12 00:00:00,1405.0,9864,8739,634,107,24,360,74.0,10347.0,151.0,507.0,0.0
543951,آستارا - تالش,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,10608,9487,592,93,17,419,73.0,10608.0,126.0,597.0,0.0
543951,آستارا - تالش,1401/12/13 00:00:00,1401/12/14 00:00:00,1405.0,9657,8520,587,98,22,430,74.0,9965.0,153.0,487.0,0.0
543951,آستارا - تالش,1401/12/14 00:00:00,1401/12/15 00:00:00,1290.0,8696,7651,559,101,18,367,72.0,9978.0,87.0,417.0,0.0
543951,آستارا - تالش,1401/12/15 00:00:00,1401/12/16 00:00:00,1365.0,9182,7902,745,97,21,417,73.0,9997.0,115.0,480.0,0.0
543951,آستارا - تالش,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,9783,8762,535,98,18,370,70.0,9783.0,55.0,385.0,0.0
543951,آستارا - تالش,1401/12/17 00:00:00,1401/12/18 00:00:00,1330.0,9501,8447,568,104,20,362,72.0,10157.0,62.0,454.0,0.0
543951,آستارا - تالش,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,10349,9374,502,93,14,366,73.0,10349.0,110.0,574.0,0.0
543951,آستارا - تالش,1401/12/19 00:00:00,1401/12/20 00:00:00,1370.0,10101,9037,570,89,23,382,74.0,10888.0,121.0,568.0,0.0
