Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543451,آستانه - لاهيجان,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,36651,35191,818,216,180,246,67.0,37331.0,25.0,13867.0,0.0
543451,آستانه - لاهيجان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,40124,38536,876,239,195,278,67.0,40124.0,39.0,15783.0,0.0
543451,آستانه - لاهيجان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,37018,35714,663,207,190,244,67.0,37018.0,33.0,13774.0,0.0
543451,آستانه - لاهيجان,1397/12/04 00:00:00,1397/12/05 00:00:00,1425.0,36316,34810,821,216,207,262,69.0,36686.0,30.0,12851.0,0.0
543451,آستانه - لاهيجان,1397/12/05 00:00:00,1397/12/06 00:00:00,1410.0,34551,33013,894,227,196,221,68.0,35539.0,31.0,12302.0,0.0
543451,آستانه - لاهيجان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,36110,34590,871,209,162,278,67.0,36110.0,35.0,12965.0,0.0
543451,آستانه - لاهيجان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,36871,35247,914,248,195,267,68.0,36871.0,31.0,13567.0,0.0
543451,آستانه - لاهيجان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,37547,35811,1027,242,200,267,65.0,37547.0,34.0,14069.0,0.0
543451,آستانه - لاهيجان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,38268,36667,942,234,208,217,65.0,38268.0,32.0,14478.0,0.0
543451,آستانه - لاهيجان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,33443,32237,650,166,157,233,65.0,33443.0,23.0,11576.0,0.0
