Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543454,آستانه - کوچصفهان,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,24739,23613,584,178,105,259,85.0,25130.0,591.0,6220.0,0.0
543454,آستانه - کوچصفهان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,26022,24911,566,165,119,261,84.0,26022.0,583.0,6418.0,0.0
543454,آستانه - کوچصفهان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,30821,29946,352,155,123,245,82.0,30821.0,572.0,10516.0,0.0
543454,آستانه - کوچصفهان,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,25953,24814,590,177,101,271,85.0,25953.0,625.0,6406.0,0.0
543454,آستانه - کوچصفهان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,24936,23719,651,198,104,264,84.0,24936.0,629.0,5997.0,0.0
543454,آستانه - کوچصفهان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,24493,23252,636,206,121,278,84.0,24493.0,634.0,5563.0,0.0
543454,آستانه - کوچصفهان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,25435,24218,642,191,117,267,85.0,25435.0,681.0,6224.0,0.0
543454,آستانه - کوچصفهان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,26116,24840,666,209,114,287,83.0,26116.0,519.0,6579.0,0.0
543454,آستانه - کوچصفهان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,24726,23559,579,193,126,269,83.0,24726.0,542.0,5698.0,0.0
543454,آستانه - کوچصفهان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,28170,27335,334,172,114,215,82.0,28170.0,394.0,8775.0,0.0
543454,آستانه - کوچصفهان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,25953,24729,635,213,112,264,86.0,25953.0,731.0,6369.0,0.0
543454,آستانه - کوچصفهان,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,25045,23771,682,212,117,263,84.0,25045.0,559.0,6174.0,0.0
543454,آستانه - کوچصفهان,1397/12/13 00:00:00,1397/12/14 00:00:00,1420.0,23849,22570,685,203,102,289,85.0,24264.0,683.0,5651.0,0.0
