Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543402,آستانه - کياشهر,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,8124,8000,72,23,12,17,83.0,8218.0,264.0,629.0,0.0
543402,آستانه - کياشهر,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,8452,8329,80,20,6,17,85.0,8452.0,365.0,650.0,0.0
543402,آستانه - کياشهر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,8091,8005,49,16,6,15,83.0,8091.0,262.0,722.0,0.0
543402,آستانه - کياشهر,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,7811,7681,94,19,10,7,84.0,7811.0,284.0,569.0,0.0
543402,آستانه - کياشهر,1397/12/05 00:00:00,1397/12/06 00:00:00,1430.0,7551,7383,115,25,8,20,85.0,7566.0,335.0,518.0,0.0
543402,آستانه - کياشهر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,7598,7453,87,37,7,14,83.0,7598.0,255.0,479.0,0.0
543402,آستانه - کياشهر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,8188,8051,96,22,4,15,86.0,8188.0,393.0,592.0,0.0
543402,آستانه - کياشهر,1397/12/08 00:00:00,1397/12/09 00:00:00,1420.0,8223,8084,99,18,7,15,82.0,8256.0,223.0,671.0,0.0
543402,آستانه - کياشهر,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,7872,7738,82,29,8,15,82.0,7872.0,278.0,650.0,0.0
543402,آستانه - کياشهر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,7280,7197,53,12,4,14,84.0,7280.0,227.0,581.0,0.0
543402,آستانه - کياشهر,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,8149,8027,73,24,9,16,85.0,8149.0,326.0,645.0,0.0
