Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,4885,3998,318,229,45,295,72.0,533.0,1349.0,176.0,5042.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,6118,5251,293,245,55,274,72.0,586.0,2048.0,226.0,6118.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,9177,8308,323,207,53,286,67.0,465.0,3978.0,329.0,9177.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,5357,4525,267,225,55,285,74.0,655.0,1529.0,208.0,5385.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,5211,4262,315,288,57,289,73.0,645.0,1437.0,223.0,5211.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,5166,4186,341,290,46,303,72.0,562.0,1430.0,196.0,5166.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,5065,4198,303,245,37,282,74.0,640.0,1369.0,205.0,5065.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,4867,4046,284,263,47,227,70.0,391.0,1231.0,193.0,4867.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,5296,4532,277,209,46,232,70.0,467.0,1429.0,205.0,5296.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,6610,5858,270,217,40,225,71.0,593.0,2469.0,249.0,6610.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/11 00:00:00,1397/12/12 00:00:00,1340.0,4796,4067,292,196,40,201,74.0,673.0,1306.0,181.0,5101.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,5114,4199,330,291,54,240,70.0,515.0,1379.0,196.0,5118.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,4757,3836,345,284,62,230,72.0,570.0,1262.0,167.0,4757.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,5188,4216,349,298,57,268,72.0,575.0,1442.0,226.0,5188.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,5657,4717,347,275,61,257,72.0,609.0,1669.0,237.0,5657.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/16 00:00:00,1397/12/17 00:00:00,1430.0,5877,5038,296,248,45,250,71.0,571.0,1808.0,221.0,5912.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,4987,4243,295,190,48,211,69.0,377.0,1404.0,188.0,5018.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,4963,4168,282,232,60,221,74.0,635.0,1317.0,173.0,4963.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,5741,4787,365,298,52,239,72.0,614.0,1663.0,210.0,5741.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,5446,4472,317,347,50,260,72.0,639.0,1637.0,227.0,5581.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/21 00:00:00,1397/12/22 00:00:00,930.0,4508,3751,244,236,42,235,71.0,468.0,1414.0,206.0,5702.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,5971,4945,382,279,53,312,73.0,656.0,1768.0,299.0,6002.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,6328,5421,338,271,56,242,68.0,411.0,2012.0,227.0,6328.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,6733,5739,365,253,66,310,68.0,446.0,2336.0,295.0,6733.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,6474,5562,371,247,52,242,72.0,600.0,2119.0,331.0,6474.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/26 00:00:00,1397/12/27 00:00:00,1430.0,6378,5507,331,225,59,256,71.0,531.0,2072.0,311.0,6424.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/27 00:00:00,1397/12/28 00:00:00,1435.0,6508,5793,295,180,44,196,71.0,488.0,2210.0,304.0,6533.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,5428,5003,168,97,40,120,68.0,304.0,1550.0,222.0,5456.0
543251,اردبيل - آستارا (آق چاي - آستارا),1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,8216,7929,114,61,34,78,69.0,405.0,3146.0,169.0,8216.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/01 00:00:00,1401/12/02 00:00:00,1400.0,5330,4510,434,85,62,239,63.0,302.0,1031.0,244.0,5505.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/02 00:00:00,1401/12/03 00:00:00,1175.0,4503,3823,351,51,38,240,61.0,81.0,521.0,177.0,5397.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,5157,4299,455,83,36,284,61.0,147.0,856.0,290.0,5157.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/04 00:00:00,1401/12/05 00:00:00,1410.0,6200,5402,356,67,39,336,60.0,118.0,608.0,237.0,6416.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/05 00:00:00,1401/12/06 00:00:00,1370.0,5898,5231,309,80,23,255,60.0,101.0,519.0,236.0,6065.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/06 00:00:00,1401/12/07 00:00:00,1405.0,5195,4422,391,81,31,270,64.0,176.0,627.0,270.0,5231.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/07 00:00:00,1401/12/08 00:00:00,1355.0,4658,3819,467,70,38,264,60.0,134.0,826.0,268.0,4910.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/08 00:00:00,1401/12/09 00:00:00,1235.0,4371,3607,393,62,28,281,63.0,143.0,563.0,187.0,5115.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/09 00:00:00,1401/12/10 00:00:00,1415.0,5316,4389,483,86,46,312,63.0,172.0,701.0,244.0,5449.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/10 00:00:00,1401/12/11 00:00:00,985.0,3836,3177,317,48,35,259,63.0,109.0,480.0,182.0,5886.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/11 00:00:00,1401/12/12 00:00:00,1365.0,5464,4699,415,87,46,217,60.0,121.0,1025.0,250.0,6068.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,9282,8479,360,76,40,327,58.0,113.0,1105.0,369.0,9282.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/13 00:00:00,1401/12/14 00:00:00,1350.0,4815,4096,379,86,35,219,61.0,145.0,874.0,222.0,5167.0
543251,اردبيل - آستارا (آق چاي - آستارا),1401/12/14 00:00:00,1401/12/15 00:00:00,1410.0,5286,4371,470,76,43,326,61.0,136.0,845.0,268.0,5308.0
