Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543904,اسالم - تالش ,1396/01/01 00:10:00,1396/01/02 00:00:00,7617,7541,35,14,21,6,73.53,1232.0,1149.0,0.0,7932.0,1420.0
543904,اسالم - تالش ,1396/01/02 00:00:00,1396/01/03 00:00:00,13913,13703,86,16,49,59,68.02,2462.0,2320.0,0.0,14549.0,1360.0
543904,اسالم - تالش ,1396/01/03 00:10:00,1396/01/04 00:00:00,12805,12447,157,60,89,52,68.71,2688.0,2248.0,0.0,13018.0,1420.0
543904,اسالم - تالش ,1396/01/04 00:10:00,1396/01/05 00:00:00,11590,11340,134,31,59,26,68.73,2531.0,2240.0,0.0,11881.0,1415.0
543904,اسالم - تالش ,1396/01/05 00:10:00,1396/01/06 00:00:00,15363,15149,114,30,47,23,70.49,3442.0,3261.0,0.0,15759.0,1420.0
543904,اسالم - تالش ,1396/01/06 00:10:00,1396/01/07 00:00:00,16518,16252,131,22,75,38,70.81,3395.0,3326.0,0.0,16800.0,1415.0
543904,اسالم - تالش ,1396/01/07 00:10:00,1396/01/08 00:00:00,13805,13566,119,31,56,33,72.24,3137.0,2976.0,0.0,14407.0,1395.0
543904,اسالم - تالش ,1396/01/08 00:10:00,1396/01/09 00:00:00,11912,11713,81,28,54,36,74.35,2664.0,2557.0,0.0,12108.0,1420.0
543904,اسالم - تالش ,1396/01/09 00:10:00,1396/01/10 00:00:00,12594,12383,99,29,45,38,73.64,2684.0,2603.0,0.0,13044.0,1400.0
543904,اسالم - تالش ,1396/01/10 00:10:00,1396/01/11 00:00:00,14347,14049,148,32,63,55,73.35,2935.0,2865.0,0.0,14574.0,1420.0
543904,اسالم - تالش ,1396/01/11 00:10:00,1396/01/12 00:00:00,13735,13488,123,22,65,37,71.94,2509.0,2412.0,0.0,14133.0,1420.0
543904,اسالم - تالش ,1396/01/12 00:35:00,1396/01/13 00:00:00,7371,7241,50,18,43,19,77.18,1376.0,1304.0,0.0,8224.0,1300.0
543904,اسالم - تالش ,1396/01/13 00:10:00,1396/01/14 00:00:00,5825,5716,53,21,23,12,74.78,899.0,727.0,0.0,5924.0,1415.0
543904,اسالم - تالش ,1396/01/14 00:35:00,1396/01/15 00:00:00,11927,11646,138,31,56,56,72.27,1330.0,1272.0,0.0,12111.0,1395.0
543904,اسالم - تالش ,1396/01/15 00:35:00,1396/01/15 23:55:00,7423,7238,80,24,43,38,78.04,952.0,891.0,0.0,8026.0,1385.0
543904,اسالم - تالش ,1396/01/16 00:10:00,1396/01/17 00:00:00,11351,10836,248,58,100,109,73.54,1211.0,1148.0,0.0,11493.0,1420.0
543904,اسالم - تالش ,1396/01/17 00:15:00,1396/01/18 00:00:00,10854,10249,250,68,109,178,73.6,1126.0,1055.0,0.0,11021.0,1410.0
543904,اسالم - تالش ,1396/01/18 00:15:00,1396/01/19 00:00:00,9582,9117,211,57,70,127,68.83,816.0,738.0,0.0,10590.0,1405.0
543904,اسالم - تالش ,1396/01/19 00:10:00,1396/01/20 00:00:00,10700,10172,250,58,103,117,73.93,1122.0,987.0,0.0,11375.0,1385.0
543904,اسالم - تالش ,1396/01/20 00:35:00,1396/01/21 00:00:00,11910,11291,312,64,86,157,72.73,1171.0,1118.0,0.0,12272.0,1390.0
543904,اسالم - تالش ,1396/01/21 00:10:00,1396/01/22 00:00:00,13274,12572,352,84,87,179,68.33,1105.0,1051.0,0.0,13751.0,1420.0
543904,اسالم - تالش ,1396/01/22 00:15:00,1396/01/23 00:00:00,12048,11304,341,64,122,217,70.81,888.0,833.0,0.0,12207.0,1415.0
543904,اسالم - تالش ,1396/01/23 00:15:00,1396/01/24 00:00:00,7150,6893,98,45,42,72,79.29,1120.0,897.0,0.0,7276.0,1415.0
543904,اسالم - تالش ,1396/01/24 00:10:00,1396/01/25 00:00:00,7336,7131,100,20,42,43,79.52,1095.0,968.0,0.0,8075.0,1420.0
543904,اسالم - تالش ,1396/01/25 00:10:00,1396/01/26 00:00:00,6079,5781,105,45,70,78,78.24,666.0,611.0,0.0,6129.0,1430.0
543904,اسالم - تالش ,1396/01/26 00:35:00,1396/01/27 00:00:00,11052,10522,246,63,80,141,72.08,1060.0,1016.0,0.0,11851.0,1395.0
543904,اسالم - تالش ,1396/01/27 00:10:00,1396/01/28 00:00:00,7855,7314,298,59,82,102,73.55,959.0,676.0,0.0,8444.0,1420.0
543904,اسالم - تالش ,1396/01/28 00:10:00,1396/01/29 00:00:00,8493,8116,200,54,56,67,76.4,1022.0,884.0,0.0,8626.0,1420.0
543904,اسالم - تالش ,1396/01/29 00:10:00,1396/01/30 00:00:00,7213,6974,105,31,53,50,79.26,1066.0,900.0,0.0,7399.0,1410.0
543904,اسالم - تالش ,1396/01/30 00:10:00,1396/01/31 00:00:00,7808,7451,163,48,67,79,77.57,990.0,882.0,0.0,8266.0,1395.0
543904,اسالم - تالش ,1396/01/31 00:00:00,1396/02/01 00:00:00,13192,12406,369,83,112,222,71.67,1145.0,1089.0,0.0,13192.0,1440.0
543904,اسالم - تالش ,1395/01/01 00:00:00,1395/01/02 02:00:00,13300,13102,110,61,23,4,75.0,280.0,1073.0,0.0,,1485.0
543904,اسالم - تالش ,1395/01/02 02:00:00,1395/01/03 00:00:00,11798,11445,185,102,38,28,76.17,233.0,1598.0,0.0,,1320.0
543904,اسالم - تالش ,1395/01/03 00:00:00,1395/01/04 00:00:00,11280,11036,132,65,32,15,81.21,270.0,2223.0,0.0,,1425.0
543904,اسالم - تالش ,1395/01/04 00:00:00,1395/01/05 00:00:00,19344,18939,214,120,53,18,73.21,245.0,3506.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/05 00:00:00,1395/01/06 00:00:00,16747,16408,179,101,34,25,71.48,230.0,3054.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/06 00:00:00,1395/01/07 00:00:00,14174,13836,214,77,33,14,73.39,227.0,2577.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/07 00:00:00,1395/01/08 00:00:00,19622,19202,221,121,56,22,69.41,184.0,2953.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/08 00:00:00,1395/01/09 00:00:00,14439,13901,288,153,67,30,75.49,203.0,2800.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/09 00:00:00,1395/01/10 00:00:00,10206,9612,308,153,73,60,77.7,230.0,1907.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/10 00:00:00,1395/01/11 00:00:00,10708,10271,278,100,42,17,76.53,170.0,2200.0,0.0,,1410.0
543904,اسالم - تالش ,1395/01/11 00:00:00,1395/01/12 00:00:00,8172,7575,322,155,68,52,76.33,171.0,1267.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/12 00:00:00,1395/01/13 00:00:00,9574,9161,221,123,52,17,73.54,166.0,1164.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/13 00:00:00,1395/01/14 00:00:00,5453,4977,258,123,63,32,80.24,265.0,557.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/14 00:00:00,1395/01/15 00:00:00,7895,7292,358,151,51,43,80.55,315.0,875.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/15 00:00:00,1395/01/16 00:00:00,7450,7044,195,113,71,27,79.51,221.0,755.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/16 00:00:00,1395/01/17 00:00:00,6024,5537,264,135,46,42,81.91,230.0,611.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/17 00:00:00,1395/01/18 00:00:00,7564,6976,289,156,72,71,82.04,314.0,849.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/18 00:00:00,1395/01/19 00:00:00,8846,8216,296,161,113,60,79.41,343.0,885.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/19 00:00:00,1395/01/20 00:00:00,6819,6305,258,145,84,27,83.69,347.0,753.0,0.0,,1425.0
543904,اسالم - تالش ,1395/01/20 00:00:00,1395/01/21 00:00:00,6618,6034,270,163,91,60,82.11,350.0,604.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/21 00:00:00,1395/01/22 00:00:00,6727,6128,345,149,62,43,85.74,496.0,713.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/22 00:00:00,1395/01/23 00:00:00,9790,9080,365,178,97,70,79.17,398.0,960.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/23 00:00:00,1395/01/24 00:00:00,6631,6127,285,141,53,25,84.94,373.0,719.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/24 00:00:00,1395/01/25 00:00:00,5969,5082,463,237,121,66,81.32,300.0,560.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/25 00:00:00,1395/01/26 00:00:00,7281,6766,292,137,54,32,83.93,300.0,889.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/26 00:00:00,1395/01/27 00:00:00,6361,5628,359,208,104,62,83.48,348.0,676.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/27 00:00:00,1395/01/28 00:00:00,5250,4625,304,154,100,67,77.44,197.0,348.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/28 00:00:00,1395/01/29 00:00:00,7373,6750,324,168,93,38,81.77,291.0,732.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/29 00:00:00,1395/01/30 00:00:00,7941,7327,315,161,92,46,81.86,305.0,792.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/30 00:00:00,1395/01/31 00:00:00,7913,7387,246,145,98,37,82.23,377.0,784.0,0.0,,1440.0
543904,اسالم - تالش ,1395/01/31 00:00:00,1395/02/01 00:00:00,8710,8201,232,145,94,38,78.89,283.0,829.0,0.0,,1440.0
543904,اسالم - تالش ,1395/12/01 00:15:00,1395/12/02 00:00:00,9745,8951,348,88,136,222,70.68,211.0,872.0,0.0,9940.0,1390.0
543904,اسالم - تالش ,1395/12/02 00:10:00,1395/12/03 00:00:00,10892,9877,442,114,177,282,70.64,113.0,956.0,0.0,11036.0,1410.0
543904,اسالم - تالش ,1395/12/03 00:10:00,1395/12/04 00:00:00,10297,9289,479,131,165,233,72.57,112.0,1012.0,0.0,10543.0,1415.0
543904,اسالم - تالش ,1395/12/04 00:15:00,1395/12/05 00:00:00,10298,9561,344,86,108,199,72.22,105.0,1039.0,0.0,10752.0,1340.0
543904,اسالم - تالش ,1395/12/05 00:15:00,1395/12/06 00:00:00,8486,7796,318,90,98,184,69.82,99.0,774.0,0.0,8945.0,1355.0
543904,اسالم - تالش ,1395/12/06 00:15:00,1395/12/07 00:00:00,8239,7638,238,65,98,200,69.54,83.0,549.0,0.0,9576.0,1355.0
543904,اسالم - تالش ,1395/12/07 00:15:00,1395/12/08 00:00:00,8797,7568,363,145,181,540,69.1,73.0,713.0,0.0,9797.0,1400.0
543904,اسالم - تالش ,1395/12/08 00:15:00,1395/12/09 00:00:00,8465,6775,521,204,252,713,67.66,118.0,697.0,0.0,9014.0,1415.0
543904,اسالم - تالش ,1395/12/09 00:15:00,1395/12/10 00:00:00,12284,11402,417,97,131,237,69.56,73.0,1072.0,0.0,12459.0,1410.0
543904,اسالم - تالش ,1395/12/10 00:10:00,1395/12/11 00:00:00,13573,12582,454,111,124,302,70.27,1049.0,1253.0,0.0,14006.0,1395.0
543904,اسالم - تالش ,1395/12/11 00:15:00,1395/12/12 00:00:00,14469,13603,411,87,124,244,71.26,1476.0,1412.0,0.0,14673.0,1415.0
543904,اسالم - تالش ,1395/12/12 00:15:00,1395/12/13 00:00:00,11948,11252,330,66,113,187,71.56,1024.0,955.0,0.0,12122.0,1415.0
543904,اسالم - تالش ,1395/12/13 00:15:00,1395/12/14 00:00:00,9280,8865,182,45,85,103,73.75,745.0,698.0,0.0,9425.0,1415.0
543904,اسالم - تالش ,1395/12/14 00:10:00,1395/12/15 00:00:00,8866,8555,177,25,48,61,75.68,1122.0,1070.0,0.0,9326.0,1410.0
543904,اسالم - تالش ,1395/12/15 00:35:00,1395/12/16 00:00:00,5790,5598,105,20,30,37,74.27,893.0,703.0,0.0,5969.0,1395.0
543904,اسالم - تالش ,1395/12/16 00:10:00,1395/12/17 00:00:00,9484,9100,163,44,68,109,74.82,1109.0,1022.0,0.0,9994.0,1420.0
543904,اسالم - تالش ,1395/12/17 00:15:00,1395/12/18 00:00:00,8170,7781,195,34,72,88,76.11,1026.0,975.0,0.0,8483.0,1390.0
543904,اسالم - تالش ,1395/12/18 00:10:00,1395/12/19 00:00:00,14805,13998,395,78,107,227,71.0,1569.0,1506.0,0.0,15359.0,1420.0
543904,اسالم - تالش ,1395/12/19 00:15:00,1395/12/20 00:00:00,11321,10724,261,61,100,175,72.26,1363.0,1317.0,0.0,11479.0,1410.0
543904,اسالم - تالش ,1395/12/20 00:15:00,1395/12/21 00:00:00,11468,10884,247,55,112,170,72.31,1013.0,952.0,0.0,12005.0,1415.0
543904,اسالم - تالش ,1395/12/21 00:35:00,1395/12/22 00:00:00,11826,11253,274,57,100,142,69.39,1222.0,1170.0,0.0,12607.0,1395.0
543904,اسالم - تالش ,1395/12/22 00:15:00,1395/12/23 00:00:00,12363,11733,309,63,101,157,72.5,1445.0,1399.0,0.0,12862.0,1395.0
543904,اسالم - تالش ,1395/12/23 00:10:00,1395/12/24 00:00:00,16482,15465,497,101,123,296,70.58,1807.0,1753.0,0.0,16671.0,1420.0
543904,اسالم - تالش ,1395/12/24 00:10:00,1395/12/25 00:00:00,15565,14550,467,91,133,324,72.07,1558.0,1497.0,0.0,15761.0,1420.0
543904,اسالم - تالش ,1395/12/25 00:10:00,1395/12/26 00:00:00,15757,14761,493,85,133,285,69.3,1500.0,1454.0,0.0,15939.0,1420.0
543904,اسالم - تالش ,1395/12/26 00:10:00,1395/12/27 00:00:00,16983,16106,389,88,125,275,69.69,1906.0,1859.0,0.0,17192.0,1420.0
543904,اسالم - تالش ,1395/12/27 00:10:00,1395/12/28 00:00:00,16235,15455,393,56,128,203,70.85,1671.0,1624.0,0.0,16431.0,1420.0
543904,اسالم - تالش ,1395/12/28 00:15:00,1395/12/29 00:00:00,19056,18267,400,80,118,191,70.44,2426.0,2364.0,0.0,19321.0,1415.0
543904,اسالم - تالش ,1395/12/29 00:10:00,1395/12/30 00:00:00,13332,12958,162,27,98,87,72.63,1776.0,1734.0,0.0,15755.0,1245.0
543904,اسالم - تالش ,1395/12/30 00:10:00,1396/01/01 00:00:00,8573,8418,65,14,53,23,76.54,915.0,869.0,0.0,8753.0,1420.0
543904,اسالم - تالش ,1397/01/01 00:00:00,1397/01/02 00:00:00,19677,19415,99,35,49,79,74.0,48.0,3861.0,0.0,19677.0,1440.0
543904,اسالم - تالش ,1397/01/02 00:00:00,1397/01/03 00:00:00,23897,23583,142,55,57,60,73.0,59.0,6270.0,0.0,24710.0,1380.0
543904,اسالم - تالش ,1397/01/03 00:00:00,1397/01/04 00:00:00,27654,27280,161,54,83,76,66.0,31.0,7609.0,0.0,27654.0,1440.0
543904,اسالم - تالش ,1397/01/04 00:00:00,1397/01/05 00:00:00,30610,30076,216,86,115,117,69.0,43.0,9739.0,0.0,30610.0,1440.0
543904,اسالم - تالش ,1397/01/05 00:00:00,1397/01/06 00:00:00,31343,30755,276,100,105,107,68.0,34.0,10058.0,0.0,31343.0,1440.0
543904,اسالم - تالش ,1397/01/06 00:00:00,1397/01/07 00:00:00,31197,30551,310,105,98,133,68.0,34.0,9860.0,0.0,31197.0,1440.0
543904,اسالم - تالش ,1397/01/07 00:00:00,1397/01/08 00:00:00,30573,29862,332,115,101,163,68.0,45.0,9409.0,0.0,30573.0,1440.0
