Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543902,اسالم - خلخال,1396/01/01 00:15:00,1396/01/02 00:00:00,2274,2249,16,5,1,3,59.63,1.0,377.0,276.0,2325.0,1410.0
543902,اسالم - خلخال,1396/01/02 00:00:00,1396/01/03 00:00:00,2442,2403,29,6,1,3,56.9,0.0,461.0,250.0,2644.0,1365.0
543902,اسالم - خلخال,1396/01/03 00:15:00,1396/01/04 00:00:00,2225,2192,30,1,0,2,56.18,1.0,403.0,212.0,2281.0,1410.0
543902,اسالم - خلخال,1396/01/04 00:15:00,1396/01/05 00:00:00,2469,2438,24,4,0,3,55.54,1.0,464.0,278.0,2522.0,1410.0
543902,اسالم - خلخال,1396/01/05 00:15:00,1396/01/06 00:00:00,2622,2561,51,7,2,1,58.68,0.0,584.0,252.0,2684.0,1410.0
543902,اسالم - خلخال,1396/01/06 00:15:00,1396/01/07 00:00:00,2973,2900,65,3,3,2,57.95,2.0,652.0,264.0,3089.0,1400.0
543902,اسالم - خلخال,1396/01/07 00:15:00,1396/01/08 00:00:00,3262,3151,99,9,2,1,56.04,2.0,751.0,255.0,3338.0,1410.0
543902,اسالم - خلخال,1396/01/08 00:15:00,1396/01/09 00:00:00,2962,2859,95,4,4,0,54.6,1.0,581.0,221.0,3036.0,1410.0
543902,اسالم - خلخال,1396/01/09 00:15:00,1396/01/10 00:00:00,3441,3322,112,5,1,1,56.52,1.0,851.0,222.0,3529.0,1410.0
543902,اسالم - خلخال,1396/01/10 00:15:00,1396/01/11 00:00:00,3595,3466,112,13,3,1,56.83,1.0,907.0,280.0,3678.0,1410.0
543902,اسالم - خلخال,1396/01/11 00:15:00,1396/01/12 00:00:00,3814,3721,80,7,3,3,55.67,1.0,948.0,296.0,3905.0,1410.0
543902,اسالم - خلخال,1396/01/12 00:15:00,1396/01/13 00:00:00,2408,2335,67,3,2,1,59.34,0.0,430.0,254.0,2463.0,1410.0
543902,اسالم - خلخال,1396/01/13 00:15:00,1396/01/14 00:00:00,4327,4276,39,6,6,0,46.38,1.0,1067.0,302.0,4406.0,1410.0
543902,اسالم - خلخال,1396/01/14 00:15:00,1396/01/15 00:00:00,1665,1599,66,0,0,0,63.26,0.0,199.0,346.0,1707.0,1410.0
543902,اسالم - خلخال,1396/01/15 00:15:00,1396/01/16 00:00:00,1461,1358,95,7,0,1,64.72,5.0,118.0,290.0,1508.0,1410.0
543902,اسالم - خلخال,1396/01/16 00:15:00,1396/01/17 00:00:00,1557,1436,107,12,2,0,64.08,0.0,141.0,253.0,1585.0,1410.0
543902,اسالم - خلخال,1396/01/17 00:15:00,1396/01/18 00:00:00,1843,1727,104,6,2,4,62.82,0.0,202.0,263.0,1875.0,1410.0
543902,اسالم - خلخال,1396/01/18 00:15:00,1396/01/19 00:00:00,2503,2420,69,7,0,7,61.0,0.0,376.0,324.0,2542.0,1410.0
543902,اسالم - خلخال,1396/01/19 00:15:00,1396/01/20 00:00:00,1289,1188,94,1,0,6,65.15,2.0,83.0,186.0,1402.0,1350.0
543902,اسالم - خلخال,1396/01/20 00:15:00,1396/01/21 00:00:00,1438,1320,105,6,1,6,64.04,2.0,67.0,196.0,1461.0,1410.0
543902,اسالم - خلخال,1396/01/21 00:15:00,1396/01/22 00:00:00,1212,1083,118,9,1,1,63.26,0.0,58.0,205.0,1233.0,1410.0
543902,اسالم - خلخال,1396/01/22 00:15:00,1396/01/23 00:00:00,1480,1358,104,12,0,6,62.99,0.0,117.0,229.0,1504.0,1410.0
543902,اسالم - خلخال,1396/01/23 00:15:00,1396/01/24 00:00:00,1388,1274,104,6,1,3,63.3,0.0,100.0,183.0,1408.0,1410.0
543902,اسالم - خلخال,1396/01/24 00:15:00,1396/01/25 00:00:00,1894,1766,114,7,5,2,63.83,2.0,187.0,216.0,1923.0,1410.0
543902,اسالم - خلخال,1396/01/25 00:15:00,1396/01/26 00:00:00,2809,2725,75,3,4,2,60.8,1.0,522.0,298.0,2858.0,1410.0
543902,اسالم - خلخال,1396/01/26 00:15:00,1396/01/27 00:00:00,1264,1156,95,9,2,2,65.52,1.0,79.0,199.0,1283.0,1410.0
543902,اسالم - خلخال,1396/01/27 00:15:00,1396/01/28 00:00:00,1130,1023,91,8,3,5,62.18,1.0,53.0,167.0,1149.0,1410.0
543902,اسالم - خلخال,1396/01/28 00:15:00,1396/01/29 00:00:00,1255,1148,73,8,18,8,70.11,104.0,123.0,247.0,1423.0,1410.0
543902,اسالم - خلخال,1396/01/29 00:15:00,1396/01/30 00:00:00,1457,1354,89,7,1,6,64.63,2.0,103.0,202.0,1484.0,1410.0
