Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543953,اسالم - پونل,1397/12/01 00:10:00,1397/12/02 00:00:00,1280.0,11654,10471,571,151,102,359,82.0,12055.0,699.0,1314.0,0.0
543953,اسالم - پونل,1397/12/02 00:00:00,1397/12/03 00:00:00,1425.0,12060,10870,611,158,91,330,83.0,12223.0,837.0,1333.0,0.0
543953,اسالم - پونل,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,12872,11668,583,160,117,344,82.0,12872.0,821.0,1534.0,0.0
543953,اسالم - پونل,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,12082,10808,654,166,117,337,83.0,12140.0,969.0,1374.0,0.0
543953,اسالم - پونل,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,11979,10725,665,171,117,301,83.0,11979.0,934.0,1344.0,0.0
543953,اسالم - پونل,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,11275,9855,791,201,97,331,81.0,11275.0,1004.0,1079.0,0.0
543953,اسالم - پونل,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,12380,11054,691,185,103,347,82.0,12380.0,915.0,1455.0,0.0
543953,اسالم - پونل,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,11975,10766,638,166,91,314,82.0,11980.0,823.0,1305.0,0.0
543953,اسالم - پونل,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,10888,9785,595,155,86,267,81.0,10888.0,814.0,999.0,0.0
543953,اسالم - پونل,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,11524,10349,626,165,95,289,83.0,11524.0,941.0,1329.0,0.0
543953,اسالم - پونل,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,12086,10862,661,161,96,306,84.0,12086.0,928.0,1358.0,0.0
543953,اسالم - پونل,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,11803,10450,718,202,103,330,82.0,11858.0,786.0,1330.0,0.0
543953,اسالم - پونل,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,11397,10033,739,225,105,295,82.0,11455.0,965.0,1200.0,0.0
