Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,11907,11561,97,39,70,140,93.0,203.0,1360.0,0.0,12373.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/02 00:00:00,1397/12/03 00:00:00,1415.0,13749,13214,130,76,108,221,94.0,260.0,1904.0,0.0,14033.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,22349,21901,109,56,110,173,93.0,320.0,5406.0,0.0,22349.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,15545,15116,102,46,104,177,94.0,318.0,2061.0,0.0,15545.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,12486,12108,91,44,82,161,94.0,254.0,1349.0,0.0,12486.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,11885,11510,97,37,77,164,93.0,209.0,1267.0,0.0,11885.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,12028,11662,77,48,80,161,94.0,284.0,1324.0,0.0,12028.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,13822,12875,295,209,154,289,92.0,219.0,1884.0,0.0,13822.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,13303,12936,81,42,83,161,92.0,227.0,1675.0,0.0,13303.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,21907,21487,98,53,97,172,92.0,238.0,5155.0,0.0,21907.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,14855,14438,94,44,112,167,94.0,250.0,1933.0,0.0,14855.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/12 00:00:00,1397/12/13 00:00:00,1425.0,12129,11750,98,56,61,164,92.0,188.0,1266.0,0.0,12267.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,11600,11219,90,42,75,174,94.0,280.0,1275.0,0.0,11673.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/14 00:00:00,1397/12/15 00:00:00,1430.0,11887,11505,88,44,86,164,94.0,243.0,1343.0,0.0,11985.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,13260,12864,102,51,84,159,94.0,293.0,1590.0,0.0,13260.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,14321,13920,100,51,75,175,92.0,262.0,1942.0,0.0,14334.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,21951,21501,102,53,104,191,84.0,35.0,4773.0,0.0,21951.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,14517,14124,83,57,96,157,92.0,217.0,1743.0,0.0,14517.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,12368,11966,96,37,85,184,93.0,200.0,1412.0,0.0,12368.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,11849,11473,99,36,80,161,93.0,236.0,1280.0,0.0,12148.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/21 00:00:00,1397/12/22 00:00:00,990.0,10144,9838,61,33,74,138,93.0,165.0,1244.0,0.0,12843.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,13732,13287,115,46,76,208,91.0,185.0,1731.0,0.0,13732.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,14696,14231,130,43,72,220,92.0,254.0,1954.0,0.0,14696.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,19443,18999,124,46,92,182,92.0,250.0,3704.0,0.0,19443.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,15618,15161,107,50,86,214,91.0,191.0,2067.0,0.0,15618.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,14733,14236,131,49,91,226,91.0,235.0,1915.0,0.0,14733.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,14719,14208,111,64,111,225,90.0,171.0,1906.0,0.0,14719.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,14616,14088,104,53,103,268,90.0,237.0,2031.0,0.0,14681.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,14936,14440,99,51,98,248,90.0,183.0,2188.0,0.0,14936.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,18337,17802,283,64,142,46,82.0,23.0,1194.0,0.0,18373.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1401/12/02 00:00:00,1401/12/03 00:00:00,1365.0,15994,15502,267,52,127,46,85.0,35.0,1000.0,0.0,17156.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1401/12/03 00:00:00,1401/12/04 00:00:00,1375.0,16874,16351,267,76,130,50,82.0,30.0,1136.0,0.0,17934.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1401/12/04 00:00:00,1401/12/05 00:00:00,1320.0,16789,16312,246,66,112,53,85.0,40.0,1268.0,0.0,18627.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1401/12/05 00:00:00,1401/12/06 00:00:00,1400.0,25909,25308,331,68,150,52,80.0,46.0,2940.0,0.0,26278.0
543506,آزادراه رشت - قزوين (امامزاده هاشم - رستم‌آباد),1401/12/06 00:00:00,1401/12/07 00:00:00,1395.0,19490,18939,289,58,153,51,85.0,47.0,1424.0,0.0,20064.0
