Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,2879,2625,117,76,14,47,73.65,325.0,373.0,108.0,2879.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,3734,3295,204,135,40,60,72.52,340.0,651.0,132.0,4047.0,1375.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,3642,3109,251,172,31,79,69.47,183.0,576.0,105.0,3642.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,4361,3817,239,175,55,75,69.49,169.0,844.0,100.0,4361.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,5254,4390,380,284,72,128,72.35,346.0,1136.0,95.0,5254.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,5780,4465,630,397,94,194,71.55,395.0,1278.0,103.0,5791.0,1435.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,6103,4597,700,436,99,271,70.35,342.0,1455.0,92.0,6103.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,6352,4603,800,547,130,272,70.64,370.0,1522.0,94.0,6352.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,6853,4950,809,601,154,339,70.6,431.0,1819.0,103.0,6863.0,1435.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,7093,5568,712,434,99,280,70.95,410.0,1913.0,93.0,7093.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,8413,7465,406,317,91,134,70.89,444.0,2563.0,67.0,8413.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,7517,6599,416,300,74,128,72.53,441.0,2101.0,74.0,7517.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,6822,6512,145,95,29,41,68.44,198.0,2119.0,62.0,6822.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,5832,4785,469,328,78,172,70.65,260.0,1374.0,37.0,5832.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,5867,3371,1185,682,148,481,69.6,373.0,1288.0,72.0,5867.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/16 00:00:00,1396/01/17 00:00:00,6226,3200,1400,810,196,620,68.53,362.0,1414.0,78.0,6226.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/17 00:00:00,1396/01/18 00:00:00,6075,3181,1424,733,152,585,68.55,343.0,1401.0,103.0,6075.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/18 00:00:00,1396/01/19 00:00:00,5069,3315,804,454,123,373,68.93,312.0,1032.0,97.0,5069.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/19 00:00:00,1396/01/20 00:00:00,5902,2830,1464,780,192,636,68.03,359.0,1287.0,79.0,6015.0,1420.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/20 00:00:00,1396/01/21 00:00:00,6427,2866,1690,896,211,764,67.08,315.0,1508.0,87.0,6427.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/21 00:00:00,1396/01/21 23:10:00,5955,2671,1532,926,186,640,68.66,437.0,1363.0,78.0,6090.0,1390.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/22 00:25:00,1396/01/23 00:00:00,5523,2687,1467,807,172,390,70.01,466.0,1219.0,87.0,5572.0,1415.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/23 00:00:00,1396/01/24 00:00:00,6316,2996,1587,876,195,662,67.95,351.0,1428.0,90.0,6325.0,1435.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/24 00:00:00,1396/01/25 00:00:00,6278,3038,1588,779,158,715,68.29,314.0,1502.0,88.0,6334.0,1395.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/25 00:00:00,1396/01/26 00:00:00,5329,3400,798,435,172,524,68.71,293.0,1276.0,66.0,5349.0,1435.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/26 00:00:00,1396/01/27 00:00:00,6282,2762,1628,930,219,743,67.77,333.0,1448.0,77.0,6289.0,1435.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/27 00:00:00,1396/01/28 00:00:00,6329,2599,1719,936,192,883,65.59,274.0,1405.0,84.0,6329.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/28 00:00:00,1396/01/29 00:00:00,6570,2805,1821,855,221,868,67.42,364.0,1555.0,73.0,6570.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/29 00:00:00,1396/01/30 00:00:00,6614,2859,1730,903,229,893,66.85,332.0,1665.0,75.0,6614.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/30 00:00:00,1396/01/31 00:00:00,6723,3085,1694,909,251,784,66.88,272.0,1671.0,115.0,6723.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1396/01/31 00:00:00,1396/02/01 00:00:00,6328,2982,1625,852,159,710,68.05,375.0,1538.0,98.0,6328.0,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/01 00:00:00,1395/01/02 02:00:00,2138,1970,116,38,12,2,66.99,198.0,134.0,204.0,,1485.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/02 02:00:00,1395/01/03 00:00:00,2354,2152,151,42,9,0,63.97,120.0,184.0,281.0,,1305.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/03 00:00:00,1395/01/04 00:00:00,2782,2521,180,63,13,5,64.49,172.0,231.0,298.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/04 00:00:00,1395/01/05 00:00:00,3674,3364,226,60,22,2,63.88,265.0,408.0,305.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/05 00:00:00,1395/01/06 00:00:00,4244,3951,201,63,21,8,65.28,285.0,610.0,320.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/06 00:00:00,1395/01/07 00:00:00,4909,4653,177,66,10,3,65.96,263.0,808.0,256.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/07 00:00:00,1395/01/08 00:00:00,5093,4543,324,128,78,20,63.84,255.0,805.0,315.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/08 00:00:00,1395/01/09 00:00:00,5277,4542,432,166,91,46,60.98,205.0,754.0,306.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/09 00:00:00,1395/01/10 00:00:00,5043,4244,482,178,99,40,60.08,174.0,740.0,279.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/10 00:00:00,1395/01/11 00:00:00,5271,4462,474,187,110,38,61.25,264.0,770.0,353.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/11 00:00:00,1395/01/12 00:00:00,6711,6021,441,178,59,12,63.78,426.0,1228.0,449.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/12 00:00:00,1395/01/13 00:00:00,5408,4924,314,94,48,28,63.63,276.0,766.0,329.0,,1440.0
543605,امامزاده هاشم - رستم آباد ( جاده قديم),1395/01/13 00:00:00,1395/01/14 00:00:00,4116,3951,113,46,5,1,62.06,138.0,591.0,209.0,,1440.0
