Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/01 00:00:00,1401/12/02 00:00:00,1380,25485,21048,2774,454,106,1103,58,9,2439,0,26692
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/02 00:00:00,1401/12/03 00:00:00,1160,20487,16534,2342,388,157,1066,64,14,2015,0,26569
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/03 00:00:00,1401/12/04 00:00:00,1140,23352,18915,2563,471,124,1279,65,16,2880,0,31489
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/04 00:00:00,1401/12/05 00:00:00,725,14386,11930,1438,253,99,666,62,11,1424,0,32650
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/05 00:00:00,1401/12/06 00:00:00,855,14771,12677,1063,208,111,712,61,9,1083,0,24993
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/06 00:00:00,1401/12/07 00:00:00,1245,21584,17362,2393,413,156,1260,64,13,2214,0,25348
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/07 00:00:00,1401/12/08 00:00:00,1370,24294,18914,3081,567,146,1586,64,6,2493,0,26048
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/08 00:00:00,1401/12/09 00:00:00,1140,20366,15882,2565,446,138,1335,64,2,2188,0,26701
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/09 00:00:00,1401/12/10 00:00:00,1360,25879,20561,3081,540,160,1537,65,8,2969,0,27798
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/10 00:00:00,1401/12/11 00:00:00,1115,23880,19667,2604,390,117,1102,62,2,2859,0,32016
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/11 00:00:00,1401/12/12 00:00:00,1225,26591,23113,2471,257,122,628,55,7,2735,0,32820
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/12 00:00:00,1401/12/13 00:00:00,1230,22153,18848,1702,369,141,1093,66,7,2163,0,28230
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/13 00:00:00,1401/12/14 00:00:00,1370,24242,19341,2750,538,152,1461,66,19,2453,0,25962
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/14 00:00:00,1401/12/15 00:00:00,1380,25125,19718,3187,575,149,1496,65,11,2632,0,26662
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/15 00:00:00,1401/12/16 00:00:00,1350,26430,21059,3117,665,147,1442,66,17,3062,0,28623
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/16 00:00:00,1401/12/17 00:00:00,1080,23526,19444,2486,468,115,1013,59,6,2468,0,34225
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/17 00:00:00,1401/12/18 00:00:00,930,21609,18356,1896,375,92,890,62,5,2560,0,34013
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/18 00:00:00,1401/12/19 00:00:00,1320,24563,20522,2369,399,144,1129,60,3,1908,0,27534
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/19 00:00:00,1401/12/20 00:00:00,910,13151,10787,1158,311,82,813,66,5,1063,0,26655
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/20 00:00:00,1401/12/21 00:00:00,1390,26608,21655,2814,528,148,1463,66,14,2828,0,27927
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/21 00:00:00,1401/12/22 00:00:00,1190,23875,18694,3135,572,119,1355,66,34,2936,0,28490
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/22 00:00:00,1401/12/23 00:00:00,1285,26998,21711,3095,525,138,1529,65,8,3264,0,30224
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/23 00:00:00,1401/12/24 00:00:00,1050,19907,15878,2439,438,112,1040,61,4,2048,0,28677
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/24 00:00:00,1401/12/25 00:00:00,905,17294,13913,2018,337,86,940,57,0,1651,0,29968
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/25 00:00:00,1401/12/26 00:00:00,590,11516,9358,1266,222,78,592,62,0,1106,0,34166
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/26 00:00:00,1401/12/26 14:55:00,60,2127,1967,98,18,8,36,64,0,329,0,32962
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/27 00:45:00,1401/12/27 17:55:00,205,2620,2157,300,38,27,98,57,0,168,0,21945
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/28 20:10:00,1401/12/28 23:55:00,160,6186,5994,142,16,17,17,48,0,652,0,34318
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/12/29 00:00:00,1402/01/01 00:00:00,540,19211,18237,582,85,98,209,61,1,2524,0,44739
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/01/01 00:00:00,1401/01/02 00:00:00,780,24491,23905,357,68,92,69,57,11,1894,0,55979
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/01/02 01:05:00,1401/01/03 00:00:00,780,25579,24715,525,107,138,94,54,2,1901,0,53288
543280,آزادراه قزوين - رشت (امامزاده هاشم),1401/01/03 00:15:00,1401/01/04 00:00:00,945,27798,26800,578,119,131,170,58,6,2523,0,52745
