Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543101,امامزاده هاشم - تقاطع سراوان,1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,24916,20455,1850,1073,380,1158,84.0,1303.0,6551.0,0.0,26382.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,29242,24776,1877,1056,357,1176,85.0,1871.0,7954.0,0.0,29242.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,24445,21176,1117,758,369,1025,86.0,1645.0,5938.0,0.0,24445.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,22241,17803,1841,1045,441,1111,84.0,1386.0,4676.0,0.0,22388.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/05 00:00:00,1397/12/06 00:00:00,1430.0,21812,16969,2027,1178,387,1251,84.0,1456.0,4348.0,0.0,21931.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/06 00:00:00,1397/12/07 00:00:00,1430.0,21988,16910,2226,1200,446,1206,81.0,1028.0,4511.0,0.0,22161.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,23613,18522,2231,1175,461,1224,82.0,1128.0,5255.0,0.0,23613.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,27620,22228,2275,1284,493,1340,80.0,1147.0,7419.0,0.0,27620.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,28610,23727,2126,1113,417,1227,82.0,1240.0,7522.0,0.0,28610.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,23210,19834,1125,851,333,1067,84.0,1164.0,5219.0,0.0,23210.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,22548,17940,2038,950,415,1205,84.0,1373.0,4721.0,0.0,22548.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,22780,17515,2216,1326,429,1294,83.0,1385.0,4779.0,0.0,22901.0
543101,امامزاده هاشم - تقاطع سراوان,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,22253,16872,2221,1347,443,1370,84.0,1443.0,4529.0,0.0,22473.0
