Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543284,امامزاده هاشم - شاقاجي,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,2081,1741,332,3,0,5,57,0,89,0,2081
543284,امامزاده هاشم - شاقاجي,1401/12/02 00:00:00,1401/12/03 00:00:00,1315,1967,1678,281,7,0,1,58,6,65,0,2280
543284,امامزاده هاشم - شاقاجي,1401/12/03 00:00:00,1401/12/04 00:00:00,1340,2209,1862,332,7,0,8,58,5,102,0,2443
543284,امامزاده هاشم - شاقاجي,1401/12/04 00:00:00,1401/12/05 00:00:00,1295,2429,2084,331,10,0,4,55,9,131,0,2701
543284,امامزاده هاشم - شاقاجي,1401/12/05 00:00:00,1401/12/06 00:00:00,1385,1545,1491,46,5,0,3,57,0,35,0,1654
543284,امامزاده هاشم - شاقاجي,1401/12/06 00:00:00,1401/12/07 00:00:00,1400,2144,1746,392,5,1,0,57,5,89,0,2163
543284,امامزاده هاشم - شاقاجي,1401/12/07 00:00:00,1401/12/08 00:00:00,1435,2108,1751,349,4,0,4,56,9,87,0,2117
543284,امامزاده هاشم - شاقاجي,1401/12/08 00:00:00,1401/12/09 00:00:00,1220,1656,1400,242,8,0,6,56,3,54,0,2189
543284,امامزاده هاشم - شاقاجي,1401/12/09 00:00:00,1401/12/10 00:00:00,1420,2238,1841,386,7,0,4,56,4,93,0,2290
543284,امامزاده هاشم - شاقاجي,1401/12/10 00:00:00,1401/12/11 00:00:00,1400,2451,2012,426,7,1,5,56,8,106,0,2483
543284,امامزاده هاشم - شاقاجي,1401/12/11 00:00:00,1401/12/12 00:00:00,1415,2450,2078,365,5,1,1,56,4,105,0,2524
543284,امامزاده هاشم - شاقاجي,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,1899,1824,65,9,0,1,59,3,75,0,1899
543284,امامزاده هاشم - شاقاجي,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,2199,1784,406,5,0,4,55,4,131,0,2199
543284,امامزاده هاشم - شاقاجي,1401/12/14 00:00:00,1401/12/15 00:00:00,1415,2223,1794,421,6,0,2,56,5,103,0,2228
543284,امامزاده هاشم - شاقاجي,1401/12/15 00:00:00,1401/12/16 00:00:00,1435,2343,1941,390,8,0,4,53,7,285,0,2370
543284,امامزاده هاشم - شاقاجي,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,2378,2041,328,5,0,4,57,3,96,0,2378
543284,امامزاده هاشم - شاقاجي,1401/12/17 00:00:00,1401/12/18 00:00:00,1440,2356,2229,118,4,0,5,59,5,104,0,2356
543284,امامزاده هاشم - شاقاجي,1401/12/18 00:00:00,1401/12/19 00:00:00,1425,2193,1891,301,1,0,0,54,1,82,0,2197
543284,امامزاده هاشم - شاقاجي,1401/12/19 00:00:00,1401/12/20 00:00:00,1430,1923,1844,66,7,0,6,60,2,89,0,1945
543284,امامزاده هاشم - شاقاجي,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,2200,1829,359,8,0,4,57,4,92,0,2200
543284,امامزاده هاشم - شاقاجي,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,2126,1789,326,6,1,4,53,6,270,0,2367
543284,امامزاده هاشم - شاقاجي,1401/12/22 00:00:00,1401/12/23 00:00:00,1360,2246,1886,347,10,0,3,57,3,116,0,2361
543284,امامزاده هاشم - شاقاجي,1401/12/23 00:00:00,1401/12/24 00:00:00,1400,2332,1939,383,6,1,3,56,2,100,0,2393
543284,امامزاده هاشم - شاقاجي,1401/12/24 00:00:00,1401/12/25 00:00:00,1435,2511,2139,357,8,0,7,56,3,126,0,2538
543284,امامزاده هاشم - شاقاجي,1401/12/25 00:00:00,1401/12/26 00:00:00,1435,3124,2752,362,7,0,3,58,2,188,0,3128
543284,امامزاده هاشم - شاقاجي,1401/12/26 00:00:00,1401/12/27 00:00:00,1440,3128,3036,76,6,0,10,62,2,180,0,3128
543284,امامزاده هاشم - شاقاجي,1401/12/27 00:00:00,1401/12/28 00:00:00,1225,2408,2142,253,5,0,8,58,3,136,0,3252
543284,امامزاده هاشم - شاقاجي,1401/12/28 00:05:00,1401/12/29 00:00:00,1145,4061,3806,246,4,1,4,59,3,315,0,4241
543284,امامزاده هاشم - شاقاجي,1401/12/29 00:00:00,1401/12/29 02:55:00,175,166,164,2,0,0,0,55,0,2,0,1352
