Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544751,املش - شلمان,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,5321,5090,199,12,13,7,49.0,5364.0,0.0,1019.0,175.0
544751,املش - شلمان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,5556,5349,173,14,9,11,49.0,5556.0,1.0,1053.0,201.0
544751,املش - شلمان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,4677,4509,131,12,16,9,49.0,4677.0,2.0,777.0,132.0
544751,املش - شلمان,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,5302,5109,160,15,11,7,49.0,5335.0,3.0,1002.0,192.0
544751,املش - شلمان,1397/12/05 00:00:00,1397/12/05 05:55:00,355.0,147,135,9,3,0,0,56.0,5403.0,1.0,3.0,7.0
544751,املش - شلمان,1397/12/06 10:20:00,1397/12/07 00:00:00,820.0,3959,3803,128,14,8,6,49.0,5320.0,2.0,823.0,160.0
544751,املش - شلمان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,5882,5677,168,15,11,11,49.0,5882.0,3.0,1249.0,233.0
544751,املش - شلمان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,5247,5032,166,20,12,17,48.0,5247.0,2.0,925.0,153.0
544751,املش - شلمان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,5316,5105,172,18,9,12,48.0,5316.0,2.0,999.0,207.0
544751,املش - شلمان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,4608,4481,100,7,11,9,50.0,4608.0,0.0,856.0,122.0
544751,املش - شلمان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,5316,5091,176,19,14,16,49.0,5316.0,3.0,1002.0,179.0
544751,املش - شلمان,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,5124,4918,165,14,10,17,49.0,5124.0,5.0,949.0,173.0
544751,املش - شلمان,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,5266,5045,175,21,9,16,47.0,5295.0,3.0,850.0,232.0
544751,املش - شلمان,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,5514,5347,136,17,9,5,49.0,5514.0,3.0,1037.0,172.0
