Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543701,املش - کلان کلايه,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,2902,2816,76,4,2,4,64.0,2915.0,66.0,308.0,50.0
543701,املش - کلان کلايه,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,3275,3195,71,5,3,1,65.0,3275.0,88.0,424.0,53.0
543701,املش - کلان کلايه,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,3048,2985,54,8,0,1,63.0,3048.0,77.0,375.0,48.0
543701,املش - کلان کلايه,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,2838,2750,72,13,1,2,66.0,2843.0,100.0,282.0,43.0
543701,املش - کلان کلايه,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,2759,2677,67,7,3,5,65.0,2759.0,109.0,265.0,39.0
543701,املش - کلان کلايه,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,3051,2989,51,7,2,2,64.0,3051.0,66.0,347.0,37.0
543701,املش - کلان کلايه,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,3046,2961,75,4,4,2,65.0,3046.0,96.0,327.0,46.0
543701,املش - کلان کلايه,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,3009,2929,71,6,2,1,64.0,3012.0,93.0,298.0,44.0
543701,املش - کلان کلايه,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,3224,3157,59,5,3,0,64.0,3224.0,79.0,396.0,39.0
543701,املش - کلان کلايه,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,2817,2761,49,2,5,0,63.0,2817.0,84.0,348.0,34.0
543701,املش - کلان کلايه,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,2922,2833,76,8,1,4,65.0,2922.0,89.0,328.0,29.0
543701,املش - کلان کلايه,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,2919,2816,92,8,3,0,65.0,2919.0,108.0,315.0,53.0
543701,املش - کلان کلايه,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,2982,2897,72,9,3,1,65.0,3000.0,85.0,300.0,44.0
543701,املش - کلان کلايه,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,2961,2868,81,11,1,0,65.0,2961.0,94.0,310.0,45.0
543701,املش - کلان کلايه,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,3042,2926,96,12,2,6,65.0,3042.0,100.0,347.0,48.0
543701,املش - کلان کلايه,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,3369,3277,81,9,1,1,65.0,3371.0,121.0,433.0,54.0
543701,املش - کلان کلايه,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,2557,2516,35,5,1,0,60.0,2557.0,25.0,220.0,29.0
543701,املش - کلان کلايه,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,2876,2807,56,9,0,4,65.0,2876.0,99.0,292.0,34.0
