Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543310,بندرانزلي - حسن رود,1401/12/01 00:00:00,1401/12/02 00:00:00,1010,11897,11386,296,38,24,153,72,77,867,0,17056
543310,بندرانزلي - حسن رود,1401/12/02 00:00:00,1401/12/03 00:00:00,1220,16011,14486,1129,87,36,273,74,402,1252,0,20351
543310,بندرانزلي - حسن رود,1401/12/03 00:00:00,1401/12/03 23:50:00,985,12020,11349,388,54,31,198,71,48,869,0,21297
543310,بندرانزلي - حسن رود,1401/12/04 00:50:00,1401/12/04 23:20:00,750,8639,8039,446,42,6,106,72,108,598,0,21465
543310,بندرانزلي - حسن رود,1401/12/05 00:00:00,1401/12/06 00:00:00,975,12492,12100,244,29,16,103,69,46,710,0,18559
543310,بندرانزلي - حسن رود,1401/12/06 00:00:00,1401/12/07 00:00:00,1245,17576,16535,640,47,31,323,71,101,1344,0,21619
543310,بندرانزلي - حسن رود,1401/12/07 00:00:00,1401/12/08 00:00:00,1120,13823,13077,408,85,28,225,70,67,925,0,18962
543310,بندرانزلي - حسن رود,1401/12/08 00:00:00,1401/12/09 00:00:00,1085,13787,12951,517,80,24,215,69,83,940,0,19263
543310,بندرانزلي - حسن رود,1401/12/09 00:00:00,1401/12/10 00:00:00,1300,18161,17064,693,96,22,286,68,137,1282,0,21189
543310,بندرانزلي - حسن رود,1401/12/10 00:00:00,1401/12/11 00:00:00,1260,17718,16863,452,108,28,267,69,48,1263,0,21532
543310,بندرانزلي - حسن رود,1401/12/11 00:00:00,1401/12/12 00:00:00,1275,7459,7125,177,47,18,92,68,14,448,0,18844
543310,بندرانزلي - حسن رود,1401/12/12 00:00:00,1401/12/13 00:00:00,1320,10274,9462,666,53,16,77,70,192,937,0,18524
543310,بندرانزلي - حسن رود,1401/12/13 00:00:00,1401/12/14 00:00:00,890,10069,9514,316,58,15,166,70,74,540,0,21788
543310,بندرانزلي - حسن رود,1401/12/14 00:00:00,1401/12/15 00:00:00,1025,14119,13403,383,80,17,236,69,47,1082,0,20775
543310,بندرانزلي - حسن رود,1401/12/15 00:00:00,1401/12/16 00:00:00,1300,19151,18182,450,84,25,410,69,29,1394,0,21497
543310,بندرانزلي - حسن رود,1401/12/16 00:00:00,1401/12/17 00:00:00,1155,16528,15778,357,77,25,291,67,21,1052,0,20768
543310,بندرانزلي - حسن رود,1401/12/17 00:00:00,1401/12/18 00:00:00,1095,13145,12711,230,56,12,136,67,12,682,0,19188
543310,بندرانزلي - حسن رود,1401/12/18 00:00:00,1401/12/19 00:00:00,1150,16644,15973,313,64,13,281,67,7,1180,0,21319
543310,بندرانزلي - حسن رود,1401/12/19 00:00:00,1401/12/20 00:00:00,1335,20133,19553,231,57,19,273,68,22,1520,0,22843
543310,بندرانزلي - حسن رود,1401/12/20 00:00:00,1401/12/21 00:00:00,895,11555,11040,260,54,15,186,68,8,794,0,20671
543310,بندرانزلي - حسن رود,1401/12/21 00:00:00,1401/12/22 00:00:00,1175,17083,16226,419,74,25,339,68,29,1311,0,21314
543310,بندرانزلي - حسن رود,1401/12/22 00:00:00,1401/12/23 00:00:00,1135,17067,16246,400,81,15,325,67,22,1337,0,21211
543310,بندرانزلي - حسن رود,1401/12/23 00:00:00,1401/12/24 00:00:00,1195,15014,14346,345,59,18,246,69,27,897,0,18649
543310,بندرانزلي - حسن رود,1401/12/24 00:00:00,1401/12/25 00:00:00,840,10675,10236,225,44,7,163,69,35,659,0,21562
543310,بندرانزلي - حسن رود,1401/12/25 00:00:00,1401/12/25 23:25:00,620,5372,5149,111,27,6,79,68,10,246,0,18660
543310,بندرانزلي - حسن رود,1401/12/26 00:10:00,1401/12/26 04:40:00,205,741,725,9,1,0,6,69,7,12,0,15564
543310,بندرانزلي - حسن رود,1401/12/27 00:05:00,1401/12/27 02:30:00,135,286,286,0,0,0,0,70,0,0,0,17071
543310,بندرانزلي - حسن رود,1401/12/28 06:05:00,1401/12/29 00:00:00,360,5725,5626,52,12,1,34,65,1,241,0,16760
543310,بندرانزلي - حسن رود,1401/12/29 00:00:00,1402/01/01 00:00:00,875,10752,10518,112,38,5,79,67,8,644,0,15864
543310,بندرانزلي - حسن رود,1402/01/01 00:00:00,1402/01/02 00:00:00,780,6768,6682,40,11,9,26,67,10,303,0,10441
543310,بندرانزلي - حسن رود,1402/01/02 01:05:00,1402/01/02 12:10:00,650,5920,5824,49,9,14,24,64,6,305,0,17985
543310,بندرانزلي - حسن رود,1402/01/03 00:20:00,1402/01/04 00:00:00,720,9704,9538,77,25,7,57,67,7,783,0,18760
543310,بندرانزلي - حسن رود,1402/01/04 00:05:00,1402/01/04 21:55:00,695,8544,8389,65,16,13,61,69,24,565,0,18116
543310,بندرانزلي - حسن رود,1402/01/05 03:20:00,1402/01/05 06:50:00,210,1112,1094,14,1,1,2,68,1,18,0,19171
543310,بندرانزلي - حسن رود,1402/01/06 01:50:00,1402/01/06 15:40:00,405,4751,4613,64,16,5,53,69,6,283,0,14375
543310,بندرانزلي - حسن رود,1402/01/07 05:15:00,1402/01/07 13:45:00,390,7668,7411,131,25,12,89,68,4,722,0,22178
543310,بندرانزلي - حسن رود,1402/01/08 03:25:00,1402/01/08 11:40:00,215,957,919,22,1,1,14,70,3,31,0,12499
543310,بندرانزلي - حسن رود,1402/01/09 01:15:00,1402/01/09 17:15:00,255,2873,2784,51,9,2,27,65,0,233,0,34431
543310,بندرانزلي - حسن رود,1402/01/10 01:00:00,1402/01/11 00:00:00,780,14835,14329,225,42,21,218,68,5,1507,0,26359
543310,بندرانزلي - حسن رود,1402/01/11 00:00:00,1402/01/12 00:00:00,355,3743,3682,29,5,4,23,66,9,170,0,16866
543310,بندرانزلي - حسن رود,1402/01/12 00:00:00,1402/01/13 00:00:00,1275,21386,21003,201,29,24,129,66,12,1596,0,23378
543310,بندرانزلي - حسن رود,1402/01/13 00:00:00,1402/01/14 00:00:00,1250,18236,17983,110,36,8,99,66,17,1252,0,19952
543310,بندرانزلي - حسن رود,1402/01/14 00:00:00,1402/01/15 00:00:00,840,10005,9742,146,25,12,80,69,20,562,0,19542
543310,بندرانزلي - حسن رود,1402/01/15 00:00:00,1402/01/15 12:35:00,745,8947,8611,177,24,12,123,69,10,613,0,17369
543310,بندرانزلي - حسن رود,1402/01/16 00:40:00,1402/01/17 00:00:00,785,9488,9053,208,38,14,175,69,9,672,0,27083
543310,بندرانزلي - حسن رود,1402/01/17 00:05:00,1402/01/18 00:00:00,1145,16296,15795,210,76,22,193,65,29,1027,0,33495
543310,بندرانزلي - حسن رود,1402/01/18 00:00:00,1402/01/18 14:10:00,745,6559,6371,67,42,7,72,60,17,288,0,17550
543310,بندرانزلي - حسن رود,1402/01/19 00:10:00,1402/01/20 00:00:00,1225,17509,16856,276,66,14,297,65,22,1011,0,20898
543310,بندرانزلي - حسن رود,1402/01/20 00:00:00,1402/01/21 00:00:00,520,4194,3993,101,17,6,77,70,13,216,0,15796
543310,بندرانزلي - حسن رود,1402/01/21 02:40:00,1402/01/21 21:40:00,1050,16438,15569,422,78,16,353,68,16,1154,0,19790
543310,بندرانزلي - حسن رود,1402/01/22 00:20:00,1402/01/23 00:00:00,855,8779,8417,201,34,14,113,69,23,448,0,17306
543310,بندرانزلي - حسن رود,1402/01/23 00:00:00,1402/01/24 00:00:00,1290,15775,15210,264,55,19,227,68,20,867,0,17134
543310,بندرانزلي - حسن رود,1402/01/24 00:00:00,1402/01/25 00:00:00,1415,22305,21202,473,86,34,510,69,33,1634,0,22816
543310,بندرانزلي - حسن رود,1402/01/25 00:00:00,1402/01/26 00:00:00,1405,20860,20307,208,52,38,255,68,36,1408,0,21588
543310,بندرانزلي - حسن رود,1402/01/26 00:00:00,1402/01/27 00:00:00,1270,19005,18063,421,85,32,404,68,28,1400,0,22212
543310,بندرانزلي - حسن رود,1402/01/27 00:00:00,1402/01/28 00:00:00,1365,18757,17893,377,160,21,306,61,12,1135,0,20023
543310,بندرانزلي - حسن رود,1402/01/28 00:00:00,1402/01/28 20:20:00,1115,15858,15018,394,65,26,355,69,15,1112,0,18888
543310,بندرانزلي - حسن رود,1402/01/29 02:40:00,1402/01/29 13:05:00,550,6964,6580,191,34,12,147,70,6,484,0,18440
