Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543351,انزلي - خمام,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,22525,21687,483,94,106,155,78.0,23015.0,97.0,5398.0,0.0
543351,انزلي - خمام,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,25532,24708,446,97,106,175,78.0,25532.0,147.0,6617.0,0.0
543351,انزلي - خمام,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,30488,29907,270,96,119,96,74.0,30488.0,156.0,10854.0,0.0
543351,انزلي - خمام,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,24204,23421,437,89,106,151,79.0,24204.0,161.0,5698.0,0.0
543351,انزلي - خمام,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,22939,22153,441,103,101,141,79.0,22939.0,164.0,5485.0,0.0
543351,انزلي - خمام,1397/12/06 00:00:00,1397/12/07 00:00:00,1405.0,21876,21006,468,95,121,186,78.0,22583.0,142.0,4915.0,0.0
543351,انزلي - خمام,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,24049,23129,495,148,108,169,78.0,24049.0,136.0,5856.0,0.0
543351,انزلي - خمام,1397/12/08 00:00:00,1397/12/08 16:05:00,955.0,13003,12476,285,65,82,95,80.0,23727.0,106.0,2713.0,0.0
543351,انزلي - خمام,1397/12/09 10:50:00,1397/12/10 00:00:00,790.0,18605,18012,310,81,78,124,75.0,23569.0,58.0,5311.0,0.0
543351,انزلي - خمام,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,26821,26302,252,75,107,85,75.0,26821.0,70.0,8627.0,0.0
543351,انزلي - خمام,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,24775,23845,509,128,140,153,78.0,24775.0,172.0,6168.0,0.0
543351,انزلي - خمام,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,23944,22930,509,146,136,223,78.0,23944.0,131.0,5981.0,0.0
543351,انزلي - خمام,1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,23133,22161,526,126,134,186,78.0,23133.0,115.0,5663.0,0.0
543351,انزلي - خمام,1397/12/14 00:00:00,1397/12/15 00:00:00,1190.0,17851,17192,341,80,96,142,79.0,23608.0,127.0,4085.0,0.0
543351,انزلي - خمام,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,24702,23697,538,127,132,208,78.0,24702.0,121.0,6376.0,0.0
543351,انزلي - خمام,1397/12/16 00:00:00,1397/12/17 00:00:00,1440.0,25287,24306,508,139,146,188,76.0,25287.0,71.0,6810.0,0.0
543351,انزلي - خمام,1397/12/17 00:00:00,1397/12/18 00:00:00,1435.0,22609,22085,241,73,99,111,75.0,22627.0,51.0,5376.0,0.0
543351,انزلي - خمام,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,24006,23118,499,103,138,148,78.0,24006.0,84.0,5825.0,0.0
543351,انزلي - خمام,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,24213,23279,489,138,128,179,78.0,24213.0,125.0,6073.0,0.0
543351,انزلي - خمام,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,23207,22266,492,134,129,186,79.0,23805.0,152.0,5766.0,0.0
543351,انزلي - خمام,1397/12/21 00:00:00,1397/12/22 00:00:00,1035.0,20617,19798,432,96,120,171,78.0,24596.0,106.0,5492.0,0.0
543351,انزلي - خمام,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,25299,24276,543,119,159,202,78.0,25299.0,142.0,6606.0,0.0
543351,انزلي - خمام,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,25444,24478,477,133,150,206,78.0,25444.0,142.0,6487.0,0.0
543351,انزلي - خمام,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,24899,24253,329,81,113,123,78.0,24899.0,147.0,6371.0,0.0
543351,انزلي - خمام,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,26152,25043,574,136,163,236,79.0,26152.0,171.0,6729.0,0.0
543351,انزلي - خمام,1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,25227,24290,502,127,135,173,79.0,25321.0,180.0,6495.0,0.0
543351,انزلي - خمام,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,25024,24189,425,94,131,185,77.0,25024.0,81.0,6312.0,0.0
543351,انزلي - خمام,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,22564,22034,323,56,75,76,77.0,22678.0,75.0,4863.0,0.0
