Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543302,انزلي - رضوانشهر,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,7518,7129,267,55,38,29,82.0,7644.0,1246.0,2115.0,64.0
543302,انزلي - رضوانشهر,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,8685,8319,226,58,60,22,81.0,8685.0,1353.0,2756.0,82.0
543302,انزلي - رضوانشهر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,8962,8650,183,58,46,25,80.0,8962.0,1124.0,2977.0,108.0
543302,انزلي - رضوانشهر,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,7878,7512,250,53,35,28,82.0,7880.0,1314.0,2168.0,96.0
543302,انزلي - رضوانشهر,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,7483,7120,247,63,25,28,82.0,7483.0,1236.0,2130.0,91.0
543302,انزلي - رضوانشهر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,7633,7236,275,60,39,23,79.0,7633.0,926.0,2144.0,87.0
543302,انزلي - رضوانشهر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,8226,7811,278,66,42,29,80.0,8226.0,1129.0,2475.0,95.0
543302,انزلي - رضوانشهر,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,7808,7430,239,67,43,29,78.0,7809.0,942.0,2268.0,96.0
543302,انزلي - رضوانشهر,1397/12/09 00:00:00,1397/12/10 00:00:00,1405.0,8046,7687,219,73,33,34,76.0,8335.0,787.0,2545.0,91.0
543302,انزلي - رضوانشهر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,7976,7704,155,52,49,16,79.0,7976.0,892.0,2614.0,81.0
543302,انزلي - رضوانشهر,1397/12/11 00:00:00,1397/12/12 00:00:00,1435.0,7747,7350,262,52,43,40,82.0,7770.0,1276.0,2212.0,95.0
543302,انزلي - رضوانشهر,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,7595,7137,300,78,47,33,80.0,7595.0,1065.0,2157.0,74.0
543302,انزلي - رضوانشهر,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,7592,7171,296,62,34,29,81.0,7636.0,1075.0,2190.0,63.0
543302,انزلي - رضوانشهر,1397/12/14 00:00:00,1397/12/15 00:00:00,1425.0,7531,7123,266,67,40,35,81.0,7653.0,1097.0,2129.0,83.0
543302,انزلي - رضوانشهر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,8138,7719,266,67,48,38,75.0,8138.0,694.0,2888.0,88.0
543302,انزلي - رضوانشهر,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,8786,8356,293,65,41,31,76.0,8789.0,716.0,3122.0,65.0
543302,انزلي - رضوانشهر,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,6395,6151,134,42,40,28,76.0,6395.0,550.0,1660.0,64.0
543302,انزلي - رضوانشهر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,7818,7482,219,62,33,22,81.0,7818.0,1227.0,2175.0,94.0
543302,انزلي - رضوانشهر,1397/12/19 00:00:00,1397/12/20 00:00:00,1420.0,7739,7372,221,78,33,35,81.0,7882.0,1103.0,2210.0,88.0
543302,انزلي - رضوانشهر,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,7850,7494,219,60,51,26,81.0,8111.0,1143.0,2284.0,87.0
543302,انزلي - رضوانشهر,1397/12/21 00:00:00,1397/12/22 00:00:00,1010.0,6591,6247,193,77,40,34,80.0,8120.0,849.0,1956.0,93.0
543302,انزلي - رضوانشهر,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,8438,7981,253,106,45,53,79.0,8438.0,1076.0,2569.0,105.0
543302,انزلي - رضوانشهر,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,9564,9104,283,80,56,41,77.0,9564.0,850.0,3323.0,107.0
543302,انزلي - رضوانشهر,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,8206,7825,243,66,46,26,78.0,8206.0,783.0,2498.0,92.0
543302,انزلي - رضوانشهر,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,8848,8402,269,83,56,38,81.0,8848.0,1248.0,2764.0,93.0
543302,انزلي - رضوانشهر,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,8903,8495,253,70,48,37,79.0,8903.0,1023.0,2770.0,81.0
543302,انزلي - رضوانشهر,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,9245,8869,244,74,29,29,79.0,9245.0,989.0,2994.0,80.0
543302,انزلي - رضوانشهر,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,8904,8596,176,58,48,26,77.0,8949.0,717.0,2855.0,94.0
543302,انزلي - رضوانشهر,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,8935,8713,110,45,38,29,80.0,8935.0,984.0,2849.0,96.0
543302,انزلي - رضوانشهر,1401/12/01 00:00:00,1401/12/02 00:00:00,1310.0,7129,6820,223,34,17,35,81.0,7554.0,1024.0,860.0,186.0
543302,انزلي - رضوانشهر,1401/12/02 00:00:00,1401/12/03 00:00:00,1400.0,7125,6828,208,25,28,36,82.0,7374.0,1287.0,885.0,173.0
543302,انزلي - رضوانشهر,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,7929,7506,300,50,40,33,78.0,7929.0,967.0,1078.0,227.0
543302,انزلي - رضوانشهر,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,8036,7713,240,26,34,23,80.0,8036.0,1233.0,1101.0,179.0
543302,انزلي - رضوانشهر,1401/12/05 00:00:00,1401/12/06 00:00:00,1385.0,5408,4934,414,19,21,20,66.0,5597.0,207.0,975.0,182.0
