Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544201,بازارجمعه - فومن,1401/12/01 00:00:00,1401/12/02 00:00:00,1435,12807,12303,437,42,5,20,69,181,352,0,12819
544201,بازارجمعه - فومن,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,12463,12312,118,9,1,23,66,10,207,0,12516
544201,بازارجمعه - فومن,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,12917,12627,246,20,2,22,68,67,274,0,12917
544201,بازارجمعه - فومن,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,15997,15809,158,8,2,20,64,13,429,0,15997
544201,بازارجمعه - فومن,1401/12/05 00:00:00,1401/12/06 00:00:00,1355,10862,10756,85,9,0,12,62,19,182,0,11073
544201,بازارجمعه - فومن,1401/12/06 00:00:00,1401/12/07 00:00:00,1345,11647,11457,160,13,1,16,67,48,224,0,12173
544201,بازارجمعه - فومن,1401/12/07 00:00:00,1401/12/08 00:00:00,1420,12042,11799,202,20,3,18,67,58,252,0,12287
544201,بازارجمعه - فومن,1401/12/08 00:00:00,1401/12/09 00:00:00,1245,10262,10031,203,11,3,14,67,59,221,0,12350
544201,بازارجمعه - فومن,1401/12/09 00:00:00,1401/12/10 00:00:00,1400,12070,11891,149,9,1,20,67,26,234,0,12487
544201,بازارجمعه - فومن,1401/12/10 00:00:00,1401/12/11 00:00:00,1380,12382,12171,177,20,1,13,66,34,265,0,12783
544201,بازارجمعه - فومن,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,15933,15725,172,9,1,26,65,22,495,0,15933
544201,بازارجمعه - فومن,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,12951,12848,78,7,2,16,66,24,284,0,12951
