Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543901,تالش - آستارا,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,8256,7445,286,166,63,296,80.0,8483.0,63.0,805.0,0.0
543901,تالش - آستارا,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,9052,8132,346,159,77,338,81.0,9052.0,101.0,872.0,0.0
543901,تالش - آستارا,1397/12/03 00:00:00,1397/12/04 00:00:00,1425.0,9121,8270,301,139,72,339,81.0,9265.0,88.0,832.0,0.0
543901,تالش - آستارا,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,8437,7588,332,137,80,300,80.0,8441.0,88.0,648.0,0.0
543901,تالش - آستارا,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,8401,7449,371,177,71,333,81.0,8401.0,92.0,674.0,0.0
543901,تالش - آستارا,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,8402,7440,341,198,89,334,80.0,8402.0,99.0,593.0,0.0
543901,تالش - آستارا,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,8390,7519,337,167,63,304,82.0,8390.0,101.0,670.0,0.0
543901,تالش - آستارا,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,8534,7592,372,177,74,319,79.0,8538.0,70.0,680.0,0.0
543901,تالش - آستارا,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,8522,7663,309,160,64,326,79.0,8522.0,73.0,630.0,0.0
543901,تالش - آستارا,1397/12/10 00:00:00,1397/12/11 00:00:00,1330.0,7497,6822,247,116,66,246,82.0,8374.0,97.0,721.0,0.0
543901,تالش - آستارا,1397/12/11 00:00:00,1397/12/12 00:00:00,1390.0,7587,6864,255,165,52,251,82.0,7967.0,95.0,594.0,0.0
543901,تالش - آستارا,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,8233,7337,359,203,67,267,80.0,8280.0,91.0,681.0,0.0
543901,تالش - آستارا,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,8120,7179,363,195,60,323,80.0,8171.0,71.0,702.0,0.0
543901,تالش - آستارا,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,8374,7361,410,213,51,339,81.0,8374.0,97.0,696.0,0.0
543901,تالش - آستارا,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,8599,7602,377,210,69,341,82.0,8599.0,124.0,777.0,0.0
543901,تالش - آستارا,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,9072,8160,346,188,69,309,79.0,9079.0,72.0,776.0,0.0
543901,تالش - آستارا,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,8186,7384,271,170,68,293,76.0,8186.0,26.0,611.0,0.0
543901,تالش - آستارا,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,8015,7227,295,167,61,265,81.0,8015.0,101.0,639.0,0.0
543901,تالش - آستارا,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,8433,7468,355,188,70,352,81.0,8433.0,80.0,658.0,0.0
543901,تالش - آستارا,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,8050,7165,309,188,66,322,81.0,8262.0,117.0,604.0,0.0
543901,تالش - آستارا,1397/12/21 00:00:00,1397/12/22 00:00:00,1005.0,6929,6177,278,143,37,294,81.0,8517.0,78.0,576.0,0.0
543901,تالش - آستارا,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,9270,8199,403,204,73,391,81.0,9324.0,109.0,773.0,0.0
543901,تالش - آستارا,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,9800,8703,408,226,96,367,77.0,9800.0,58.0,866.0,0.0
543901,تالش - آستارا,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,9698,8695,395,209,84,315,78.0,9698.0,53.0,913.0,0.0
543901,تالش - آستارا,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,9955,8973,368,226,80,308,80.0,9955.0,89.0,943.0,0.0
543901,تالش - آستارا,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,10518,9374,449,261,79,355,80.0,10518.0,87.0,1057.0,0.0
543901,تالش - آستارا,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,11604,10566,421,196,95,326,80.0,11604.0,75.0,1256.0,0.0
543901,تالش - آستارا,1397/12/28 00:00:00,1397/12/29 00:00:00,1425.0,10972,10214,299,143,70,246,75.0,11142.0,26.0,1141.0,0.0
543901,تالش - آستارا,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,10903,10391,172,73,79,188,80.0,10903.0,69.0,1193.0,0.0
543901,تالش - آستارا,1401/12/01 00:00:00,1401/12/02 00:00:00,1365.0,9009,8111,482,67,11,338,69.0,9639.0,82.0,273.0,0.0
543901,تالش - آستارا,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,8945,8015,516,52,13,349,66.0,8984.0,56.0,175.0,0.0
543901,تالش - آستارا,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,9892,8777,598,71,13,433,69.0,9892.0,99.0,363.0,0.0
543901,تالش - آستارا,1401/12/04 00:00:00,1401/12/05 00:00:00,1405.0,9621,8655,518,51,18,379,67.0,9873.0,65.0,236.0,0.0
543901,تالش - آستارا,1401/12/05 00:00:00,1401/12/06 00:00:00,1410.0,8650,7857,414,41,11,327,66.0,8782.0,31.0,135.0,0.0
543901,تالش - آستارا,1401/12/06 00:00:00,1401/12/07 00:00:00,1400.0,9330,8415,487,58,12,358,69.0,9524.0,87.0,304.0,0.0
543901,تالش - آستارا,1401/12/07 00:00:00,1401/12/08 00:00:00,1425.0,9614,8485,663,73,15,378,68.0,9770.0,101.0,393.0,0.0
543901,تالش - آستارا,1401/12/08 00:00:00,1401/12/09 00:00:00,1245.0,7937,7106,460,44,9,318,67.0,9284.0,58.0,221.0,0.0
543901,تالش - آستارا,1401/12/09 00:00:00,1401/12/10 00:00:00,1390.0,9035,8088,502,57,13,375,67.0,9489.0,89.0,307.0,0.0
543901,تالش - آستارا,1401/12/10 00:00:00,1401/12/11 00:00:00,1400.0,9543,8521,581,59,14,368,66.0,9731.0,74.0,370.0,0.0
543901,تالش - آستارا,1401/12/11 00:00:00,1401/12/12 00:00:00,1405.0,9830,8818,541,53,19,399,68.0,10317.0,67.0,424.0,0.0
543901,تالش - آستارا,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,9962,9107,432,51,9,363,68.0,9962.0,66.0,281.0,0.0
543901,تالش - آستارا,1401/12/13 00:00:00,1401/12/14 00:00:00,1405.0,9341,8383,493,63,11,391,68.0,9621.0,62.0,338.0,0.0
543901,تالش - آستارا,1401/12/14 00:00:00,1401/12/15 00:00:00,1290.0,8451,7505,511,43,13,379,68.0,9690.0,53.0,326.0,0.0
543901,تالش - آستارا,1401/12/15 00:00:00,1401/12/16 00:00:00,1365.0,9246,7987,725,51,6,477,69.0,10133.0,65.0,300.0,0.0
543901,تالش - آستارا,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,9618,8787,437,52,6,336,65.0,9618.0,29.0,164.0,0.0
