Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543954,تالش - اسالم ,1396/01/01 00:15:00,1396/01/02 00:00:00,16776,16542,107,12,57,58,73.43,2035.0,2000.0,0.0,17029.0,1415.0
543954,تالش - اسالم ,1396/01/02 00:00:00,1396/01/03 00:00:00,15735,15322,269,34,52,58,75.01,2142.0,1978.0,0.0,16383.0,1385.0
543954,تالش - اسالم ,1396/01/03 00:10:00,1396/01/04 00:00:00,17928,17593,178,30,34,93,73.96,2359.0,2316.0,0.0,18205.0,1420.0
543954,تالش - اسالم ,1396/01/04 00:10:00,1396/01/05 00:00:00,17975,17583,185,38,33,136,75.43,2324.0,2275.0,0.0,18253.0,1420.0
543954,تالش - اسالم ,1396/01/05 00:10:00,1396/01/06 00:00:00,19989,19463,274,73,43,136,77.98,3090.0,3011.0,0.0,20290.0,1420.0
543954,تالش - اسالم ,1396/01/06 00:10:00,1396/01/07 00:00:00,20881,20177,345,101,76,182,76.93,3317.0,3206.0,0.0,21226.0,1415.0
543954,تالش - اسالم ,1396/01/07 00:10:00,1396/01/08 00:00:00,20448,19756,333,123,72,164,77.09,3177.0,3054.0,0.0,20785.0,1420.0
543954,تالش - اسالم ,1396/01/08 00:10:00,1396/01/09 00:00:00,20398,19804,279,84,94,137,76.75,2996.0,2935.0,0.0,20701.0,1420.0
543954,تالش - اسالم ,1396/01/09 00:10:00,1396/01/10 00:00:00,21581,20940,279,126,81,155,76.67,3539.0,3452.0,0.0,22141.0,1405.0
543954,تالش - اسالم ,1396/01/10 00:10:00,1396/01/11 00:00:00,22421,21848,278,84,80,131,76.18,3768.0,3685.0,0.0,22752.0,1420.0
543954,تالش - اسالم ,1396/01/11 00:10:00,1396/01/12 00:00:00,21914,21477,211,68,76,82,77.29,3774.0,3702.0,0.0,22255.0,1420.0
543954,تالش - اسالم ,1396/01/12 00:10:00,1396/01/13 00:00:00,17114,16790,162,32,78,52,75.63,2353.0,2309.0,0.0,18169.0,1355.0
543954,تالش - اسالم ,1396/01/13 00:10:00,1396/01/14 00:00:00,15132,14909,98,26,42,57,75.3,1543.0,1511.0,0.0,15376.0,1420.0
543954,تالش - اسالم ,1396/01/14 00:10:00,1396/01/15 00:00:00,19153,18494,300,100,75,184,77.89,2569.0,2505.0,0.0,19407.0,1420.0
543954,تالش - اسالم ,1396/01/15 00:10:00,1396/01/16 00:00:00,14190,13403,307,147,76,257,75.67,1438.0,1302.0,0.0,14349.0,1420.0
543954,تالش - اسالم ,1396/01/16 00:15:00,1396/01/17 00:00:00,16727,15698,402,199,100,328,77.18,1842.0,1753.0,0.0,16973.0,1415.0
543954,تالش - اسالم ,1396/01/17 00:10:00,1396/01/18 00:00:00,15858,15041,336,134,87,260,77.22,1625.0,1556.0,0.0,16076.0,1420.0
543954,تالش - اسالم ,1396/01/18 00:10:00,1396/01/19 00:00:00,13277,12539,276,122,83,257,75.41,1082.0,1032.0,0.0,13457.0,1420.0
543954,تالش - اسالم ,1396/01/19 00:10:00,1396/01/20 00:00:00,14771,14000,338,120,91,222,76.82,1339.0,1272.0,0.0,15561.0,1385.0
543954,تالش - اسالم ,1396/01/20 00:10:00,1396/01/21 00:00:00,15014,14103,403,139,96,273,77.58,1369.0,1303.0,0.0,15202.0,1420.0
543954,تالش - اسالم ,1396/01/21 00:10:00,1396/01/22 00:00:00,13828,13035,335,126,82,250,73.07,1109.0,1059.0,0.0,14001.0,1420.0
543954,تالش - اسالم ,1396/01/22 00:10:00,1396/01/23 00:00:00,12486,11660,347,139,76,264,77.59,948.0,876.0,0.0,12652.0,1420.0
543954,تالش - اسالم ,1396/01/23 00:10:00,1396/01/24 00:00:00,13890,13067,380,108,75,260,75.99,1253.0,1134.0,0.0,14033.0,1420.0
543954,تالش - اسالم ,1396/01/24 00:10:00,1396/01/25 00:00:00,13540,12769,355,130,61,225,76.97,1156.0,1068.0,0.0,13701.0,1420.0
543954,تالش - اسالم ,1396/01/25 00:10:00,1396/01/26 00:00:00,11459,10728,275,108,71,277,77.68,905.0,813.0,0.0,12087.0,1380.0
543954,تالش - اسالم ,1396/01/26 00:10:00,1396/01/27 00:00:00,14400,13595,363,119,79,244,77.32,1183.0,1100.0,0.0,14586.0,1420.0
543954,تالش - اسالم ,1396/01/27 00:10:00,1396/01/28 00:00:00,12914,12103,346,141,81,243,73.01,966.0,876.0,0.0,13090.0,1420.0
543954,تالش - اسالم ,1396/01/28 00:10:00,1396/01/29 00:00:00,13622,12726,416,146,70,264,77.42,1207.0,1101.0,0.0,13789.0,1420.0
543954,تالش - اسالم ,1396/01/29 00:10:00,1396/01/30 00:00:00,12983,12088,417,145,74,259,75.7,1085.0,985.0,0.0,13166.0,1415.0
543954,تالش - اسالم ,1396/01/30 00:10:00,1396/01/31 00:00:00,14494,13618,397,118,104,257,76.87,1279.0,1188.0,0.0,14665.0,1420.0
543954,تالش - اسالم ,1396/01/31 00:00:00,1396/02/01 00:00:00,14088,13270,383,119,93,223,77.45,1219.0,1149.0,0.0,14088.0,1440.0
543954,تالش - اسالم ,1395/01/01 00:00:00,1395/01/02 02:00:00,12848,12689,106,39,12,2,82.85,1140.0,1461.0,0.0,,1485.0
543954,تالش - اسالم ,1395/01/02 02:00:00,1395/01/03 00:00:00,13485,13219,151,69,39,7,75.67,123.0,1790.0,0.0,,1320.0
543954,تالش - اسالم ,1395/01/03 00:00:00,1395/01/04 00:00:00,16244,15904,233,75,30,2,76.84,234.0,2210.0,0.0,,1425.0
543954,تالش - اسالم ,1395/01/04 00:00:00,1395/01/05 00:00:00,18486,17306,1018,92,56,14,80.99,1839.0,2726.0,0.0,,1440.0
543954,تالش - اسالم ,1395/01/05 00:00:00,1395/01/06 00:00:00,17034,16662,212,79,62,19,79.72,587.0,2703.0,0.0,,1425.0
543954,تالش - اسالم ,1395/01/06 00:00:00,1395/01/07 00:00:00,14205,13724,363,73,38,7,82.79,1168.0,2164.0,0.0,,1350.0
543954,تالش - اسالم ,1395/01/07 00:00:00,1395/01/08 00:00:00,15477,14989,282,122,65,19,79.88,309.0,2313.0,0.0,,1380.0
543954,تالش - اسالم ,1395/01/08 00:00:00,1395/01/09 00:00:00,18249,17552,358,152,132,55,75.77,263.0,2607.0,0.0,,1440.0
543954,تالش - اسالم ,1395/01/09 00:00:00,1395/01/10 00:00:00,14657,14078,332,117,73,57,77.5,203.0,2256.0,0.0,,1275.0
543954,تالش - اسالم ,1395/01/10 00:00:00,1395/01/11 00:00:00,13644,13221,222,107,62,32,75.25,83.0,2341.0,0.0,,1230.0
543954,تالش - اسالم ,1395/01/11 00:00:00,1395/01/12 00:00:00,12862,12474,205,95,66,22,79.45,441.0,1920.0,0.0,,1320.0
543954,تالش - اسالم ,1395/01/12 00:00:00,1395/01/13 00:00:00,12347,12067,177,67,28,8,75.53,257.0,1497.0,0.0,,1440.0
