Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543285,جيرده - رشت,1401/12/01 00:00:00,1401/12/02 00:00:00,1425,10331,9526,524,54,10,217,49,4,1093,131,10467
543285,جيرده - رشت,1401/12/02 00:00:00,1401/12/03 00:00:00,1410,9811,9009,557,51,12,182,52,8,948,155,10119
543285,جيرده - رشت,1401/12/03 00:00:00,1401/12/04 00:00:00,1310,8922,8274,443,48,8,149,48,3,767,106,10550
543285,جيرده - رشت,1401/12/04 00:00:00,1401/12/05 00:00:00,1275,8737,8175,364,42,11,145,47,6,635,92,10481
543285,جيرده - رشت,1401/12/05 00:00:00,1401/12/06 00:00:00,1265,7746,7506,103,18,14,105,50,2,451,131,8874
543285,جيرده - رشت,1401/12/06 00:00:00,1401/12/07 00:00:00,1405,10239,9728,319,30,12,150,44,9,808,119,10383
543285,جيرده - رشت,1401/12/07 00:00:00,1401/12/08 00:00:00,1415,10248,9415,523,55,17,238,52,10,1206,143,10569
543285,جيرده - رشت,1401/12/08 00:00:00,1401/12/09 00:00:00,1240,8857,8174,440,43,13,187,50,5,969,102,10393
543285,جيرده - رشت,1401/12/09 00:00:00,1401/12/10 00:00:00,1370,9903,9115,480,60,16,232,50,5,1005,114,10734
543285,جيرده - رشت,1401/12/10 00:00:00,1401/12/11 00:00:00,1390,10419,9574,536,51,14,244,49,1,1103,102,10768
543285,جيرده - رشت,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,10808,10044,512,44,16,192,51,3,1103,95,10808
543285,جيرده - رشت,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,11780,11355,202,28,15,180,50,14,1029,218,11780
543285,جيرده - رشت,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,10676,9820,526,52,18,260,52,7,1264,151,10676
543285,جيرده - رشت,1401/12/14 00:00:00,1401/12/15 00:00:00,1435,10721,9843,584,47,16,231,52,7,1285,121,10782
543285,جيرده - رشت,1401/12/15 00:00:00,1401/12/16 00:00:00,1420,10628,9717,622,63,12,214,51,11,1246,120,10887
543285,جيرده - رشت,1401/12/16 00:00:00,1401/12/17 00:00:00,1385,9668,8833,547,47,11,230,51,2,975,140,10171
543285,جيرده - رشت,1401/12/17 00:00:00,1401/12/18 00:00:00,1390,9142,8477,443,37,9,176,52,7,968,142,9683
543285,جيرده - رشت,1401/12/18 00:00:00,1401/12/19 00:00:00,1405,9586,8859,486,34,12,195,49,0,770,103,9944
543285,جيرده - رشت,1401/12/19 00:00:00,1401/12/20 00:00:00,1435,11892,11469,201,32,8,182,47,1,978,170,11939
543285,جيرده - رشت,1401/12/20 00:00:00,1401/12/21 00:00:00,1420,11474,10553,611,49,14,247,50,4,1317,154,11696
543285,جيرده - رشت,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,10118,9192,626,58,17,225,50,10,1137,101,10951
543285,جيرده - رشت,1401/12/22 00:00:00,1401/12/23 00:00:00,1305,10205,9252,629,40,14,270,50,8,1172,120,11164
543285,جيرده - رشت,1401/12/23 00:00:00,1401/12/24 00:00:00,1330,9724,8882,564,48,10,220,51,7,1054,156,10674
543285,جيرده - رشت,1401/12/24 00:00:00,1401/12/25 00:00:00,1380,11006,10153,541,52,10,250,51,10,1239,203,11663
543285,جيرده - رشت,1401/12/25 00:00:00,1401/12/26 00:00:00,1350,10192,9400,523,45,12,212,49,4,990,114,11204
543285,جيرده - رشت,1401/12/26 00:00:00,1401/12/27 00:00:00,1340,9757,9277,271,25,9,175,51,3,884,167,11081
543285,جيرده - رشت,1401/12/27 00:00:00,1401/12/28 00:00:00,1150,8035,7479,323,47,7,179,51,8,832,120,11431
543285,جيرده - رشت,1401/12/28 00:00:00,1401/12/29 00:00:00,1140,10459,9986,297,37,13,126,51,5,1041,99,11000
543285,جيرده - رشت,1401/12/29 00:00:00,1402/01/01 00:00:00,1440,9598,9399,128,19,8,44,53,2,799,90,9598
543285,جيرده - رشت,1402/01/01 00:00:00,1402/01/02 00:00:00,1435,9161,9104,34,4,4,15,50,3,512,86,9205
543285,جيرده - رشت,1402/01/02 01:05:00,1402/01/03 00:00:00,1370,9122,9008,55,15,7,37,53,4,681,120,9641
543285,جيرده - رشت,1402/01/03 00:00:00,1402/01/04 00:00:00,1425,11419,11255,68,12,9,75,50,3,898,136,11488
543285,جيرده - رشت,1402/01/04 00:00:00,1402/01/05 00:00:00,1435,12989,12850,69,14,7,49,46,4,814,162,13039
543285,جيرده - رشت,1402/01/05 00:00:00,1402/01/06 00:00:00,1375,11417,11158,177,18,11,53,50,4,983,93,12132
543285,جيرده - رشت,1402/01/06 00:00:00,1402/01/07 00:00:00,1405,12472,12132,216,26,10,88,49,6,1043,108,12614
543285,جيرده - رشت,1402/01/07 00:00:00,1402/01/08 00:00:00,1380,11739,11522,136,21,8,52,34,6,447,107,12255
543285,جيرده - رشت,1402/01/08 00:00:00,1402/01/09 00:00:00,1340,10869,10485,225,36,12,111,51,6,1025,103,12363
543285,جيرده - رشت,1402/01/09 00:00:00,1402/01/10 00:00:00,1305,11107,10733,237,34,13,90,44,3,786,97,12779
543285,جيرده - رشت,1402/01/10 00:00:00,1402/01/11 00:00:00,1400,11760,10711,865,62,16,106,50,15,1114,91,12447
543285,جيرده - رشت,1402/01/11 00:00:00,1402/01/12 00:00:00,390,1588,1548,22,6,1,11,52,0,63,49,10420
543285,جيرده - رشت,1402/01/12 00:00:00,1402/01/13 00:00:00,1430,9606,9403,127,11,9,56,54,5,794,69,9689
543285,جيرده - رشت,1402/01/13 00:00:00,1402/01/14 00:00:00,1435,9790,9551,87,36,17,99,33,7,391,327,9839
543285,جيرده - رشت,1402/01/14 00:00:00,1402/01/15 00:00:00,1385,11147,10712,263,48,10,114,53,7,1044,196,11847
543285,جيرده - رشت,1402/01/15 00:00:00,1402/01/16 00:00:00,1405,10554,9992,327,37,10,188,52,9,1027,138,10830
543285,جيرده - رشت,1402/01/16 00:00:00,1402/01/17 00:00:00,1290,8499,7962,345,29,15,148,53,8,770,98,9830
543285,جيرده - رشت,1402/01/17 00:00:00,1402/01/18 00:00:00,1440,11018,10367,402,33,13,203,51,3,1157,107,11018
543285,جيرده - رشت,1402/01/18 00:00:00,1402/01/19 00:00:00,1350,11346,11168,92,9,5,72,31,7,361,203,12055
543285,جيرده - رشت,1402/01/19 00:00:00,1402/01/20 00:00:00,1415,10501,9867,434,30,14,156,52,6,1061,148,10816
543285,جيرده - رشت,1402/01/20 00:00:00,1402/01/21 00:00:00,1055,6615,6140,336,24,13,102,53,6,694,88,10389
543285,جيرده - رشت,1402/01/21 00:00:00,1402/01/21 23:40:00,1280,9320,8593,490,56,10,171,52,6,1063,100,10331
543285,جيرده - رشت,1402/01/22 00:20:00,1402/01/23 00:00:00,1380,10234,9511,472,64,16,171,51,3,1152,142,10438
543285,جيرده - رشت,1402/01/23 00:00:00,1402/01/23 11:00:00,660,1737,1582,97,7,2,49,59,5,140,28,5188
543285,جيرده - رشت,1402/01/27 20:20:00,1402/01/28 00:00:00,220,292,271,13,2,3,3,88,29,7,0,7475
543285,جيرده - رشت,1402/01/28 00:00:00,1402/01/29 00:00:00,850,1298,1200,59,3,14,22,86,118,52,0,6666
543285,جيرده - رشت,1402/01/29 00:00:00,1402/01/30 00:00:00,870,2345,2331,10,1,1,2,69,5,85,0,7728
543285,جيرده - رشت,1402/01/30 00:00:00,1402/01/30 07:00:00,420,260,251,7,0,2,0,70,0,7,0,7038
543285,جيرده - رشت,1402/01/31 02:20:00,1402/01/31 07:50:00,330,376,370,2,1,2,1,72,1,10,0,9016
