Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543360,حسن رود - بندر انزلي,1401/12/01 00:00:00,1401/12/02 00:00:00,1010,12501,12128,225,31,6,111,58,75,486,0,17703
543360,حسن رود - بندر انزلي,1401/12/02 00:00:00,1401/12/03 00:00:00,1220,16972,16492,263,52,9,156,61,123,697,0,21278
543360,حسن رود - بندر انزلي,1401/12/03 00:00:00,1401/12/03 23:50:00,985,13151,12723,244,36,7,141,63,86,471,0,22285
543360,حسن رود - بندر انزلي,1401/12/04 00:50:00,1401/12/04 23:20:00,750,9906,9566,153,36,11,140,64,43,636,0,23084
543360,حسن رود - بندر انزلي,1401/12/05 00:00:00,1401/12/06 00:00:00,1000,13436,13034,155,29,19,199,71,7,903,0,18644
543360,حسن رود - بندر انزلي,1401/12/06 00:00:00,1401/12/07 00:00:00,1250,18199,17278,407,74,35,405,76,26,1442,0,21751
543360,حسن رود - بندر انزلي,1401/12/07 00:00:00,1401/12/08 00:00:00,1120,14651,13879,420,60,28,264,78,63,1218,0,19265
543360,حسن رود - بندر انزلي,1401/12/08 00:00:00,1401/12/09 00:00:00,1080,14236,13410,437,73,34,282,77,47,1298,0,20465
543360,حسن رود - بندر انزلي,1401/12/09 00:00:00,1401/12/10 00:00:00,1300,18774,17873,515,78,30,278,72,51,1623,0,21644
543360,حسن رود - بندر انزلي,1401/12/10 00:00:00,1401/12/11 00:00:00,1255,18992,18122,477,110,37,246,72,52,1756,0,22486
543360,حسن رود - بندر انزلي,1401/12/11 00:00:00,1401/12/12 00:00:00,1275,6459,6034,240,42,16,127,74,21,445,0,18809
543360,حسن رود - بندر انزلي,1401/12/12 00:00:00,1401/12/13 00:00:00,1320,11542,2045,9267,67,3,160,92,1901,2041,0,19124
543360,حسن رود - بندر انزلي,1401/12/13 00:00:00,1401/12/14 00:00:00,890,10391,9186,919,46,20,220,79,233,879,0,20548
543360,حسن رود - بندر انزلي,1401/12/14 00:00:00,1401/12/15 00:00:00,1020,13305,12517,450,57,24,257,77,59,1136,0,20727
543360,حسن رود - بندر انزلي,1401/12/15 00:00:00,1401/12/16 00:00:00,1300,19687,18603,534,108,35,407,78,72,1843,0,22059
543360,حسن رود - بندر انزلي,1401/12/16 00:00:00,1401/12/17 00:00:00,1155,17408,16231,615,134,35,393,69,51,1718,0,22298
