Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543403,حسن رود - کياشهر ,1396/01/01 00:00:00,1396/01/02 00:00:00,9315,9247,55,10,1,2,73.42,107.0,981.0,0.0,9315.0,1440.0
543403,حسن رود - کياشهر ,1396/01/02 00:00:00,1396/01/03 00:00:00,10824,10751,52,16,3,2,74.52,90.0,1567.0,0.0,11119.0,1380.0
543403,حسن رود - کياشهر ,1396/01/03 00:00:00,1396/01/04 00:00:00,10681,10591,65,16,6,3,69.54,76.0,1322.0,0.0,10681.0,1440.0
543403,حسن رود - کياشهر ,1396/01/04 00:00:00,1396/01/05 00:00:00,10443,10365,57,9,9,3,72.3,71.0,1341.0,0.0,10443.0,1440.0
543403,حسن رود - کياشهر ,1396/01/05 00:00:00,1396/01/06 00:00:00,11369,11271,61,19,16,2,75.63,137.0,1529.0,0.0,11369.0,1440.0
543403,حسن رود - کياشهر ,1396/01/06 00:00:00,1396/01/07 00:00:00,11828,11711,77,25,4,11,74.79,116.0,1727.0,0.0,11873.0,1435.0
543403,حسن رود - کياشهر ,1396/01/07 00:00:00,1396/01/08 00:00:00,12721,12597,87,25,6,6,74.63,133.0,1984.0,0.0,12721.0,1440.0
543403,حسن رود - کياشهر ,1396/01/08 00:00:00,1396/01/09 00:00:00,11585,11457,96,17,6,9,75.5,170.0,1505.0,0.0,11585.0,1440.0
543403,حسن رود - کياشهر ,1396/01/09 00:00:00,1396/01/10 00:00:00,13852,13721,91,28,8,4,72.9,152.0,2595.0,0.0,13872.0,1435.0
543403,حسن رود - کياشهر ,1396/01/10 00:00:00,1396/01/11 00:00:00,13303,13151,100,28,12,12,74.19,135.0,2331.0,0.0,13303.0,1440.0
543403,حسن رود - کياشهر ,1396/01/11 00:00:00,1396/01/12 00:00:00,12871,12764,80,18,4,5,74.18,150.0,2098.0,0.0,12871.0,1440.0
543403,حسن رود - کياشهر ,1396/01/12 00:00:00,1396/01/13 00:00:00,9429,9358,55,12,2,2,74.87,112.0,1050.0,0.0,9450.0,1435.0
543403,حسن رود - کياشهر ,1396/01/13 00:00:00,1396/01/14 00:00:00,11582,11485,58,33,5,1,69.22,72.0,1759.0,0.0,11582.0,1440.0
543403,حسن رود - کياشهر ,1396/01/14 00:00:00,1396/01/15 00:00:00,4921,4869,42,9,1,0,72.52,36.0,208.0,0.0,4921.0,1440.0
543403,حسن رود - کياشهر ,1396/01/15 00:00:00,1396/01/16 00:00:00,5155,5087,50,10,1,7,75.46,82.0,239.0,0.0,5155.0,1440.0
543403,حسن رود - کياشهر ,1396/01/16 00:00:00,1396/01/17 00:00:00,5274,5158,59,16,4,37,75.62,96.0,246.0,0.0,5274.0,1440.0
543403,حسن رود - کياشهر ,1396/01/17 00:00:00,1396/01/18 00:00:00,6123,5988,77,20,8,30,75.4,109.0,411.0,0.0,6123.0,1440.0
543403,حسن رود - کياشهر ,1396/01/18 00:00:00,1396/01/19 00:00:00,7098,7031,39,16,4,8,74.18,96.0,577.0,0.0,7098.0,1440.0
543403,حسن رود - کياشهر ,1396/01/19 00:00:00,1396/01/20 00:00:00,4300,4180,58,19,4,39,76.02,107.0,168.0,0.0,4410.0,1415.0
543403,حسن رود - کياشهر ,1396/01/20 00:00:00,1396/01/21 00:00:00,4118,3988,66,18,7,39,74.38,73.0,165.0,0.0,4562.0,1335.0
543403,حسن رود - کياشهر ,1396/01/21 00:00:00,1396/01/22 00:00:00,4602,4469,72,30,5,26,75.75,88.0,160.0,0.0,4602.0,1440.0
543403,حسن رود - کياشهر ,1396/01/22 00:00:00,1396/01/23 00:00:00,5196,5092,66,20,6,12,75.17,89.0,217.0,0.0,5196.0,1440.0
543403,حسن رود - کياشهر ,1396/01/23 00:00:00,1396/01/24 00:00:00,5154,5011,96,29,1,17,75.8,101.0,232.0,0.0,5154.0,1440.0
543403,حسن رود - کياشهر ,1396/01/24 00:00:00,1396/01/25 00:00:00,6231,6088,93,21,6,23,75.94,125.0,376.0,0.0,6231.0,1440.0
543403,حسن رود - کياشهر ,1396/01/25 00:00:00,1396/01/26 00:00:00,7425,7351,48,19,5,2,75.0,118.0,550.0,0.0,7425.0,1440.0
543403,حسن رود - کياشهر ,1396/01/26 00:00:00,1396/01/27 00:00:00,4383,4250,75,16,5,37,72.78,77.0,166.0,0.0,4383.0,1440.0
543403,حسن رود - کياشهر ,1396/01/27 00:00:00,1396/01/28 00:00:00,4132,4016,60,29,3,24,74.77,70.0,136.0,0.0,4132.0,1440.0
543403,حسن رود - کياشهر ,1396/01/28 00:00:00,1396/01/29 00:00:00,4468,4310,70,29,9,50,73.49,67.0,172.0,0.0,4468.0,1440.0
543403,حسن رود - کياشهر ,1396/01/29 00:00:00,1396/01/30 00:00:00,4530,4352,92,30,15,41,73.57,76.0,163.0,0.0,4530.0,1440.0
543403,حسن رود - کياشهر ,1396/01/30 00:00:00,1396/01/31 00:00:00,4645,4501,77,31,5,31,75.43,99.0,177.0,0.0,4645.0,1440.0
543403,حسن رود - کياشهر ,1396/01/31 00:00:00,1396/02/01 00:00:00,5793,5642,93,27,6,25,74.77,99.0,295.0,0.0,5793.0,1440.0
543403,حسن رود - کياشهر ,1395/01/01 00:00:00,1395/01/02 02:00:00,4970,4846,114,10,0,0,84.6,507.0,188.0,0.0,,1485.0
543403,حسن رود - کياشهر ,1395/01/02 02:00:00,1395/01/03 00:00:00,5562,5227,238,59,28,10,83.28,503.0,355.0,0.0,,1320.0
543403,حسن رود - کياشهر ,1395/01/03 00:00:00,1395/01/04 00:00:00,7606,7537,53,15,1,0,85.9,720.0,569.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/04 00:00:00,1395/01/05 00:00:00,9389,9179,157,38,9,6,86.68,956.0,786.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/05 00:00:00,1395/01/06 00:00:00,9199,8835,260,76,17,11,84.62,802.0,744.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/06 00:00:00,1395/01/07 00:00:00,9219,8785,374,47,8,5,85.77,907.0,783.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/07 00:00:00,1395/01/08 00:00:00,9142,8613,477,46,5,1,86.34,969.0,665.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/08 00:00:00,1395/01/09 00:00:00,6718,6175,436,85,15,7,83.75,637.0,390.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/09 00:00:00,1395/01/10 00:00:00,6639,6249,262,89,22,17,82.77,637.0,435.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/10 00:00:00,1395/01/11 00:00:00,8112,7974,107,30,1,0,85.9,719.0,594.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/11 00:00:00,1395/01/12 00:00:00,7641,7372,212,42,14,1,86.11,782.0,463.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/12 00:00:00,1395/01/13 00:00:00,6339,6239,78,18,4,0,83.21,552.0,286.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/13 00:00:00,1395/01/14 00:00:00,5381,5316,44,13,5,3,77.04,298.0,321.0,0.0,,1425.0
543403,حسن رود - کياشهر ,1395/01/14 00:00:00,1395/01/15 00:00:00,6152,6048,71,27,6,0,85.59,648.0,279.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/15 00:00:00,1395/01/16 00:00:00,3311,3214,74,19,3,1,86.91,465.0,53.0,0.0,,1380.0
543403,حسن رود - کياشهر ,1395/01/16 00:00:00,1395/01/17 00:00:00,2560,2484,63,11,2,0,84.31,285.0,26.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/17 00:00:00,1395/01/18 00:00:00,3379,3279,71,22,6,1,87.14,454.0,50.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/18 00:00:00,1395/01/19 00:00:00,2865,2798,46,17,4,0,86.37,355.0,48.0,0.0,,1425.0
543403,حسن رود - کياشهر ,1395/01/19 00:00:00,1395/01/20 00:00:00,3973,3882,59,26,6,0,86.73,500.0,107.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/20 00:00:00,1395/01/21 00:00:00,4956,4880,62,14,0,0,85.48,551.0,253.0,0.0,,1425.0
543403,حسن رود - کياشهر ,1395/01/21 00:00:00,1395/01/22 00:00:00,3577,3476,75,21,5,0,87.08,475.0,80.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/22 00:00:00,1395/01/23 00:00:00,2659,2532,87,34,5,1,84.58,310.0,19.0,0.0,,1425.0
543403,حسن رود - کياشهر ,1395/01/23 00:00:00,1395/01/24 00:00:00,3332,3175,109,41,7,0,86.06,416.0,65.0,0.0,,1425.0
543403,حسن رود - کياشهر ,1395/01/24 00:00:00,1395/01/25 00:00:00,2515,2365,100,36,12,2,82.65,249.0,26.0,0.0,,1410.0
543403,حسن رود - کياشهر ,1395/01/25 00:00:00,1395/01/26 00:00:00,2487,2342,104,33,8,0,82.12,219.0,47.0,0.0,,1425.0
543403,حسن رود - کياشهر ,1395/01/26 00:00:00,1395/01/27 00:00:00,3966,3788,141,35,2,0,86.59,519.0,71.0,0.0,,1425.0
543403,حسن رود - کياشهر ,1395/01/27 00:00:00,1395/01/28 00:00:00,4885,4786,73,23,3,0,86.14,572.0,175.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/28 00:00:00,1395/01/29 00:00:00,3334,3252,61,16,3,2,85.79,383.0,60.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/29 00:00:00,1395/01/30 00:00:00,2799,2624,139,31,5,0,87.32,420.0,35.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/30 00:00:00,1395/01/31 00:00:00,3224,3096,87,36,5,0,87.53,470.0,52.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/01/31 00:00:00,1395/02/01 00:00:00,3361,3166,127,55,8,5,86.74,436.0,42.0,0.0,,1440.0
543403,حسن رود - کياشهر ,1395/12/01 00:00:00,1395/12/02 00:00:00,3646,3519,38,23,12,54,74.39,83.0,116.0,0.0,3646.0,1440.0
543403,حسن رود - کياشهر ,1395/12/02 00:00:00,1395/12/03 00:00:00,3960,3843,61,25,4,27,75.18,81.0,138.0,0.0,3960.0,1440.0
543403,حسن رود - کياشهر ,1395/12/03 00:00:00,1395/12/04 00:00:00,4347,4200,65,32,11,39,74.75,110.0,173.0,0.0,4347.0,1440.0
543403,حسن رود - کياشهر ,1395/12/04 00:00:00,1395/12/05 00:00:00,4541,4346,97,34,16,48,73.86,85.0,179.0,0.0,4541.0,1440.0
543403,حسن رود - کياشهر ,1395/12/05 00:00:00,1395/12/06 00:00:00,5578,5430,75,20,11,42,74.84,111.0,272.0,0.0,5578.0,1440.0
543403,حسن رود - کياشهر ,1395/12/06 00:00:00,1395/12/07 00:00:00,7813,7720,54,21,9,9,74.74,139.0,763.0,0.0,7813.0,1440.0
543403,حسن رود - کياشهر ,1395/12/07 00:00:00,1395/12/08 00:00:00,4227,4108,72,20,2,25,73.77,88.0,146.0,0.0,4227.0,1440.0
543403,حسن رود - کياشهر ,1395/12/08 00:00:00,1395/12/09 00:00:00,4361,4209,79,32,9,32,71.38,65.0,186.0,0.0,4361.0,1440.0
543403,حسن رود - کياشهر ,1395/12/09 00:00:00,1395/12/10 00:00:00,4232,4063,96,39,6,28,74.13,75.0,152.0,0.0,4232.0,1440.0
543403,حسن رود - کياشهر ,1395/12/10 00:00:00,1395/12/11 00:00:00,4380,4190,84,24,7,75,74.12,86.0,165.0,0.0,4382.0,1435.0
543403,حسن رود - کياشهر ,1395/12/11 00:00:00,1395/12/12 00:00:00,4884,4722,104,24,2,32,74.55,100.0,194.0,0.0,4884.0,1440.0
543403,حسن رود - کياشهر ,1395/12/12 00:00:00,1395/12/13 00:00:00,6188,6058,83,25,4,18,75.28,119.0,412.0,0.0,6188.0,1440.0
543403,حسن رود - کياشهر ,1395/12/13 00:00:00,1395/12/14 00:00:00,6168,6091,52,9,4,12,75.97,125.0,399.0,0.0,6169.0,1435.0
543403,حسن رود - کياشهر ,1395/12/14 00:00:00,1395/12/15 00:00:00,4371,4233,90,26,5,17,74.75,78.0,161.0,0.0,4371.0,1440.0
543403,حسن رود - کياشهر ,1395/12/15 00:00:00,1395/12/16 00:00:00,3887,3784,69,22,6,6,72.93,63.0,143.0,0.0,3887.0,1440.0
