Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543952,خلخال - اسالم,1396/01/01 00:15:00,1396/01/02 00:00:00,1587,1569,13,0,5,0,55.26,0.0,193.0,49.0,1631.0,1410.0
543952,خلخال - اسالم,1396/01/02 00:00:00,1396/01/03 00:00:00,1945,1917,22,3,2,1,52.81,0.0,340.0,51.0,2045.0,1365.0
543952,خلخال - اسالم,1396/01/03 00:15:00,1396/01/04 00:00:00,1891,1862,21,5,3,0,53.64,0.0,263.0,49.0,1935.0,1410.0
543952,خلخال - اسالم,1396/01/04 00:15:00,1396/01/05 00:00:00,2278,2258,17,3,0,0,53.44,0.0,393.0,74.0,2330.0,1410.0
543952,خلخال - اسالم,1396/01/05 00:15:00,1396/01/06 00:00:00,2310,2261,40,4,0,5,57.44,0.0,417.0,50.0,2390.0,1410.0
543952,خلخال - اسالم,1396/01/06 00:15:00,1396/01/07 00:00:00,2587,2516,57,9,4,1,54.81,0.0,510.0,47.0,2679.0,1400.0
543952,خلخال - اسالم,1396/01/07 00:15:00,1396/01/08 00:00:00,689,655,32,2,0,0,58.78,3.0,66.0,25.0,2459.0,1410.0
543952,خلخال - اسالم,1396/01/08 00:15:00,1396/01/09 00:00:00,2669,2577,82,8,2,0,52.16,1.0,437.0,69.0,2728.0,1410.0
543952,خلخال - اسالم,1396/01/09 00:15:00,1396/01/10 00:00:00,2926,2818,94,13,1,0,54.83,0.0,610.0,68.0,2984.0,1410.0
543952,خلخال - اسالم,1396/01/10 00:15:00,1396/01/11 00:00:00,3361,3253,90,14,4,0,53.83,0.0,742.0,72.0,3429.0,1410.0
543952,خلخال - اسالم,1396/01/11 00:15:00,1396/01/12 00:00:00,4019,3919,89,7,1,3,51.38,0.0,1049.0,68.0,4098.0,1410.0
543952,خلخال - اسالم,1396/01/12 00:15:00,1396/01/13 00:00:00,2406,2347,51,7,1,0,56.2,0.0,457.0,51.0,2447.0,1410.0
543952,خلخال - اسالم,1396/01/13 00:15:00,1396/01/14 00:00:00,4136,4091,33,6,5,1,44.9,1.0,1006.0,141.0,4181.0,1410.0
543952,خلخال - اسالم,1396/01/14 00:15:00,1396/01/15 00:00:00,1891,1839,40,11,1,0,58.64,0.0,271.0,19.0,1966.0,1410.0
543952,خلخال - اسالم,1396/01/15 00:15:00,1396/01/16 00:00:00,1449,1374,66,7,1,1,59.7,0.0,133.0,20.0,1487.0,1410.0
543952,خلخال - اسالم,1396/01/16 00:15:00,1396/01/17 00:00:00,1389,1285,95,7,0,2,59.55,0.0,110.0,24.0,1413.0,1410.0
543952,خلخال - اسالم,1396/01/17 00:15:00,1396/01/18 00:00:00,1600,1501,79,12,3,5,57.5,0.0,151.0,33.0,1632.0,1410.0
543952,خلخال - اسالم,1396/01/18 00:15:00,1396/01/19 00:00:00,2387,2311,61,12,1,2,55.68,0.0,345.0,81.0,2422.0,1410.0
543952,خلخال - اسالم,1396/01/19 00:15:00,1396/01/20 00:00:00,825,766,48,8,0,3,59.77,1.0,27.0,8.0,1255.0,1350.0
543952,خلخال - اسالم,1396/01/20 00:15:00,1396/01/21 00:00:00,442,393,40,6,2,1,59.47,4.0,17.0,15.0,1100.0,1410.0
543952,خلخال - اسالم,1396/01/21 00:15:00,1396/01/22 00:00:00,961,868,79,9,2,3,57.47,0.0,39.0,22.0,976.0,1410.0
543952,خلخال - اسالم,1396/01/22 00:15:00,1396/01/23 00:00:00,1151,1037,96,13,2,3,56.84,0.0,67.0,28.0,1173.0,1410.0
543952,خلخال - اسالم,1396/01/23 00:15:00,1396/01/24 00:00:00,1060,965,85,6,0,4,58.7,0.0,58.0,29.0,1074.0,1410.0
543952,خلخال - اسالم,1396/01/24 00:15:00,1396/01/25 00:00:00,1469,1363,92,5,5,4,58.72,0.0,114.0,61.0,2013.0,1410.0
543952,خلخال - اسالم,1396/01/25 00:15:00,1396/01/26 00:00:00,597,551,37,5,2,2,60.08,1.0,50.0,22.0,2297.0,1410.0
543952,خلخال - اسالم,1396/01/26 00:15:00,1396/01/27 00:00:00,1023,933,73,13,2,2,60.03,1.0,44.0,23.0,2321.0,1410.0
543952,خلخال - اسالم,1396/01/27 00:15:00,1396/01/28 00:00:00,885,802,69,10,2,2,57.86,0.0,27.0,20.0,905.0,1410.0
543952,خلخال - اسالم,1396/01/28 00:15:00,1396/01/29 00:00:00,1098,984,91,10,8,5,59.91,0.0,50.0,30.0,1115.0,1410.0
543952,خلخال - اسالم,1396/01/29 00:15:00,1396/01/30 00:00:00,881,819,54,5,2,1,59.69,0.0,38.0,22.0,1179.0,1410.0
543952,خلخال - اسالم,1396/01/30 00:15:00,1396/01/31 00:00:00,218,199,10,3,1,5,59.47,6.0,4.0,16.0,1021.0,1405.0
543952,خلخال - اسالم,1396/01/31 00:15:00,1396/02/01 00:00:00,1214,1167,40,4,2,1,58.3,0.0,72.0,27.0,1237.0,1410.0
543952,خلخال - اسالم,1395/01/01 00:00:00,1395/01/02 02:00:00,1061,1049,11,1,0,0,57.03,19.0,65.0,0.0,,1290.0
543952,خلخال - اسالم,1395/01/02 02:00:00,1395/01/03 00:00:00,1030,1010,18,2,0,0,56.89,16.0,61.0,0.0,,1095.0
543952,خلخال - اسالم,1395/01/03 00:00:00,1395/01/03 23:45:00,1267,1254,13,0,0,0,57.72,18.0,107.0,0.0,,1335.0
543952,خلخال - اسالم,1395/01/04 13:00:00,1395/01/05 00:00:00,955,945,7,3,0,0,53.28,14.0,93.0,0.0,,450.0
543952,خلخال - اسالم,1395/01/05 00:00:00,1395/01/06 00:00:00,568,556,10,2,0,0,57.41,21.0,78.0,0.0,,300.0
543952,خلخال - اسالم,1395/01/06 00:00:00,1395/01/07 00:00:00,2496,2465,30,1,0,0,53.78,25.0,380.0,0.0,,1320.0
543952,خلخال - اسالم,1395/01/07 00:00:00,1395/01/08 00:00:00,1194,1141,48,5,0,0,57.17,23.0,100.0,0.0,,1290.0
543952,خلخال - اسالم,1395/01/08 00:00:00,1395/01/09 00:00:00,1619,1560,58,1,0,0,55.52,20.0,144.0,0.0,,1320.0
543952,خلخال - اسالم,1395/01/09 00:00:00,1395/01/10 00:00:00,1861,1800,55,6,0,0,55.18,20.0,194.0,0.0,,1350.0
543952,خلخال - اسالم,1395/01/10 00:00:00,1395/01/11 00:00:00,2016,1943,67,6,0,0,54.68,15.0,204.0,0.0,,1380.0
543952,خلخال - اسالم,1395/01/11 00:00:00,1395/01/12 00:00:00,1737,1683,52,2,0,0,56.68,27.0,184.0,0.0,,1260.0
543952,خلخال - اسالم,1395/01/12 00:00:00,1395/01/13 00:00:00,1827,1779,47,1,0,0,55.49,16.0,165.0,0.0,,1365.0
543952,خلخال - اسالم,1395/01/13 00:00:00,1395/01/14 00:00:00,2448,2423,22,3,0,0,49.31,21.0,361.0,0.0,,1185.0
543952,خلخال - اسالم,1395/01/14 00:00:00,1395/01/15 00:00:00,1876,1807,64,4,1,0,58.96,41.0,200.0,0.0,,1365.0
543952,خلخال - اسالم,1395/01/15 00:00:00,1395/01/16 00:00:00,1178,1090,82,5,1,0,56.0,3.0,56.0,0.0,,1425.0
543952,خلخال - اسالم,1395/01/16 00:00:00,1395/01/17 00:00:00,525,485,39,1,0,0,56.01,6.0,11.0,0.0,,1320.0
543952,خلخال - اسالم,1395/01/17 00:00:00,1395/01/18 00:00:00,686,631,51,4,0,0,57.16,13.0,24.0,0.0,,1350.0
543952,خلخال - اسالم,1395/01/18 00:00:00,1395/01/19 00:00:00,717,645,66,6,0,0,58.18,16.0,10.0,0.0,,1395.0
543952,خلخال - اسالم,1395/01/19 00:15:00,1395/01/20 00:00:00,999,922,71,6,0,0,58.8,27.0,44.0,0.0,,1410.0
543952,خلخال - اسالم,1395/01/20 00:00:00,1395/01/21 00:00:00,1825,1767,55,3,0,0,57.15,20.0,162.0,0.0,,1410.0
543952,خلخال - اسالم,1395/01/21 00:00:00,1395/01/22 00:00:00,715,647,62,6,0,0,57.96,18.0,15.0,0.0,,1380.0
543952,خلخال - اسالم,1395/01/22 00:15:00,1395/01/23 00:00:00,741,668,68,4,1,0,58.24,14.0,18.0,0.0,,1305.0
543952,خلخال - اسالم,1395/01/23 00:00:00,1395/01/24 00:00:00,687,627,58,2,0,0,58.23,17.0,15.0,0.0,,1395.0
543952,خلخال - اسالم,1395/01/24 00:15:00,1395/01/24 23:45:00,645,578,62,4,1,0,56.69,9.0,18.0,0.0,,1305.0
543952,خلخال - اسالم,1395/01/25 00:15:00,1395/01/25 23:45:00,702,635,67,0,0,0,57.38,9.0,19.0,0.0,,1320.0
543952,خلخال - اسالم,1395/01/26 00:15:00,1395/01/27 00:00:00,988,906,75,7,0,0,57.4,14.0,33.0,0.0,,1335.0
543952,خلخال - اسالم,1395/01/27 00:00:00,1395/01/28 00:00:00,1242,1196,43,3,0,0,56.23,16.0,62.0,0.0,,1425.0
543952,خلخال - اسالم,1395/01/28 00:15:00,1395/01/29 00:00:00,393,323,45,20,2,3,58.92,13.0,11.0,0.0,,1320.0
543952,خلخال - اسالم,1395/01/29 00:15:00,1395/01/30 00:00:00,370,328,38,4,0,0,57.01,12.0,8.0,0.0,,1275.0
543952,خلخال - اسالم,1395/01/30 00:15:00,1395/01/31 00:00:00,507,481,21,5,0,0,57.38,9.0,11.0,0.0,,1395.0
543952,خلخال - اسالم,1395/01/31 00:15:00,1395/02/01 00:00:00,582,556,23,3,0,0,57.08,18.0,16.0,0.0,,1335.0
543952,خلخال - اسالم,1395/12/01 00:15:00,1395/12/02 00:00:00,237,227,10,0,0,0,46.93,0.0,6.0,0.0,254.0,1410.0
543952,خلخال - اسالم,1395/12/02 00:15:00,1395/12/03 00:00:00,314,294,19,1,0,0,51.18,0.0,11.0,5.0,318.0,1410.0
543952,خلخال - اسالم,1395/12/03 00:15:00,1395/12/03 23:50:00,415,387,26,2,0,0,53.9,0.0,7.0,3.0,424.0,1400.0
543952,خلخال - اسالم,1395/12/04 00:05:00,1395/12/05 00:00:00,422,412,10,0,0,0,57.46,1.0,14.0,0.0,455.0,1415.0
543952,خلخال - اسالم,1395/12/05 00:15:00,1395/12/06 00:00:00,563,537,23,1,1,1,57.71,1.0,16.0,1.0,640.0,1405.0
543952,خلخال - اسالم,1395/12/06 00:15:00,1395/12/07 00:00:00,1032,987,41,0,2,2,57.01,2.0,83.0,16.0,1051.0,1410.0
543952,خلخال - اسالم,1395/12/07 00:15:00,1395/12/08 00:00:00,590,552,37,1,0,0,58.91,1.0,10.0,1.0,599.0,1410.0
543952,خلخال - اسالم,1395/12/08 00:15:00,1395/12/09 00:00:00,386,355,28,1,2,0,55.19,1.0,9.0,4.0,522.0,1260.0
543952,خلخال - اسالم,1395/12/09 00:15:00,1395/12/09 01:25:00,8,8,0,0,0,0,50.62,0.0,0.0,0.0,588.0,70.0
543952,خلخال - اسالم,1395/12/10 14:15:00,1395/12/11 00:00:00,329,315,13,0,0,1,57.47,3.0,11.0,0.0,543.0,585.0
543952,خلخال - اسالم,1395/12/11 00:15:00,1395/12/12 00:00:00,700,664,33,2,0,1,58.14,0.0,29.0,4.0,708.0,1410.0
543952,خلخال - اسالم,1395/12/12 00:15:00,1395/12/13 00:00:00,798,763,35,0,0,0,56.59,1.0,31.0,3.0,814.0,1410.0
543952,خلخال - اسالم,1395/12/13 00:15:00,1395/12/14 00:00:00,1030,988,40,0,1,1,58.03,7.0,60.0,4.0,1052.0,1410.0
543952,خلخال - اسالم,1395/12/14 00:15:00,1395/12/15 00:00:00,622,590,32,0,0,0,57.17,1.0,20.0,8.0,692.0,1410.0
543952,خلخال - اسالم,1395/12/15 00:15:00,1395/12/15 03:15:00,2,2,0,0,0,0,63.0,0.0,0.0,0.0,694.0,15.0
543952,خلخال - اسالم,1395/12/23 16:40:00,1395/12/24 00:00:00,265,243,17,5,0,0,57.53,0.0,10.0,10.0,621.0,440.0
543952,خلخال - اسالم,1395/12/24 00:15:00,1395/12/25 00:00:00,642,574,58,7,2,1,61.18,0.0,13.0,27.0,654.0,1410.0
543952,خلخال - اسالم,1395/12/25 00:15:00,1395/12/26 00:00:00,836,758,67,9,0,2,59.38,1.0,30.0,15.0,852.0,1410.0
543952,خلخال - اسالم,1395/12/26 00:15:00,1395/12/27 00:00:00,1167,1044,105,13,3,2,59.41,2.0,65.0,41.0,1188.0,1410.0
543952,خلخال - اسالم,1395/12/27 00:15:00,1395/12/28 00:00:00,1435,1344,80,9,2,0,56.58,0.0,133.0,57.0,1459.0,1410.0
543952,خلخال - اسالم,1395/12/28 00:15:00,1395/12/29 00:00:00,1089,986,98,4,0,1,59.46,1.0,49.0,50.0,1202.0,1360.0
