Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544155,خلخال - پونل,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,1092,993,95,2,0,2,48,4,25,61,1100
544155,خلخال - پونل,1401/12/02 00:00:00,1401/12/03 00:00:00,1425,982,911,62,7,0,2,50,9,21,24,996
544155,خلخال - پونل,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,1074,1036,37,0,0,1,48,0,21,46,1074
544155,خلخال - پونل,1401/12/04 00:00:00,1401/12/05 00:00:00,1410,1192,1110,61,12,0,9,47,13,22,28,1228
544155,خلخال - پونل,1401/12/05 00:00:00,1401/12/06 00:00:00,1310,2030,2022,7,0,0,1,44,1,62,107,2177
544155,خلخال - پونل,1401/12/06 00:00:00,1401/12/07 00:00:00,1410,968,955,13,0,0,0,49,0,14,52,978
544155,خلخال - پونل,1401/12/07 00:00:00,1401/12/08 00:00:00,1430,1065,960,93,10,0,2,46,3,21,41,1074
544155,خلخال - پونل,1401/12/08 00:00:00,1401/12/09 00:00:00,1285,868,846,21,0,0,1,48,0,11,45,953
544155,خلخال - پونل,1401/12/09 00:00:00,1401/12/10 00:00:00,1430,1098,1027,69,1,0,1,47,1,22,42,1106
544155,خلخال - پونل,1401/12/10 00:00:00,1401/12/11 00:00:00,1410,1076,1022,53,0,0,1,47,1,16,33,1087
544155,خلخال - پونل,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,1207,1074,115,14,0,4,50,7,31,29,1207
544155,خلخال - پونل,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,2232,2110,112,8,0,2,48,5,104,39,2232
544155,خلخال - پونل,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,1004,875,112,9,0,8,51,7,35,36,1004
544155,خلخال - پونل,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,1057,1005,47,2,0,3,47,1,17,40,1057
544155,خلخال - پونل,1401/12/15 00:00:00,1401/12/16 00:00:00,1395,1066,990,66,8,0,2,49,1,23,45,1112
544155,خلخال - پونل,1401/12/16 09:05:00,1401/12/17 00:00:00,895,847,772,72,1,0,2,45,0,9,33,997
544155,خلخال - پونل,1401/12/17 00:00:00,1401/12/18 00:00:00,1440,1187,1094,82,2,0,9,51,12,45,63,1187
544155,خلخال - پونل,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,1035,931,91,4,0,9,45,1,16,23,1035
544155,خلخال - پونل,1401/12/19 00:00:00,1401/12/20 00:00:00,1390,2250,2232,12,0,0,6,45,1,68,85,2340
544155,خلخال - پونل,1401/12/20 00:00:00,1401/12/21 00:00:00,1410,1186,1073,102,5,0,6,47,2,25,43,1214
544155,خلخال - پونل,1401/12/21 00:00:00,1401/12/22 00:00:00,1330,1207,1172,33,1,0,1,47,0,19,64,1318
544155,خلخال - پونل,1401/12/22 00:00:00,1401/12/23 00:00:00,1425,1271,1172,97,0,0,2,48,0,25,69,1282
544155,خلخال - پونل,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,1202,1125,76,1,0,0,45,0,14,55,1222
544155,خلخال - پونل,1401/12/24 00:00:00,1401/12/25 00:00:00,1435,1094,1005,83,5,0,1,48,1,17,52,1105
544155,خلخال - پونل,1401/12/25 00:00:00,1401/12/26 00:00:00,1440,1292,1222,68,2,0,0,46,0,28,73,1296
544155,خلخال - پونل,1401/12/26 00:00:00,1401/12/27 00:00:00,1440,2289,2214,71,3,0,1,49,2,125,61,2305
544155,خلخال - پونل,1401/12/27 00:00:00,1401/12/28 00:00:00,1435,1773,1629,129,7,0,8,47,10,56,77,1786
544155,خلخال - پونل,1401/12/28 00:00:00,1401/12/29 00:00:00,1195,1815,1655,155,3,0,2,49,1,110,50,1921
544155,خلخال - پونل,1401/12/29 00:00:00,1402/01/01 00:00:00,1440,1701,1301,362,35,0,3,54,31,93,49,1701
544155,خلخال - پونل,1402/01/01 00:00:00,1402/01/02 00:00:00,1440,1720,1628,82,7,0,3,48,13,53,66,1720
544155,خلخال - پونل,1402/01/02 01:05:00,1402/01/03 00:00:00,1340,1689,1512,170,5,0,2,50,4,82,53,1798
544155,خلخال - پونل,1402/01/03 00:00:00,1402/01/04 00:00:00,1435,2837,2787,42,7,0,1,47,5,130,45,2839
544155,خلخال - پونل,1402/01/04 00:00:00,1402/01/05 00:00:00,1440,4465,4441,12,0,0,12,43,0,254,62,4465
544155,خلخال - پونل,1402/01/05 00:00:00,1402/01/06 00:00:00,1365,2541,2531,8,1,0,1,46,0,101,69,2713
544155,خلخال - پونل,1402/01/06 00:00:00,1402/01/07 00:00:00,1415,2819,2802,14,1,0,2,44,0,90,61,2830
544155,خلخال - پونل,1402/01/07 00:00:00,1402/01/08 00:00:00,1400,2511,2504,4,1,1,1,45,1,84,69,2582
544155,خلخال - پونل,1402/01/08 00:00:00,1402/01/08 06:35:00,395,137,137,0,0,0,0,47,0,1,17,2855
544155,خلخال - پونل,1402/01/09 12:45:00,1402/01/10 00:00:00,575,2620,2606,8,1,0,5,44,0,145,54,3241
544155,خلخال - پونل,1402/01/10 00:00:00,1402/01/11 00:00:00,1405,3411,3394,12,4,0,1,43,0,135,61,3484
544155,خلخال - پونل,1402/01/11 00:00:00,1402/01/12 00:00:00,930,1519,1516,3,0,0,0,44,0,39,50,4452
544155,خلخال - پونل,1402/01/12 00:00:00,1402/01/13 00:00:00,1435,2421,2407,6,6,0,2,46,0,80,58,2424
544155,خلخال - پونل,1402/01/13 00:00:00,1402/01/14 00:00:00,1395,6844,6535,208,49,18,34,41,3,550,228,7519
544155,خلخال - پونل,1402/01/14 00:00:00,1402/01/15 00:00:00,1225,1519,1510,8,0,0,1,48,0,25,61,2851
544155,خلخال - پونل,1402/01/15 00:00:00,1402/01/16 00:00:00,1415,1464,1458,4,0,0,2,48,0,30,59,1483
544155,خلخال - پونل,1402/01/16 00:00:00,1402/01/17 00:00:00,1405,1410,1375,33,2,0,0,46,1,33,50,1454
544155,خلخال - پونل,1402/01/17 00:00:00,1402/01/18 00:00:00,1410,2372,2126,234,6,0,6,44,0,88,61,2426
544155,خلخال - پونل,1402/01/18 00:00:00,1402/01/19 00:00:00,1405,4839,4752,77,4,0,6,43,0,281,76,4907
544155,خلخال - پونل,1402/01/19 00:00:00,1402/01/20 00:00:00,1330,1782,1515,259,1,0,7,44,0,55,61,2052
544155,خلخال - پونل,1402/01/20 00:00:00,1402/01/21 00:00:00,1390,1919,1620,291,4,0,4,44,0,66,36,2008
544155,خلخال - پونل,1402/01/21 00:00:00,1402/01/22 00:00:00,1430,1848,1576,262,2,0,8,43,0,49,54,1861
544155,خلخال - پونل,1402/01/22 00:20:00,1402/01/23 00:00:00,1390,1989,1726,238,13,0,12,44,0,80,45,2061
544155,خلخال - پونل,1402/01/23 00:00:00,1402/01/24 00:00:00,1405,2396,2320,65,6,0,5,47,0,105,58,2463
544155,خلخال - پونل,1402/01/24 00:00:00,1402/01/25 00:00:00,1410,2286,2010,260,0,0,16,45,2,93,62,2349
544155,خلخال - پونل,1402/01/25 00:00:00,1402/01/26 00:00:00,1410,4448,4375,59,4,0,10,43,0,289,83,4527
544155,خلخال - پونل,1402/01/26 00:00:00,1402/01/27 00:00:00,1390,2059,1740,304,3,0,12,45,0,85,56,2159
544155,خلخال - پونل,1402/01/27 00:00:00,1402/01/28 00:00:00,1350,1480,1225,241,5,0,9,42,0,25,48,1628
544155,خلخال - پونل,1402/01/28 00:00:00,1402/01/29 00:00:00,1410,1495,1192,292,2,1,8,43,0,42,50,1528
544155,خلخال - پونل,1402/01/29 00:00:00,1402/01/30 00:00:00,1435,1756,1486,260,1,0,9,44,0,68,51,1761
544155,خلخال - پونل,1402/01/30 00:00:00,1402/01/31 00:00:00,1435,2078,1817,250,3,0,8,44,0,87,30,2086
544155,خلخال - پونل,1402/01/31 00:00:00,1402/02/01 00:00:00,1410,2906,2726,172,3,0,5,44,0,131,38,2992
