Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543301,خمام - انزلي,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,23092,22168,505,142,105,172,77.0,23629.0,59.0,5284.0,0.0
543301,خمام - انزلي,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,27524,26527,522,162,115,198,77.0,27524.0,86.0,7163.0,0.0
543301,خمام - انزلي,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,29164,28557,245,104,126,132,75.0,29164.0,112.0,9302.0,0.0
543301,خمام - انزلي,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,23725,22839,497,112,119,158,78.0,23725.0,110.0,5266.0,0.0
543301,خمام - انزلي,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,22902,21924,535,140,123,180,78.0,22902.0,112.0,5262.0,0.0
543301,خمام - انزلي,1397/12/06 00:00:00,1397/12/07 00:00:00,1405.0,22148,21177,540,156,110,165,78.0,22723.0,99.0,4802.0,0.0
543301,خمام - انزلي,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,24221,23194,570,172,139,146,78.0,24221.0,110.0,5771.0,0.0
543301,خمام - انزلي,1397/12/08 00:00:00,1397/12/08 16:05:00,955.0,14427,13681,402,124,78,142,78.0,24280.0,67.0,3486.0,0.0
543301,خمام - انزلي,1397/12/09 10:50:00,1397/12/10 00:00:00,790.0,18389,17861,265,118,64,81,74.0,25078.0,35.0,5000.0,0.0
543301,خمام - انزلي,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,23749,23091,298,123,109,128,71.0,23749.0,55.0,6197.0,0.0
543301,خمام - انزلي,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,24295,23275,549,147,111,213,78.0,24295.0,106.0,5597.0,0.0
543301,خمام - انزلي,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,24143,22990,573,194,147,239,78.0,24143.0,112.0,5915.0,0.0
543301,خمام - انزلي,1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,23421,22247,624,188,157,205,77.0,23421.0,96.0,5596.0,0.0
543301,خمام - انزلي,1397/12/14 00:00:00,1397/12/15 00:00:00,1190.0,18127,17238,429,137,137,186,78.0,23512.0,85.0,4149.0,0.0
543301,خمام - انزلي,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,25382,24201,582,182,149,268,76.0,25382.0,71.0,6390.0,0.0
543301,خمام - انزلي,1397/12/16 00:00:00,1397/12/17 00:00:00,1440.0,26487,25427,511,199,146,204,75.0,26487.0,61.0,6846.0,0.0
543301,خمام - انزلي,1397/12/17 00:00:00,1397/12/18 00:00:00,1435.0,21344,20696,245,101,106,196,72.0,21359.0,19.0,4475.0,0.0
543301,خمام - انزلي,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,23924,22847,571,152,144,210,77.0,23924.0,64.0,5390.0,0.0
543301,خمام - انزلي,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,24413,23403,526,186,143,155,78.0,24413.0,110.0,5995.0,0.0
543301,خمام - انزلي,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,23455,22390,517,201,135,212,78.0,24194.0,114.0,5768.0,0.0
543301,خمام - انزلي,1397/12/21 00:00:00,1397/12/22 00:00:00,1030.0,19534,18737,392,147,96,162,78.0,24693.0,94.0,4672.0,0.0
543301,خمام - انزلي,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,25815,24693,579,180,155,208,77.0,25815.0,113.0,6458.0,0.0
543301,خمام - انزلي,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,26921,25783,551,185,167,235,77.0,26921.0,93.0,7023.0,0.0
543301,خمام - انزلي,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,24489,23720,326,136,134,173,77.0,24489.0,115.0,5755.0,0.0
543301,خمام - انزلي,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,25996,24792,631,185,150,238,78.0,25996.0,124.0,6227.0,0.0
543301,خمام - انزلي,1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,25863,24820,555,170,147,171,77.0,25977.0,88.0,6481.0,0.0
543301,خمام - انزلي,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,26145,25229,489,143,107,177,76.0,26145.0,60.0,6526.0,0.0
543301,خمام - انزلي,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,27885,27206,400,81,87,111,75.0,28015.0,56.0,7586.0,0.0
543301,خمام - انزلي,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,24364,23990,186,51,72,65,74.0,24364.0,44.0,5475.0,0.0
543301,خمام - انزلي,1401/12/01 00:00:00,1401/12/02 00:00:00,1405.0,28922,27777,717,136,29,263,62.0,29784.0,50.0,3372.0,0.0
543301,خمام - انزلي,1401/12/02 00:00:00,1401/12/03 00:00:00,1405.0,29000,28020,668,114,29,169,63.0,29600.0,82.0,3428.0,0.0
543301,خمام - انزلي,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,30658,29488,734,174,23,239,62.0,30658.0,61.0,3807.0,0.0
543301,خمام - انزلي,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,34033,32386,1108,209,30,300,59.0,34033.0,105.0,5401.0,0.0
543301,خمام - انزلي,1401/12/05 00:00:00,1401/12/06 00:00:00,1370.0,27997,26303,1118,230,16,330,54.0,28801.0,30.0,3310.0,0.0
543301,خمام - انزلي,1401/12/06 00:00:00,1401/12/07 00:00:00,1350.0,27373,25795,996,200,16,366,62.0,29609.0,56.0,3654.0,0.0
543301,خمام - انزلي,1401/12/07 00:00:00,1401/12/08 00:00:00,1430.0,29571,28229,878,153,23,288,62.0,29840.0,74.0,3908.0,0.0
543301,خمام - انزلي,1401/12/08 00:00:00,1401/12/09 00:00:00,1255.0,24809,23494,849,173,30,263,60.0,28867.0,44.0,3369.0,0.0
543301,خمام - انزلي,1401/12/09 00:00:00,1401/12/10 00:00:00,1395.0,28743,26969,1151,225,25,373,59.0,30012.0,44.0,4054.0,0.0
543301,خمام - انزلي,1401/12/10 00:00:00,1401/12/11 00:00:00,1360.0,29094,27502,1033,195,27,337,59.0,30967.0,45.0,4304.0,0.0
543301,خمام - انزلي,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,33495,30891,1748,349,21,486,58.0,33495.0,66.0,5733.0,0.0
543301,خمام - انزلي,1401/12/12 00:30:00,1401/12/13 00:00:00,1380.0,32684,31400,804,177,27,276,60.0,34424.0,88.0,4602.0,0.0
543301,خمام - انزلي,1401/12/13 00:00:00,1401/12/14 00:00:00,1350.0,27148,25910,736,172,17,313,62.0,29600.0,52.0,3249.0,0.0
543301,خمام - انزلي,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,29999,28582,882,207,23,305,62.0,29999.0,77.0,3828.0,0.0
543301,خمام - انزلي,1401/12/15 00:00:00,1401/12/16 00:00:00,1310.0,27342,25960,876,187,28,291,61.0,30869.0,42.0,3632.0,0.0
543301,خمام - انزلي,1401/12/16 00:00:00,1401/12/17 00:00:00,1385.0,28920,27905,662,132,20,201,62.0,30491.0,82.0,2974.0,0.0
543301,خمام - انزلي,1401/12/17 00:00:00,1401/12/18 00:00:00,1380.0,28678,27880,480,159,30,129,59.0,30647.0,42.0,3260.0,0.0
543301,خمام - انزلي,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,32619,31677,571,170,39,162,55.0,32619.0,26.0,5038.0,0.0
543301,خمام - انزلي,1401/12/19 00:00:00,1401/12/20 00:00:00,1405.0,33742,33021,427,133,19,142,59.0,35205.0,45.0,4468.0,0.0
543301,خمام - انزلي,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,31089,29924,680,146,24,315,62.0,31089.0,53.0,3638.0,0.0
543301,خمام - انزلي,1401/12/21 00:00:00,1401/12/22 00:00:00,1355.0,29318,28231,647,140,19,281,62.0,31849.0,58.0,3491.0,0.0
543301,خمام - انزلي,1401/12/22 00:00:00,1401/12/23 00:00:00,1315.0,28351,27189,725,158,13,266,63.0,31259.0,79.0,3407.0,0.0
543301,خمام - انزلي,1401/12/23 00:00:00,1401/12/24 00:00:00,1410.0,31389,30353,716,115,19,186,64.0,32354.0,85.0,3863.0,0.0
543301,خمام - انزلي,1401/12/24 00:00:00,1401/12/25 00:00:00,1430.0,30814,29758,672,124,31,229,63.0,31073.0,74.0,3413.0,0.0
543301,خمام - انزلي,1401/12/25 00:00:00,1401/12/26 00:00:00,1440.0,32955,31988,597,133,23,214,62.0,32955.0,78.0,3865.0,0.0
543301,خمام - انزلي,1401/12/26 00:00:00,1401/12/27 00:00:00,1405.0,31383,30693,423,105,36,126,63.0,32470.0,84.0,3330.0,0.0
