Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543161,خمام - رشت,1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,33042,31841,694,176,117,214,73.0,34284.0,65.0,11767.0,0.0
543161,خمام - رشت,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,36246,35147,604,172,104,219,73.0,36246.0,78.0,12762.0,0.0
543161,خمام - رشت,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,39189,38407,356,168,114,144,68.0,39189.0,139.0,15948.0,0.0
543161,خمام - رشت,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,36387,35257,646,166,120,198,73.0,36387.0,123.0,12744.0,0.0
543161,خمام - رشت,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,34048,32938,610,177,118,205,74.0,34048.0,126.0,11813.0,0.0
543161,خمام - رشت,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,33836,32616,636,179,127,278,72.0,33836.0,103.0,11525.0,0.0
543161,خمام - رشت,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,35449,34214,684,202,143,206,73.0,35449.0,101.0,12345.0,0.0
543161,خمام - رشت,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,34893,33755,634,164,129,211,72.0,34893.0,106.0,12034.0,0.0
543161,خمام - رشت,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,34117,32987,584,185,126,235,71.0,34117.0,64.0,11998.0,0.0
543161,خمام - رشت,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,35733,35011,362,143,91,126,69.0,35733.0,51.0,14140.0,0.0
543161,خمام - رشت,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,36410,35155,676,175,141,263,73.0,36410.0,124.0,13116.0,0.0
543161,خمام - رشت,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,34640,33298,701,211,145,285,74.0,34640.0,100.0,12318.0,0.0
543161,خمام - رشت,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,33754,32500,662,210,122,260,73.0,33970.0,105.0,11753.0,0.0
543161,خمام - رشت,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,34289,33024,662,201,108,294,74.0,34289.0,119.0,11912.0,0.0
543161,خمام - رشت,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,35484,34194,689,214,127,260,73.0,35484.0,73.0,12604.0,0.0
543161,خمام - رشت,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,36567,35339,653,216,142,217,71.0,36586.0,41.0,13361.0,0.0
543161,خمام - رشت,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,32355,31626,347,115,72,195,69.0,32355.0,41.0,10382.0,0.0
543161,خمام - رشت,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,35931,34713,705,178,120,215,72.0,35931.0,69.0,12730.0,0.0
543161,خمام - رشت,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,35335,34073,695,228,112,227,73.0,35335.0,96.0,12632.0,0.0
543161,خمام - رشت,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,34066,32818,677,199,129,243,74.0,34907.0,109.0,12026.0,0.0
543161,خمام - رشت,1397/12/21 00:00:00,1397/12/22 00:00:00,955.0,29607,28511,579,168,103,246,72.0,35920.0,52.0,11206.0,0.0
543161,خمام - رشت,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,36980,35585,746,212,152,285,73.0,36980.0,135.0,13427.0,0.0
543161,خمام - رشت,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,36611,35362,616,205,152,276,73.0,36611.0,113.0,13035.0,0.0
543161,خمام - رشت,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,34877,34029,423,149,82,194,71.0,34877.0,101.0,12152.0,0.0
