Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543231,خمام - پيربازار,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,4758,4578,130,11,1,38,69,84,346,34,4764
543231,خمام - پيربازار,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,4721,4516,133,22,0,50,67,73,362,43,4747
543231,خمام - پيربازار,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,4760,4537,168,19,0,36,67,65,335,45,4760
543231,خمام - پيربازار,1401/12/04 00:00:00,1401/12/05 00:00:00,1440,4888,4680,152,12,0,44,66,62,403,43,4888
543231,خمام - پيربازار,1401/12/05 00:00:00,1401/12/06 00:00:00,1380,3874,3813,49,5,0,7,63,35,204,40,3927
543231,خمام - پيربازار,1401/12/06 00:00:00,1401/12/07 00:00:00,1400,4808,4604,149,13,1,41,66,41,371,43,4846
543231,خمام - پيربازار,1401/12/07 00:00:00,1401/12/08 00:00:00,1435,4749,4531,173,22,0,23,67,48,344,34,4776
543231,خمام - پيربازار,1401/12/08 00:00:00,1401/12/09 00:00:00,1240,3813,3636,147,7,0,23,65,41,341,26,4600
543231,خمام - پيربازار,1401/12/09 00:00:00,1401/12/10 00:00:00,1390,4410,4176,180,20,0,34,65,42,363,38,4646
543231,خمام - پيربازار,1401/12/10 00:00:00,1401/12/11 00:00:00,1400,4697,4453,202,14,0,28,64,47,404,33,4754
543231,خمام - پيربازار,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,4981,4703,231,23,0,24,65,42,473,42,4981
543231,خمام - پيربازار,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,4960,4877,71,6,0,6,66,61,406,28,4960
543231,خمام - پيربازار,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,4830,4547,222,26,0,35,66,52,427,42,4830
543231,خمام - پيربازار,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,4825,4613,165,15,0,32,67,56,400,49,4825
