Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544651,ديلمان - سياهکل,1397/12/01 00:00:00,1397/12/02 00:00:00,1440,473,372,52,38,3,8,50,0,11,43,494
544651,ديلمان - سياهکل,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,628,470,73,57,3,25,53,0,26,42,642
544651,ديلمان - سياهکل,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,1150,1009,65,48,2,26,54,0,80,61,1157
544651,ديلمان - سياهکل,1397/12/04 00:00:00,1397/12/05 00:00:00,1430,642,485,69,63,5,20,53,0,21,45,658
544651,ديلمان - سياهکل,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,571,405,73,68,5,20,51,0,22,34,573
544651,ديلمان - سياهکل,1397/12/06 00:00:00,1397/12/07 00:00:00,1440,550,391,78,60,2,19,52,1,22,35,550
544651,ديلمان - سياهکل,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,644,476,79,63,4,22,53,1,22,32,644
544651,ديلمان - سياهکل,1397/12/08 00:00:00,1397/12/09 00:00:00,1440,609,455,73,58,1,22,53,0,25,40,609
544651,ديلمان - سياهکل,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,546,397,66,59,4,20,52,0,20,28,564
544651,ديلمان - سياهکل,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,816,707,54,46,1,8,51,0,74,63,816
544651,ديلمان - سياهکل,1397/12/11 00:00:00,1397/12/12 00:00:00,1440,637,483,65,64,2,23,53,0,22,36,646
544651,ديلمان - سياهکل,1397/12/12 00:00:00,1397/12/13 00:00:00,1440,531,374,82,55,6,14,48,0,14,23,531
544651,ديلمان - سياهکل,1397/12/13 00:00:00,1397/12/14 00:00:00,1440,688,521,77,64,6,20,54,0,24,37,700
544651,ديلمان - سياهکل,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,714,536,78,71,4,25,52,0,30,38,728
544651,ديلمان - سياهکل,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,672,475,104,67,4,22,51,0,26,35,672
544651,ديلمان - سياهکل,1397/12/16 00:00:00,1397/12/17 00:00:00,1435,794,630,79,62,4,19,53,0,42,35,810
