Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543659,رامسر - چابکسر (مرز استان),1401/12/01 00:00:00,1401/12/02 00:00:00,1280,12303,11062,813,145,24,259,76,195,462,0,14721
543659,رامسر - چابکسر (مرز استان),1401/12/02 00:00:00,1401/12/03 00:00:00,1250,11975,11105,551,148,23,148,75,157,491,0,14709
543659,رامسر - چابکسر (مرز استان),1401/12/03 00:00:00,1401/12/04 00:00:00,1015,8712,8007,449,88,19,149,76,134,328,0,15749
543659,رامسر - چابکسر (مرز استان),1401/12/04 00:00:00,1401/12/05 00:00:00,940,8152,7577,316,101,18,140,74,91,300,0,15425
543659,رامسر - چابکسر (مرز استان),1401/12/05 00:00:00,1401/12/06 00:00:00,1165,11556,11020,327,97,19,93,72,56,411,0,14951
543659,رامسر - چابکسر (مرز استان),1401/12/06 00:00:00,1401/12/07 00:00:00,1400,14730,13828,581,148,27,146,77,239,577,0,14966
543659,رامسر - چابکسر (مرز استان),1401/12/07 00:00:00,1401/12/08 00:00:00,1385,14053,12843,745,178,25,262,76,229,572,0,14944
543659,رامسر - چابکسر (مرز استان),1401/12/08 00:00:00,1401/12/09 00:00:00,1055,9402,8798,388,97,14,105,62,136,283,0,13944
543659,رامسر - چابکسر (مرز استان),1401/12/09 00:00:00,1401/12/10 00:00:00,1255,12468,11482,635,160,36,155,76,215,487,0,14926
543659,رامسر - چابکسر (مرز استان),1401/12/10 00:00:00,1401/12/11 00:00:00,1395,15671,14567,702,148,31,223,76,230,728,0,16120
543659,رامسر - چابکسر (مرز استان),1401/12/11 00:00:00,1401/12/12 00:00:00,1375,15549,14564,663,149,28,145,76,163,693,0,16763
543659,رامسر - چابکسر (مرز استان),1401/12/12 00:00:00,1401/12/13 00:00:00,1405,16245,15489,476,121,28,131,75,186,790,0,16822
543659,رامسر - چابکسر (مرز استان),1401/12/13 00:00:00,1401/12/14 00:00:00,1420,14888,13680,751,167,32,258,76,254,659,0,15145
543659,رامسر - چابکسر (مرز استان),1401/12/14 00:00:00,1401/12/15 00:00:00,1415,14566,13341,782,178,22,243,76,237,608,0,14891
543659,رامسر - چابکسر (مرز استان),1401/12/15 00:00:00,1401/12/16 00:00:00,1270,13127,11781,889,168,27,262,75,165,577,0,15523
543659,رامسر - چابکسر (مرز استان),1401/12/16 00:00:00,1401/12/17 00:00:00,1250,13107,11995,681,133,16,282,72,100,478,0,16105
543659,رامسر - چابکسر (مرز استان),1401/12/17 00:00:00,1401/12/18 00:00:00,1115,11712,10987,416,109,32,168,74,181,543,0,17426
543659,رامسر - چابکسر (مرز استان),1401/12/18 00:00:00,1401/12/18 23:55:00,1380,17981,16971,609,157,24,220,73,173,1018,0,18826
543659,رامسر - چابکسر (مرز استان),1401/12/19 00:15:00,1401/12/20 00:00:00,1195,13695,12961,443,104,35,152,74,127,685,0,17959
543659,رامسر - چابکسر (مرز استان),1401/12/20 00:00:00,1401/12/21 00:00:00,1125,11588,10518,735,109,21,205,75,137,493,0,16370
543659,رامسر - چابکسر (مرز استان),1401/12/21 00:00:00,1401/12/22 00:00:00,1270,13625,12123,1030,157,25,290,73,141,680,0,16239
543659,رامسر - چابکسر (مرز استان),1401/12/22 00:00:00,1401/12/23 00:00:00,1325,15440,13802,1120,158,27,333,73,137,722,0,16755
543659,رامسر - چابکسر (مرز استان),1401/12/23 00:00:00,1401/12/24 00:00:00,1400,15188,13670,877,262,29,350,74,185,662,0,15695
543659,رامسر - چابکسر (مرز استان),1401/12/24 00:00:00,1401/12/25 00:00:00,1220,13270,12170,563,200,29,308,74,181,596,0,16946
543659,رامسر - چابکسر (مرز استان),1401/12/25 00:00:00,1401/12/25 23:50:00,915,9129,8404,361,117,19,228,74,110,445,0,18297
543659,رامسر - چابکسر (مرز استان),1401/12/26 00:00:00,1401/12/27 00:00:00,810,7177,6666,325,70,17,99,75,136,319,0,18296
543659,رامسر - چابکسر (مرز استان),1401/12/27 00:00:00,1401/12/28 00:00:00,700,5649,5252,235,54,8,100,74,72,240,0,18462
543659,رامسر - چابکسر (مرز استان),1401/12/28 00:00:00,1401/12/29 00:00:00,1090,18625,17955,420,91,22,137,72,129,1086,0,20995
543659,رامسر - چابکسر (مرز استان),1401/12/29 00:00:00,1402/01/01 00:00:00,1155,15419,15037,230,50,28,74,73,127,887,0,17830
543659,رامسر - چابکسر (مرز استان),1402/01/01 00:00:00,1402/01/01 16:15:00,820,9214,9126,50,8,11,19,69,46,422,0,12736
543659,رامسر - چابکسر (مرز استان),1402/01/03 08:45:00,1402/01/04 00:00:00,450,13126,12932,148,18,14,14,65,18,1358,0,26277
543659,رامسر - چابکسر (مرز استان),1402/01/04 00:00:00,1402/01/05 00:00:00,795,15875,15619,167,34,23,32,69,53,1321,0,28648
543659,رامسر - چابکسر (مرز استان),1402/01/05 00:00:00,1402/01/06 00:00:00,775,16181,15889,202,40,19,31,67,41,1519,0,32703
543659,رامسر - چابکسر (مرز استان),1402/01/06 00:00:00,1402/01/06 17:25:00,720,12414,12109,218,34,13,40,70,56,1014,0,27489
543659,رامسر - چابکسر (مرز استان),1402/01/07 03:40:00,1402/01/07 18:00:00,695,14729,14248,353,48,11,69,68,30,1314,0,25809
543659,رامسر - چابکسر (مرز استان),1402/01/08 09:00:00,1402/01/08 23:40:00,375,9394,9102,220,22,7,43,67,14,887,0,25856
543659,رامسر - چابکسر (مرز استان),1402/01/09 00:00:00,1402/01/09 23:05:00,600,9250,8954,191,49,15,41,68,43,740,0,30932
543659,رامسر - چابکسر (مرز استان),1402/01/10 01:30:00,1402/01/11 00:00:00,810,15614,15131,321,55,18,89,66,32,1250,0,30442
543659,رامسر - چابکسر (مرز استان),1402/01/11 00:00:00,1402/01/11 23:15:00,350,2974,2870,63,8,5,28,68,9,69,0,21654
543659,رامسر - چابکسر (مرز استان),1402/01/12 00:00:00,1402/01/13 00:00:00,1390,22067,21574,287,82,28,96,69,76,1205,0,22610
543659,رامسر - چابکسر (مرز استان),1402/01/13 00:00:00,1402/01/14 00:00:00,1375,17959,17721,156,29,19,34,71,162,1070,0,18970
543659,رامسر - چابکسر (مرز استان),1402/01/14 00:00:00,1402/01/15 00:00:00,1375,17874,17280,394,64,20,116,74,156,899,0,18496
543659,رامسر - چابکسر (مرز استان),1402/01/15 00:00:00,1402/01/16 00:00:00,1385,15656,14676,636,88,23,233,74,167,729,0,16448
543659,رامسر - چابکسر (مرز استان),1402/01/16 00:00:00,1402/01/17 00:00:00,1265,13931,13001,589,112,20,209,74,173,606,0,16711
543659,رامسر - چابکسر (مرز استان),1402/01/17 00:00:00,1402/01/18 00:00:00,1400,16810,15589,784,116,21,300,72,149,857,0,17370
