Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/01 00:00:00,1396/01/02 00:00:00,4971,4632,156,118,15,50,67.58,67.0,1306.0,7.0,4971.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/02 00:00:00,1396/01/03 00:00:00,5827,5330,258,142,23,74,65.38,59.0,1820.0,13.0,6110.0,1375.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/03 00:00:00,1396/01/04 00:00:00,4060,3563,244,145,30,78,63.18,30.0,817.0,12.0,4060.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/04 00:00:00,1396/01/05 00:00:00,3835,3329,229,155,41,81,60.53,12.0,769.0,13.0,3835.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/05 00:00:00,1396/01/06 00:00:00,4746,3857,473,236,56,124,63.79,64.0,1178.0,48.0,4746.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/06 00:00:00,1396/01/07 00:00:00,5887,4544,648,398,69,228,62.93,77.0,1678.0,27.0,5898.0,1435.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/07 00:00:00,1396/01/08 00:00:00,7450,5838,723,470,83,336,61.83,66.0,2454.0,15.0,7450.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/08 00:00:00,1396/01/09 00:00:00,6532,4744,834,526,97,331,59.66,39.0,1917.0,21.0,6532.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/09 00:00:00,1396/01/10 00:00:00,6256,4314,940,557,112,333,59.54,40.0,1787.0,22.0,6267.0,1435.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/10 00:00:00,1396/01/11 00:00:00,5539,4064,734,380,70,291,61.04,53.0,1380.0,11.0,5539.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/11 00:00:00,1396/01/12 00:00:00,4545,3470,484,322,67,202,61.26,53.0,962.0,20.0,4545.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/12 00:00:00,1396/01/13 00:00:00,3402,2658,372,219,40,113,62.84,50.0,488.0,11.0,3402.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/13 00:00:00,1396/01/14 00:00:00,4418,4145,137,67,22,47,57.41,31.0,1176.0,20.0,4418.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/14 00:00:00,1396/01/15 00:00:00,3036,1981,468,300,63,224,59.9,13.0,371.0,16.0,3036.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/15 00:00:00,1396/01/16 00:00:00,4685,2365,1182,601,108,429,59.05,66.0,977.0,12.0,4685.0,1440.0
543655,رستم آباد (جاده قديم) - امامزاده هاشم ,1396/01/16 00:00:00,1396/01/17 00:00:00,5737,2591,1528,824,150,644,56.75,41.0,1416.0,19.0,5737.0,1440.0
