Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,16352,16040,55,30,94,133,99.0,458.0,2711.0,0.0,17300.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/02 00:00:00,1397/12/03 00:00:00,1415.0,19996,19551,106,51,101,187,99.0,541.0,3482.0,0.0,20312.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,15629,15272,59,29,102,167,98.0,405.0,2333.0,0.0,15629.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,12942,12585,50,40,111,156,98.0,326.0,1393.0,0.0,12942.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,12242,11903,60,36,108,135,98.0,342.0,1237.0,0.0,12242.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,12215,11886,61,40,101,127,97.0,310.0,1285.0,0.0,12215.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,13276,12940,51,44,102,139,98.0,328.0,1506.0,0.0,13276.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,18623,17873,238,131,144,237,98.0,538.0,3660.0,0.0,18623.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,19343,18980,61,38,126,138,98.0,525.0,3257.0,0.0,19343.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,14990,14612,59,35,108,176,97.0,358.0,2116.0,0.0,14990.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,12884,12532,43,42,114,153,98.0,366.0,1463.0,0.0,12884.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/12 00:00:00,1397/12/13 00:00:00,1425.0,12258,11937,56,37,90,138,98.0,387.0,1338.0,0.0,12406.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,12200,11845,60,35,125,135,98.0,339.0,1298.0,0.0,12276.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/14 00:00:00,1397/12/15 00:00:00,1430.0,13282,12934,66,43,94,145,99.0,383.0,1567.0,0.0,13392.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,18072,17693,77,42,103,157,99.0,537.0,3184.0,0.0,18072.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,19874,19500,74,33,90,177,99.0,608.0,3336.0,0.0,19899.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,14221,13847,55,42,144,133,92.0,177.0,1650.0,0.0,14221.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,12191,11840,60,30,113,148,96.0,285.0,1233.0,0.0,12191.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,12746,12420,50,43,96,137,98.0,352.0,1436.0,0.0,12746.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,12461,12088,66,42,115,150,98.0,337.0,1356.0,0.0,12775.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/21 00:00:00,1397/12/22 00:00:00,985.0,10772,10519,52,19,63,119,98.0,309.0,1410.0,0.0,13655.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,17665,17246,82,46,118,173,99.0,556.0,2731.0,0.0,17665.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,20505,20070,85,54,124,172,97.0,448.0,3524.0,0.0,20505.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,17395,16978,80,37,145,155,97.0,367.0,2721.0,0.0,17395.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,17053,16654,78,33,123,165,99.0,528.0,2625.0,0.0,17053.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,20570,20149,76,41,135,169,96.0,401.0,3775.0,0.0,20570.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,31010,30503,102,51,170,184,96.0,499.0,9205.0,0.0,31010.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,43817,43232,121,54,182,228,93.0,370.0,17719.0,0.0,44006.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,50738,50182,130,52,137,237,92.0,412.0,23689.0,0.0,50738.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,17485,16922,306,76,147,34,93.0,198.0,1216.0,0.0,17522.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1401/12/02 00:00:00,1401/12/03 00:00:00,1365.0,17414,16839,333,70,139,33,92.0,187.0,1285.0,0.0,18792.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1401/12/03 00:00:00,1401/12/04 00:00:00,1375.0,21806,21182,396,60,148,20,94.0,328.0,2258.0,0.0,22858.0
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),1401/12/04 00:00:00,1401/12/05 00:00:00,1320.0,22152,21542,368,59,160,23,91.0,206.0,2252.0,0.0,24351.0
