Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/01 00:00:00,1397/12/02 00:00:00,1280.0,11643,11330,35,34,213,31,104.0,1555.0,1400.0,0.0,12231.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/02 00:00:00,1397/12/03 00:00:00,1425.0,13249,12826,58,39,286,40,103.0,1520.0,1756.0,0.0,13404.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,22763,22356,45,35,286,41,106.0,3144.0,6365.0,0.0,22763.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,15810,15437,36,31,270,36,105.0,2241.0,2270.0,0.0,15905.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/05 00:00:00,1397/12/06 00:00:00,1435.0,12487,12139,37,33,236,42,105.0,1812.0,1347.0,0.0,12502.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,11839,11504,34,22,254,25,104.0,1539.0,1228.0,0.0,11839.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,12056,11685,45,37,258,31,103.0,1573.0,1447.0,0.0,12056.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,13516,12804,207,88,317,100,103.0,1675.0,1883.0,0.0,13516.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,13110,12744,39,35,261,31,104.0,1684.0,1672.0,0.0,13110.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,22464,22061,44,41,285,33,106.0,3300.0,6104.0,0.0,22464.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,15111,14735,36,22,275,43,104.0,1823.0,1955.0,0.0,15111.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/12 00:00:00,1397/12/13 00:00:00,1375.0,11625,11285,41,26,241,32,103.0,1465.0,1246.0,0.0,12249.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,11751,11384,45,31,269,22,104.0,1546.0,1235.0,0.0,11812.0
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,11958,11590,47,31,270,20,104.0,1621.0,1222.0,0.0,11958.0
