Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543501,رستم آباد - رودبار (جاده قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,2447,2226,123,35,12,51,68.2,9.0,251.0,59.0,2447.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,3161,2782,217,88,19,55,67.13,11.0,412.0,76.0,3332.0,1380.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,3503,3029,267,111,18,78,64.16,6.0,517.0,60.0,3503.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,4424,3931,283,112,26,72,64.66,10.0,726.0,53.0,4424.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,5484,4668,431,217,41,127,66.43,35.0,1115.0,110.0,5484.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,5609,4434,625,301,59,190,64.88,23.0,1108.0,104.0,5620.0,1435.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,5790,4545,597,311,88,249,64.49,15.0,1151.0,95.0,5790.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,5921,4432,744,383,102,260,64.63,10.0,1136.0,93.0,5921.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,6310,4760,713,400,105,332,64.46,14.0,1340.0,101.0,6318.0,1435.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,6398,5182,563,299,92,262,64.7,13.0,1397.0,96.0,6398.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,7922,7064,448,219,54,137,65.67,26.0,1987.0,112.0,7922.0,1440.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,7254,6491,406,192,61,104,65.95,8.0,1832.0,94.0,7270.0,1435.0
543501,رستم آباد - رودبار (جاده قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,5852,5553,159,70,24,46,63.28,14.0,1468.0,82.0,5924.0,1430.0
