Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543221,رشت - جيرده,1397/12/01 00:00:00,1397/12/02 00:00:00,1300,9300,8647,401,41,50,161,60,93,3601,257,9399
543221,رشت - جيرده,1397/12/02 00:00:00,1397/12/03 00:00:00,1435,10750,10171,340,32,59,148,58,87,4241,284,10751
543221,رشت - جيرده,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,10805,10365,256,18,33,133,58,88,4597,264,10805
543221,رشت - جيرده,1397/12/04 00:00:00,1397/12/05 00:00:00,1440,9561,8903,416,34,63,145,60,106,3587,226,9561
543221,رشت - جيرده,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,9213,8586,418,33,46,130,60,114,3367,241,9213
543221,رشت - جيرده,1397/12/06 00:00:00,1397/12/07 00:00:00,1440,9067,8358,466,42,55,146,58,68,3293,233,9067
543221,رشت - جيرده,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,11147,10440,431,59,55,162,57,57,4742,251,11147
543221,رشت - جيرده,1397/12/08 00:00:00,1397/12/09 00:00:00,1435,9549,8757,477,72,60,183,57,57,3690,230,9565
543221,رشت - جيرده,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,9960,9300,403,33,62,162,55,39,3851,260,9960
543221,رشت - جيرده,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,9186,8801,205,32,36,112,58,50,3340,224,9186
543221,رشت - جيرده,1397/12/11 00:00:00,1397/12/12 00:00:00,1440,9381,8743,408,36,55,139,61,93,3562,215,9381
543221,رشت - جيرده,1397/12/12 00:00:00,1397/12/13 00:00:00,1440,9528,8818,460,49,64,137,60,74,3649,235,9528
543221,رشت - جيرده,1397/12/13 00:00:00,1397/12/14 00:00:00,1435,9500,8766,471,56,62,145,59,89,3686,249,9554
543221,رشت - جيرده,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,9990,9221,473,53,86,157,59,93,4053,251,9990
543221,رشت - جيرده,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,9987,9257,462,31,87,150,60,99,3825,269,9987
543221,رشت - جيرده,1397/12/16 00:00:00,1397/12/17 00:00:00,1435,11401,10672,449,42,66,172,55,29,4847,198,11405
543221,رشت - جيرده,1397/12/17 00:00:00,1397/12/18 00:00:00,1440,7648,7301,176,33,37,101,56,29,2482,209,7648
543221,رشت - جيرده,1397/12/18 00:00:00,1397/12/19 00:00:00,1440,9549,8846,428,38,68,169,60,69,3603,237,9549
543221,رشت - جيرده,1397/12/19 00:00:00,1397/12/20 00:00:00,1440,10043,9210,529,52,79,173,60,103,4018,230,10043
543221,رشت - جيرده,1397/12/20 00:00:00,1397/12/21 00:00:00,1410,9805,9036,457,55,69,188,60,76,3836,226,10102
543221,رشت - جيرده,1397/12/21 00:00:00,1397/12/22 00:00:00,1020,8018,7450,353,33,60,122,60,68,3142,177,10144
543221,رشت - جيرده,1397/12/22 00:00:00,1397/12/23 00:00:00,1440,10559,9671,571,60,68,189,59,89,4333,216,10559
543221,رشت - جيرده,1397/12/23 00:00:00,1397/12/24 00:00:00,1440,11267,10555,460,48,51,153,54,72,4733,222,11267
543221,رشت - جيرده,1397/12/24 00:00:00,1397/12/25 00:00:00,1440,9075,8603,249,59,42,122,58,40,3264,208,9075
543221,رشت - جيرده,1397/12/25 00:00:00,1397/12/26 00:00:00,1440,9712,9028,461,42,56,125,59,64,3649,230,9712
543221,رشت - جيرده,1397/12/26 00:00:00,1397/12/27 00:00:00,1435,9731,9054,451,51,47,128,58,65,3566,224,9793
543221,رشت - جيرده,1397/12/27 00:00:00,1397/12/28 00:00:00,1440,9662,9144,360,38,34,86,59,68,3516,224,9662
543221,رشت - جيرده,1397/12/28 00:00:00,1397/12/29 00:00:00,1435,10066,9751,220,30,24,41,58,73,3593,223,10113
543221,رشت - جيرده,1397/12/29 00:00:00,1398/01/01 00:00:00,1440,8939,8786,106,16,9,22,60,59,3082,174,8939
543221,رشت - جيرده,1398/01/01 00:00:00,1398/01/02 00:00:00,1440,10343,10273,37,10,14,9,51,77,3998,235,10343
543221,رشت - جيرده,1398/01/02 00:00:00,1398/01/03 00:00:00,1380,10580,10511,39,7,13,10,60,65,4366,194,10814
543221,رشت - جيرده,1398/01/03 00:00:00,1398/01/04 00:00:00,1440,10672,10570,76,6,13,7,51,70,3419,193,10672
543221,رشت - جيرده,1398/01/04 00:00:00,1398/01/05 00:00:00,1440,10047,9940,72,8,12,15,60,56,3639,202,10047
543221,رشت - جيرده,1398/01/05 00:00:00,1398/01/06 00:00:00,1440,8467,8344,81,13,13,16,59,27,2647,176,8467
543221,رشت - جيرده,1398/01/06 00:00:00,1398/01/07 00:00:00,1440,8804,8625,125,14,22,18,58,36,2779,165,8804
543221,رشت - جيرده,1398/01/07 00:00:00,1398/01/08 00:00:00,1440,10978,10765,154,15,18,26,56,67,4119,185,10978
543221,رشت - جيرده,1398/01/08 00:00:00,1398/01/09 00:00:00,1440,11050,10794,162,25,27,42,56,47,3904,193,11050
543221,رشت - جيرده,1398/01/09 00:00:00,1398/01/10 00:00:00,1440,10664,10493,113,17,19,22,58,51,3895,260,10664
543221,رشت - جيرده,1398/01/10 00:00:00,1398/01/11 00:00:00,1440,9718,9469,161,29,27,32,58,46,3269,209,9718
543221,رشت - جيرده,1398/01/11 00:00:00,1398/01/12 00:00:00,1440,9279,9028,143,26,51,31,59,32,3116,184,9279
543221,رشت - جيرده,1398/01/12 00:00:00,1398/01/13 00:00:00,1440,9575,9390,122,14,25,24,57,21,3219,170,9575
543221,رشت - جيرده,1398/01/13 00:00:00,1398/01/14 00:00:00,1440,11199,11139,35,8,7,10,52,40,4415,482,11199
543221,رشت - جيرده,1398/01/14 00:00:00,1398/01/15 00:00:00,1440,10890,10723,116,17,18,16,59,50,4186,171,10890
543221,رشت - جيرده,1398/01/15 00:00:00,1398/01/16 00:00:00,1440,11447,11207,164,25,22,29,59,78,4474,229,11447
543221,رشت - جيرده,1398/01/16 00:00:00,1398/01/17 00:00:00,1440,10467,10253,137,26,23,28,60,86,4054,302,10467
543221,رشت - جيرده,1398/01/17 00:00:00,1398/01/18 00:00:00,1440,9086,8641,321,30,46,48,61,84,3056,194,9086
543221,رشت - جيرده,1398/01/18 00:00:00,1398/01/19 00:00:00,1440,9155,8617,390,40,38,70,59,53,3208,165,9155
543221,رشت - جيرده,1398/01/19 00:00:00,1398/01/20 00:00:00,1440,9354,8787,388,45,32,102,61,71,3333,226,9354
543221,رشت - جيرده,1398/01/20 00:00:00,1398/01/21 00:00:00,1440,9457,8959,340,42,38,78,59,56,3452,188,9457
543221,رشت - جيرده,1398/01/21 00:00:00,1398/01/22 00:00:00,1440,9853,9253,459,34,28,79,61,72,3691,262,9853
543221,رشت - جيرده,1398/01/22 00:00:00,1398/01/23 00:00:00,1440,11794,11266,377,32,40,79,59,79,4868,268,11794
543221,رشت - جيرده,1398/01/23 00:00:00,1398/01/24 00:00:00,1440,10690,10386,191,23,29,61,57,39,4008,277,10690
543221,رشت - جيرده,1398/01/24 00:00:00,1398/01/25 00:00:00,1440,9981,9431,414,42,36,58,60,65,3668,186,9981
543221,رشت - جيرده,1398/01/25 00:00:00,1398/01/26 00:00:00,1440,10235,9647,424,36,42,86,58,70,3847,532,10235
543221,رشت - جيرده,1398/01/26 00:00:00,1398/01/27 00:00:00,1440,10507,9931,380,40,44,112,57,42,3871,622,10507
543221,رشت - جيرده,1398/01/27 00:00:00,1398/01/28 00:00:00,1440,9899,9284,385,54,51,125,50,43,3235,1550,9899
543221,رشت - جيرده,1398/01/28 00:00:00,1398/01/29 00:00:00,1440,7514,7113,255,19,33,94,58,48,2505,189,9116
543221,رشت - جيرده,1398/01/29 00:00:00,1398/01/30 00:00:00,1440,11623,11114,320,26,42,121,58,93,4631,294,11623
543221,رشت - جيرده,1398/01/30 00:00:00,1398/01/31 00:00:00,1440,9354,9030,181,21,31,91,59,33,3386,222,9354
543221,رشت - جيرده,1398/01/31 00:00:00,1398/02/01 00:00:00,1440,9155,8655,317,22,32,129,59,48,3021,183,9155
543221,رشت - جيرده,1398/12/01 00:00:00,1398/12/02 00:00:00,1440,8844,8345,324,32,41,102,57,39,2652,178,8844
543221,رشت - جيرده,1398/12/02 00:00:00,1398/12/03 00:00:00,1440,9249,8956,158,18,33,84,62,113,3251,216,9249
543221,رشت - جيرده,1398/12/03 00:00:00,1398/12/04 00:00:00,1440,7294,6736,352,20,34,152,62,104,2077,177,7294
543221,رشت - جيرده,1398/12/04 00:00:00,1398/12/05 00:00:00,1440,7690,7131,337,34,50,138,62,112,2389,171,7690
543221,رشت - جيرده,1398/12/05 00:00:00,1398/12/06 00:00:00,1440,7918,7322,377,35,34,150,62,90,2516,187,7918
543221,رشت - جيرده,1398/12/06 00:00:00,1398/12/07 00:00:00,1440,7099,6562,322,34,48,133,60,77,2095,149,7099
543221,رشت - جيرده,1398/12/07 00:00:00,1398/12/08 00:00:00,1440,6659,6142,322,18,45,132,61,65,1753,171,6659
543221,رشت - جيرده,1398/12/08 00:00:00,1398/12/09 00:00:00,1440,8406,7858,334,18,43,153,61,96,2748,195,8406
543221,رشت - جيرده,1398/12/09 00:00:00,1398/12/10 00:00:00,1440,7040,6635,214,21,21,149,63,114,2047,206,7040
543221,رشت - جيرده,1398/12/10 00:00:00,1398/12/11 00:00:00,1440,7460,6866,375,22,48,149,63,108,2387,169,7460
543221,رشت - جيرده,1398/12/11 00:00:00,1398/12/12 00:00:00,1440,6773,6167,392,27,37,150,59,51,1902,149,6773
543221,رشت - جيرده,1398/12/12 00:00:00,1398/12/13 00:00:00,1440,5820,5303,352,26,26,113,60,47,1333,140,5820
543221,رشت - جيرده,1398/12/13 00:00:00,1398/12/14 00:00:00,1440,6425,5913,328,28,22,134,60,66,1675,125,6425
543221,رشت - جيرده,1398/12/14 00:00:00,1398/12/15 00:00:00,1440,7634,7121,338,25,35,115,63,106,2355,155,7634
543221,رشت - جيرده,1398/12/15 00:00:00,1398/12/16 00:00:00,1440,8383,7861,354,39,25,104,62,114,2731,173,8383
543221,رشت - جيرده,1398/12/16 00:00:00,1398/12/17 00:00:00,1440,6406,6092,177,16,18,103,65,124,1740,170,6406
543221,رشت - جيرده,1398/12/17 00:00:00,1398/12/18 00:00:00,1440,6655,6156,320,23,27,129,64,124,1791,183,6655
543221,رشت - جيرده,1398/12/18 00:00:00,1398/12/19 00:00:00,1440,6983,6567,280,26,16,94,63,102,2011,203,6983
543221,رشت - جيرده,1398/12/19 00:00:00,1398/12/20 00:00:00,1430,7198,6755,296,24,29,94,65,135,2070,153,7286
543221,رشت - جيرده,1398/12/20 00:00:00,1398/12/21 00:00:00,1440,7089,6604,300,28,35,122,62,107,2080,149,7089
543221,رشت - جيرده,1398/12/21 00:00:00,1398/12/21 23:25:00,1405,7388,6947,286,31,31,93,64,106,2289,165,7446
543221,رشت - جيرده,1398/12/22 00:45:00,1398/12/23 00:00:00,1390,7943,7498,289,23,30,103,60,97,2490,161,8036
543221,رشت - جيرده,1398/12/23 00:00:00,1398/12/24 00:00:00,1440,7305,6984,195,18,13,95,64,90,2239,175,7305
543221,رشت - جيرده,1398/12/24 00:00:00,1398/12/25 00:00:00,1440,7263,6796,317,26,27,97,64,138,2147,143,7263
543221,رشت - جيرده,1398/12/25 00:00:00,1398/12/26 00:00:00,1440,7609,7109,324,35,25,116,64,112,2408,170,7609
543221,رشت - جيرده,1398/12/26 00:00:00,1398/12/27 00:00:00,1410,7145,6727,268,29,28,93,62,106,2033,133,7370
543221,رشت - جيرده,1398/12/27 00:00:00,1398/12/28 00:00:00,1440,7128,6757,236,23,28,84,62,72,1965,119,7128
543221,رشت - جيرده,1398/12/28 00:00:00,1398/12/29 00:00:00,1440,6741,6488,175,15,15,48,62,65,1702,121,6741
543221,رشت - جيرده,1398/12/29 00:00:00,1399/01/01 00:00:00,1440,6763,6598,121,9,6,29,64,115,1753,120,6763
543221,رشت - جيرده,1399/01/01 00:00:00,1399/01/02 00:00:00,1440,6058,6016,28,0,6,8,65,127,1467,165,6058
543221,رشت - جيرده,1399/01/02 00:00:00,1399/01/03 00:00:00,1380,5132,5075,36,4,2,15,64,63,1048,98,5216
543221,رشت - جيرده,1399/01/03 00:00:00,1399/01/04 00:00:00,1440,4875,4805,46,6,4,14,64,66,960,78,4875
543221,رشت - جيرده,1399/01/04 00:00:00,1399/01/05 00:00:00,1435,5239,5161,62,5,2,9,65,75,1098,96,5241
543221,رشت - جيرده,1399/01/05 00:00:00,1399/01/06 00:00:00,1440,6200,6014,100,10,4,72,66,123,1529,124,6200
543221,رشت - جيرده,1399/01/06 00:00:00,1399/01/07 00:00:00,1440,7249,7106,102,9,8,24,66,115,2089,131,7249
543221,رشت - جيرده,1399/01/07 00:00:00,1399/01/08 00:00:00,1440,7854,7646,127,14,14,53,64,120,2357,180,7854
543221,رشت - جيرده,1399/01/08 00:00:00,1399/01/09 00:00:00,1440,8061,7909,95,14,6,37,64,137,2588,208,8061
543221,رشت - جيرده,1399/01/09 00:00:00,1399/01/10 00:00:00,1440,6971,6715,169,25,12,50,65,131,1943,146,6971
543221,رشت - جيرده,1399/01/10 00:00:00,1399/01/11 00:00:00,1440,6289,5989,182,27,14,77,63,88,1607,142,6289
543221,رشت - جيرده,1399/01/11 00:00:00,1399/01/12 00:00:00,1440,8353,8074,193,20,14,52,64,113,2694,170,8353
543221,رشت - جيرده,1399/01/12 00:00:00,1399/01/13 00:00:00,1440,9087,8820,161,21,14,71,64,126,2950,195,9087
543221,رشت - جيرده,1399/01/13 00:00:00,1399/01/14 00:00:00,1440,3149,3079,30,3,5,32,67,98,405,82,3149
543221,رشت - جيرده,1399/01/14 00:00:00,1399/01/15 00:00:00,1440,7637,7417,143,11,15,51,64,93,2274,179,7637
543221,رشت - جيرده,1399/01/15 00:00:00,1399/01/16 00:00:00,1440,7273,7058,125,15,5,70,65,146,2114,180,7273
543221,رشت - جيرده,1399/01/16 00:00:00,1399/01/17 00:00:00,1440,7447,6997,277,27,25,121,63,88,2185,144,7447
543221,رشت - جيرده,1399/01/17 00:00:00,1399/01/18 00:00:00,1440,9158,8707,299,23,24,105,62,77,3242,176,9158
543221,رشت - جيرده,1399/01/18 00:00:00,1399/01/19 00:00:00,1440,7750,7290,321,32,24,83,62,65,2369,134,7750
543221,رشت - جيرده,1399/01/19 00:00:00,1399/01/20 00:00:00,1440,5906,5476,267,25,19,119,61,28,1351,95,5906
543221,رشت - جيرده,1399/01/20 00:00:00,1399/01/21 00:00:00,1440,6580,6247,236,19,12,66,62,42,1697,126,6580
543221,رشت - جيرده,1399/01/21 00:00:00,1399/01/22 00:00:00,1440,8242,7915,211,19,10,87,64,130,2733,153,8242
543221,رشت - جيرده,1399/01/22 00:00:00,1399/01/23 00:00:00,1440,7669,7441,121,31,9,67,63,99,2407,169,7669
543221,رشت - جيرده,1399/01/23 00:00:00,1399/01/24 00:00:00,1440,7947,7549,310,24,22,42,64,86,2448,142,7947
543221,رشت - جيرده,1399/01/24 00:00:00,1399/01/25 00:00:00,1440,8597,8054,371,31,26,115,62,106,2877,137,8597
543221,رشت - جيرده,1399/01/25 00:00:00,1399/01/26 00:00:00,1440,7216,6652,352,23,20,169,62,57,2019,148,7216
543221,رشت - جيرده,1399/01/26 00:00:00,1399/01/27 00:00:00,1440,9655,9056,368,30,19,182,61,92,3664,190,9655
543221,رشت - جيرده,1399/01/27 00:00:00,1399/01/28 00:00:00,1440,9896,9299,406,26,32,133,59,78,3709,193,9896
543221,رشت - جيرده,1399/01/28 00:00:00,1399/01/29 00:00:00,1440,10357,9711,382,34,31,199,60,80,3991,183,10357
543221,رشت - جيرده,1399/01/29 00:00:00,1399/01/30 00:00:00,1440,10432,10047,160,18,11,196,57,59,4264,230,10432
543221,رشت - جيرده,1399/01/30 00:00:00,1399/01/31 00:00:00,1440,9408,8783,379,40,19,187,61,83,3405,194,9408
543221,رشت - جيرده,1399/01/31 00:00:00,1399/02/01 00:00:00,1440,9075,8501,370,31,26,147,62,55,3176,180,9075
543221,رشت - جيرده,1397/01/01 00:00:00,1397/01/02 00:00:00,1440,10414,10338,46,6,5,19,57,89,4435,262,10414
543221,رشت - جيرده,1397/01/02 00:00:00,1397/01/03 00:00:00,1380,10875,10785,58,11,10,11,60,85,4721,227,11053
543221,رشت - جيرده,1397/01/03 00:00:00,1397/01/04 00:00:00,1440,10311,10208,58,6,20,19,59,86,3767,175,10311
543221,رشت - جيرده,1397/01/04 00:00:00,1397/01/05 00:00:00,1440,10291,10157,85,12,13,24,62,113,3939,216,10291
543221,رشت - جيرده,1397/01/05 00:00:00,1397/01/06 00:00:00,1440,10288,10074,124,16,21,53,61,94,3683,176,10288
543221,رشت - جيرده,1397/01/06 00:00:00,1397/01/07 00:00:00,1440,11347,11098,147,26,20,56,61,103,4556,216,11347
543221,رشت - جيرده,1397/01/07 00:00:00,1397/01/08 00:00:00,1440,11995,11660,208,42,22,63,59,56,4884,153,11995
543221,رشت - جيرده,1397/01/08 00:00:00,1397/01/09 00:00:00,1440,12022,11589,287,40,19,87,59,71,5080,204,12022
543221,رشت - جيرده,1397/01/09 00:00:00,1397/01/10 00:00:00,1440,12718,12366,248,25,24,55,58,58,5335,186,12718
543221,رشت - جيرده,1397/01/10 00:00:00,1397/01/11 00:00:00,1440,11754,11586,103,14,24,27,59,86,4789,286,11754
543221,رشت - جيرده,1397/01/11 00:00:00,1397/01/12 00:00:00,1440,11013,10805,136,18,22,32,58,40,4279,154,11013
543221,رشت - جيرده,1397/01/12 00:00:00,1397/01/13 00:00:00,1440,11264,11083,119,23,16,23,61,90,4345,235,11264
543221,رشت - جيرده,1397/01/13 00:00:00,1397/01/14 00:00:00,1440,11461,11383,54,10,5,9,53,37,4806,741,11461
543221,رشت - جيرده,1397/01/14 00:00:00,1397/01/15 00:00:00,1440,8647,8351,198,23,22,53,64,99,2910,187,8647
543221,رشت - جيرده,1397/01/15 00:00:00,1397/01/16 00:00:00,1440,8924,8467,271,26,34,126,61,83,3020,206,8924
543221,رشت - جيرده,1397/01/16 00:00:00,1397/01/17 00:00:00,1440,10191,9687,304,44,49,107,62,107,3930,235,10191
543221,رشت - جيرده,1397/01/17 00:00:00,1397/01/18 00:00:00,1440,10218,9919,176,27,19,77,61,101,3977,274,10218
543221,رشت - جيرده,1397/01/18 00:00:00,1397/01/19 00:00:00,1440,8852,8332,343,35,35,107,63,132,3230,221,8852
543221,رشت - جيرده,1397/01/19 00:00:00,1397/01/20 00:00:00,1440,9219,8711,330,40,47,91,63,100,3486,219,9219
543221,رشت - جيرده,1397/01/20 00:00:00,1397/01/21 00:00:00,1440,9408,8823,365,46,45,129,63,102,3480,197,9408
543221,رشت - جيرده,1397/01/21 00:00:00,1397/01/22 00:00:00,1440,9215,8651,391,43,46,84,63,108,3332,210,9215
543221,رشت - جيرده,1397/01/22 00:00:00,1397/01/23 00:00:00,1440,9587,8916,450,80,49,92,62,96,3579,230,9587
543221,رشت - جيرده,1397/01/23 00:00:00,1397/01/24 00:00:00,1440,11101,10438,393,48,59,163,60,96,4655,240,11101
543221,رشت - جيرده,1397/01/24 00:00:00,1397/01/25 00:00:00,1440,11518,11131,208,25,41,113,55,69,4948,325,11518
543221,رشت - جيرده,1397/01/25 00:00:00,1397/01/26 00:00:00,1440,10255,9721,375,45,46,68,61,80,4049,188,10255
543221,رشت - جيرده,1397/01/26 00:00:00,1397/01/27 00:00:00,1440,8460,7793,479,46,50,92,61,62,2835,186,8460
543221,رشت - جيرده,1397/01/27 00:00:00,1397/01/28 00:00:00,1440,8863,8189,460,30,57,127,62,88,3200,234,8863
543221,رشت - جيرده,1397/01/28 00:00:00,1397/01/29 00:00:00,1440,9645,8991,442,45,65,102,63,121,3699,187,9645
543221,رشت - جيرده,1397/01/29 00:00:00,1397/01/30 00:00:00,1440,10009,9380,420,61,66,82,63,102,3878,168,10009
543221,رشت - جيرده,1397/01/30 00:00:00,1397/01/31 00:00:00,1440,11177,10577,409,43,61,87,59,99,4414,196,11177
543221,رشت - جيرده,1397/01/31 00:00:00,1397/02/01 00:00:00,1440,12331,11978,195,32,38,88,58,95,5448,333,12331
543221,رشت - جيرده,1396/12/01 00:00:00,1396/12/02 00:00:00,1440,8755,8334,272,27,29,93,62,99,3226,179,8755
543221,رشت - جيرده,1396/12/02 00:00:00,1396/12/03 00:00:00,1440,8192,7709,290,29,37,127,62,120,2826,171,8192
543221,رشت - جيرده,1396/12/03 00:00:00,1396/12/04 00:00:00,1440,9232,8791,253,34,46,108,59,78,3467,195,9232
543221,رشت - جيرده,1396/12/04 00:00:00,1396/12/05 00:00:00,1440,7896,7646,148,17,35,50,61,63,2773,256,7896
543221,رشت - جيرده,1396/12/05 00:00:00,1396/12/06 00:00:00,1440,7931,7432,340,28,33,98,61,87,2617,147,7931
543221,رشت - جيرده,1396/12/06 00:00:00,1396/12/07 00:00:00,1440,7795,7237,380,36,47,95,63,97,2546,196,7795
543221,رشت - جيرده,1396/12/07 00:00:00,1396/12/08 00:00:00,1395,7980,7486,323,29,34,108,62,66,2737,197,8329
543221,رشت - جيرده,1396/12/08 00:00:00,1396/12/09 00:00:00,1435,7782,7255,336,33,37,121,62,75,2642,209,7789
543221,رشت - جيرده,1396/12/09 00:00:00,1396/12/10 00:00:00,1440,8393,7809,382,32,41,129,62,96,3043,197,8393
543221,رشت - جيرده,1396/12/10 00:00:00,1396/12/11 00:00:00,1440,9283,8705,366,35,43,134,60,92,3503,255,9283
543221,رشت - جيرده,1396/12/11 00:00:00,1396/12/12 00:00:00,1440,8256,7976,157,21,27,75,59,71,2827,199,8256
543221,رشت - جيرده,1396/12/12 00:00:00,1396/12/13 00:00:00,1440,8380,7842,380,30,43,85,62,84,3013,199,8380
543221,رشت - جيرده,1396/12/13 00:00:00,1396/12/14 00:00:00,1440,8714,8079,393,46,42,154,61,72,3282,214,8714
543221,رشت - جيرده,1396/12/14 00:00:00,1396/12/15 00:00:00,1430,8883,8236,432,36,35,144,62,99,3356,234,8964
543221,رشت - جيرده,1396/12/15 00:00:00,1396/12/16 00:00:00,1440,8492,7791,476,49,38,138,61,85,3077,218,8492
543221,رشت - جيرده,1396/12/16 00:00:00,1396/12/17 00:00:00,1440,8862,8207,411,35,47,162,59,61,3198,233,8862
543221,رشت - جيرده,1396/12/17 00:00:00,1396/12/18 00:00:00,1440,10436,9750,437,34,48,167,58,66,4350,178,10436
543221,رشت - جيرده,1396/12/18 00:00:00,1396/12/19 00:00:00,1420,10113,9673,251,31,25,133,58,75,4402,242,10262
