Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543111,رشت - خمام,1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,34331,33110,712,181,155,173,72.0,35302.0,63.0,13012.0,0.0
543111,رشت - خمام,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,39769,38548,676,175,198,172,70.0,39769.0,84.0,16383.0,0.0
543111,رشت - خمام,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,37050,36265,366,145,148,126,69.0,37050.0,121.0,14728.0,0.0
543111,رشت - خمام,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,34612,33506,641,152,163,150,73.0,34612.0,96.0,12540.0,0.0
543111,رشت - خمام,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,34020,32870,658,158,179,155,73.0,34020.0,95.0,12634.0,0.0
543111,رشت - خمام,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,34009,32820,689,172,160,168,72.0,34009.0,92.0,12270.0,0.0
543111,رشت - خمام,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,36267,35014,719,187,192,155,72.0,36267.0,112.0,14131.0,0.0
543111,رشت - خمام,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,35208,33986,663,183,186,190,70.0,35208.0,83.0,13161.0,0.0
543111,رشت - خمام,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,36762,35557,671,195,177,162,69.0,36762.0,58.0,14389.0,0.0
543111,رشت - خمام,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,34128,33358,371,135,145,119,69.0,34128.0,52.0,13142.0,0.0
543111,رشت - خمام,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,34516,33327,665,156,162,206,74.0,34516.0,99.0,12671.0,0.0
543111,رشت - خمام,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,34860,33528,726,196,192,218,73.0,34860.0,96.0,13288.0,0.0
543111,رشت - خمام,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,34006,32666,765,216,182,177,74.0,34180.0,120.0,12607.0,0.0
543111,رشت - خمام,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,34647,33327,703,202,196,219,72.0,34647.0,107.0,13125.0,0.0
543111,رشت - خمام,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,36699,35317,787,175,200,220,73.0,36699.0,80.0,14172.0,0.0
543111,رشت - خمام,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,39065,37730,727,221,206,181,69.0,39084.0,65.0,15690.0,0.0
543111,رشت - خمام,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,29699,28940,339,112,125,183,67.0,29699.0,22.0,9166.0,0.0
543111,رشت - خمام,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,34766,33548,686,174,156,202,74.0,34766.0,83.0,12685.0,0.0
543111,رشت - خمام,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,35506,34251,725,196,186,148,73.0,35506.0,105.0,13477.0,0.0
543111,رشت - خمام,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,34077,32764,732,201,162,218,73.0,35137.0,112.0,12851.0,0.0
543111,رشت - خمام,1397/12/21 00:00:00,1397/12/22 00:00:00,960.0,29188,28177,558,163,142,148,73.0,36375.0,73.0,11349.0,0.0
543111,رشت - خمام,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,37607,36208,791,217,210,181,72.0,37607.0,116.0,14948.0,0.0
543111,رشت - خمام,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,39542,38145,743,202,242,210,70.0,39542.0,99.0,16168.0,0.0
543111,رشت - خمام,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,33284,32332,475,139,173,165,70.0,33284.0,98.0,11672.0,0.0
543111,رشت - خمام,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,37202,35813,757,194,216,222,74.0,37202.0,143.0,14204.0,0.0
543111,رشت - خمام,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,37255,35976,722,198,179,180,71.0,37255.0,107.0,14466.0,0.0
543111,رشت - خمام,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,37884,36680,677,171,166,190,71.0,37884.0,58.0,14924.0,0.0
543111,رشت - خمام,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,40451,39488,514,173,151,125,68.0,40628.0,100.0,16898.0,0.0
543111,رشت - خمام,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,33469,32878,290,114,118,69,71.0,33469.0,61.0,11235.0,0.0
543111,رشت - خمام,1401/12/01 00:00:00,1401/12/02 00:00:00,1395.0,37349,35784,932,193,72,368,68.0,38455.0,298.0,5728.0,0.0
543111,رشت - خمام,1401/12/02 00:00:00,1401/12/03 00:00:00,1310.0,33828,32583,814,127,62,242,70.0,37794.0,473.0,4587.0,0.0
543111,رشت - خمام,1401/12/03 00:00:00,1401/12/04 00:00:00,1360.0,36388,35057,818,143,52,318,69.0,39324.0,352.0,5140.0,0.0
543111,رشت - خمام,1401/12/04 00:00:00,1401/12/05 00:00:00,1400.0,40862,39536,864,116,66,280,69.0,42383.0,445.0,5596.0,0.0
543111,رشت - خمام,1401/12/05 00:00:00,1401/12/06 00:00:00,1335.0,32292,31600,389,87,34,182,61.0,33880.0,231.0,3371.0,0.0
543111,رشت - خمام,1401/12/06 00:00:00,1401/12/07 00:00:00,1400.0,37132,35851,771,137,53,320,70.0,38054.0,325.0,4972.0,0.0
543111,رشت - خمام,1401/12/07 00:00:00,1401/12/08 00:00:00,1420.0,37244,35720,933,195,55,341,69.0,37950.0,303.0,5543.0,0.0
543111,رشت - خمام,1401/12/08 00:00:00,1401/12/09 00:00:00,1275.0,32143,30863,780,166,53,281,68.0,37355.0,257.0,4594.0,0.0
543111,رشت - خمام,1401/12/09 00:00:00,1401/12/10 00:00:00,1415.0,37815,36189,1000,202,70,354,66.0,38588.0,255.0,5453.0,0.0
543111,رشت - خمام,1401/12/10 00:00:00,1401/12/11 00:00:00,1325.0,36238,34878,880,140,52,288,67.0,40046.0,215.0,5216.0,0.0
543111,رشت - خمام,1401/12/11 00:00:00,1401/12/12 00:00:00,1400.0,40193,38792,915,165,66,255,65.0,41748.0,207.0,5996.0,0.0
543111,رشت - خمام,1401/12/12 00:00:00,1401/12/13 00:00:00,1360.0,36675,35680,535,161,55,244,67.0,39895.0,338.0,5045.0,0.0
543111,رشت - خمام,1401/12/13 00:00:00,1401/12/14 00:00:00,1360.0,35023,33595,836,172,46,374,70.0,37627.0,389.0,5052.0,0.0
543111,رشت - خمام,1401/12/14 00:00:00,1401/12/15 00:00:00,1400.0,37144,35617,950,169,56,352,69.0,38592.0,383.0,5462.0,0.0
543111,رشت - خمام,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,39149,37499,1050,200,63,337,69.0,39149.0,413.0,6084.0,0.0
543111,رشت - خمام,1401/12/16 00:00:00,1401/12/17 00:00:00,1320.0,34595,33361,776,116,52,290,68.0,38762.0,330.0,4008.0,0.0
543111,رشت - خمام,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,37809,36779,662,105,39,224,68.0,37809.0,328.0,4258.0,0.0
543111,رشت - خمام,1401/12/18 00:00:00,1401/12/19 00:00:00,1400.0,37924,36779,706,130,58,251,62.0,39348.0,103.0,4633.0,0.0
543111,رشت - خمام,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,40013,38865,617,206,45,280,66.0,40013.0,264.0,5675.0,0.0
543111,رشت - خمام,1401/12/20 00:00:00,1401/12/21 00:00:00,1355.0,36240,34818,836,162,57,367,69.0,39188.0,294.0,5308.0,0.0
543111,رشت - خمام,1401/12/21 00:00:00,1401/12/22 00:00:00,1330.0,35791,34435,808,191,45,312,68.0,39780.0,438.0,5312.0,0.0
543111,رشت - خمام,1401/12/22 00:00:00,1401/12/23 00:00:00,1350.0,36907,35259,1011,189,55,393,69.0,39836.0,430.0,5896.0,0.0
543111,رشت - خمام,1401/12/23 00:00:00,1401/12/24 00:00:00,1410.0,39655,38179,962,186,60,268,70.0,40973.0,574.0,5901.0,0.0
543111,رشت - خمام,1401/12/24 00:00:00,1401/12/25 00:00:00,1395.0,37650,36278,883,125,48,316,70.0,39247.0,546.0,4857.0,0.0
543111,رشت - خمام,1401/12/25 00:00:00,1401/12/26 00:00:00,1355.0,37923,36678,776,164,43,262,69.0,41214.0,348.0,4949.0,0.0
543111,رشت - خمام,1401/12/26 00:00:00,1401/12/27 00:00:00,1355.0,35797,34925,562,75,36,199,70.0,38846.0,613.0,3964.0,0.0
543111,رشت - خمام,1401/12/27 00:00:00,1401/12/28 00:00:00,1435.0,41557,40157,854,178,51,317,69.0,41731.0,479.0,6235.0,0.0
543111,رشت - خمام,1401/12/28 00:00:00,1401/12/29 00:00:00,1095.0,38038,37045,672,130,38,153,68.0,41524.0,281.0,4817.0,0.0
543111,رشت - خمام,1401/12/29 00:00:00,1402/01/01 00:00:00,1400.0,34659,34190,346,41,32,50,70.0,35917.0,310.0,3221.0,0.0
543111,رشت - خمام,1396/01/01 00:00:00,1396/01/02 00:00:00,1400.0,31235,30828,276,43,32,56,70.59,32220.0,7610.0,7521.0,0.0
543111,رشت - خمام,1396/01/02 00:00:00,1396/01/03 00:00:00,1300.0,34329,33706,423,75,52,73,69.26,37008.0,9662.0,9541.0,0.0
543111,رشت - خمام,1396/01/03 00:00:00,1396/01/04 00:00:00,1405.0,34227,33540,488,54,50,95,66.72,35276.0,8343.0,8187.0,0.0
543111,رشت - خمام,1396/01/04 00:00:00,1396/01/05 00:00:00,1400.0,34651,33883,559,70,52,87,65.58,35882.0,8980.0,8791.0,0.0
543111,رشت - خمام,1396/01/05 00:00:00,1396/01/06 00:00:00,1410.0,40599,39702,613,88,75,121,70.43,41603.0,12079.0,11882.0,0.0
543111,رشت - خمام,1396/01/06 00:00:00,1396/01/07 00:00:00,1400.0,41042,39997,693,127,86,139,68.66,42353.0,12714.0,12292.0,0.0
543111,رشت - خمام,1396/01/07 00:00:00,1396/01/08 00:00:00,1405.0,42979,41581,905,168,115,210,68.31,44187.0,13597.0,13217.0,0.0
543111,رشت - خمام,1396/01/08 00:00:00,1396/01/09 00:00:00,1400.0,39568,38319,817,152,107,173,68.05,40837.0,11779.0,11353.0,0.0
543111,رشت - خمام,1396/01/09 00:00:00,1396/01/10 00:00:00,1365.0,40019,38708,873,167,115,156,68.44,42461.0,12899.0,12373.0,0.0
543111,رشت - خمام,1396/01/10 00:00:00,1396/01/11 00:00:00,1405.0,41397,40144,841,147,82,183,68.76,42687.0,12861.0,12451.0,0.0
543111,رشت - خمام,1396/01/11 00:00:00,1396/01/12 00:00:00,1400.0,37254,36308,606,130,89,121,69.5,38600.0,10963.0,10508.0,0.0
543111,رشت - خمام,1396/01/12 00:00:00,1396/01/13 00:00:00,1400.0,31378,30601,533,91,53,100,72.11,32435.0,7876.0,7476.0,0.0
