Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543219,رشت - تقاطع سراوان,1397/12/01 00:00:00,1397/12/02 00:00:00,1305,16244,13899,1213,279,249,604,89,290,2587,0,16864
543219,رشت - تقاطع سراوان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,18718,16424,1224,256,260,554,89,385,3198,0,18718
543219,رشت - تقاطع سراوان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,17358,15856,710,183,242,367,89,337,3185,0,17358
543219,رشت - تقاطع سراوان,1397/12/04 00:00:00,1397/12/05 00:00:00,1435,16167,13772,1279,290,269,557,89,309,2295,0,16237
543219,رشت - تقاطع سراوان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,15423,13035,1303,288,279,518,89,351,2046,0,15423
543219,رشت - تقاطع سراوان,1397/12/06 00:00:00,1397/12/07 00:00:00,1420,15265,12760,1407,318,277,503,87,259,2093,0,15505
543219,رشت - تقاطع سراوان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,16805,14216,1487,320,294,488,88,293,2502,0,16805
543219,رشت - تقاطع سراوان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440,17903,15249,1457,338,294,565,85,250,2905,0,17903
543219,رشت - تقاطع سراوان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,17559,15239,1296,295,272,457,86,207,2689,0,17559
543219,رشت - تقاطع سراوان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,15558,14136,624,184,247,367,88,260,2558,0,15558
543219,رشت - تقاطع سراوان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440,16476,13940,1399,312,270,555,89,333,2513,0,16476
543219,رشت - تقاطع سراوان,1397/12/12 00:00:00,1397/12/13 00:00:00,1440,15989,13284,1543,367,267,528,89,378,2377,0,15989
543219,رشت - تقاطع سراوان,1397/12/13 00:00:00,1397/12/14 00:00:00,1430,15882,13138,1532,379,301,532,89,342,2267,0,15985
543219,رشت - تقاطع سراوان,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,16169,13481,1458,394,290,546,89,312,2284,0,16169
543219,رشت - تقاطع سراوان,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,17977,15218,1505,364,319,571,89,379,3025,0,17977
543219,رشت - تقاطع سراوان,1397/12/16 00:00:00,1397/12/16 22:55:00,1370,18385,15938,1309,325,302,511,87,266,3135,0,18923
543219,رشت - تقاطع سراوان,1397/12/17 00:15:00,1397/12/18 00:00:00,1355,14072,12541,624,245,253,409,81,38,1904,0,14466
543219,رشت - تقاطع سراوان,1397/12/18 00:00:00,1397/12/19 00:00:00,1440,15941,13491,1300,324,284,542,88,300,2252,0,15941
543219,رشت - تقاطع سراوان,1397/12/19 00:00:00,1397/12/20 00:00:00,1440,16398,13884,1406,349,274,485,89,326,2372,0,16398
543219,رشت - تقاطع سراوان,1397/12/20 00:00:00,1397/12/21 00:00:00,1405,16204,13621,1416,355,278,534,88,310,2457,0,16612
543219,رشت - تقاطع سراوان,1397/12/21 00:00:00,1397/12/22 00:00:00,960,13476,11484,1085,270,214,423,88,226,2283,0,17224
543219,رشت - تقاطع سراوان,1397/12/22 00:00:00,1397/12/23 00:00:00,1440,18422,15714,1512,372,317,507,89,322,3061,0,18422
543219,رشت - تقاطع سراوان,1397/12/23 00:00:00,1397/12/24 00:00:00,1440,19329,16797,1373,312,308,539,87,274,3304,0,19329
543219,رشت - تقاطع سراوان,1397/12/24 00:00:00,1397/12/25 00:00:00,1435,16563,14755,855,275,279,399,86,172,2566,0,16588
543219,رشت - تقاطع سراوان,1397/12/25 00:00:00,1397/12/26 00:00:00,1430,18373,15703,1405,328,331,606,90,401,3187,0,18449
543219,رشت - تقاطع سراوان,1397/12/26 00:00:00,1397/12/27 00:00:00,1440,18928,16338,1419,343,288,540,86,225,3314,0,18928
543219,رشت - تقاطع سراوان,1397/12/27 00:00:00,1397/12/28 00:00:00,1440,20931,18638,1252,283,324,434,88,206,4285,0,20931
543219,رشت - تقاطع سراوان,1397/12/28 00:00:00,1397/12/29 00:00:00,1435,22887,21242,873,220,260,292,88,254,4797,0,22990
543219,رشت - تقاطع سراوان,1397/12/29 00:00:00,1398/01/01 00:00:00,1440,23067,22101,487,119,219,141,88,241,4927,0,23067
543219,رشت - تقاطع سراوان,1401/12/01 00:00:00,1401/12/02 00:00:00,1180,14124,11936,1426,137,57,568,97,3522,891,0,17849
543219,رشت - تقاطع سراوان,1401/12/02 00:00:00,1401/12/03 00:00:00,1430,16600,14199,1608,126,66,601,99,4767,1038,0,16744
543219,رشت - تقاطع سراوان,1401/12/03 00:00:00,1401/12/04 00:00:00,1420,17973,16123,1211,93,65,481,89,2617,908,0,18097
543219,رشت - تقاطع سراوان,1401/12/04 00:00:00,1401/12/05 00:00:00,1220,15792,14406,884,102,60,340,86,2299,924,0,18357
543219,رشت - تقاطع سراوان,1401/12/05 00:00:00,1401/12/06 00:00:00,1210,13670,11450,1890,76,48,206,81,744,395,0,16617
543219,رشت - تقاطع سراوان,1401/12/06 00:00:00,1401/12/07 00:00:00,1405,17390,15527,1121,107,76,559,91,3113,915,0,17881
543219,رشت - تقاطع سراوان,1401/12/07 00:00:00,1401/12/08 00:00:00,1405,17049,14985,1278,132,70,584,90,2989,928,0,17387
543219,رشت - تقاطع سراوان,1401/12/08 00:00:00,1401/12/09 00:00:00,1245,14596,12823,1130,97,66,480,88,2132,764,0,17317
543219,رشت - تقاطع سراوان,1401/12/09 00:00:00,1401/12/10 00:00:00,1415,17321,15157,1367,94,84,619,87,2357,961,0,17733
543219,رشت - تقاطع سراوان,1401/12/10 00:00:00,1401/12/11 00:00:00,1390,18094,15983,1348,102,90,571,89,3020,1012,0,18729
543219,رشت - تقاطع سراوان,1401/12/11 00:00:00,1401/12/12 00:00:00,1100,14256,12817,891,66,67,415,91,2738,860,0,19481
543219,رشت - تقاطع سراوان,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,19647,18410,750,92,87,308,90,3012,1061,0,19647
543219,رشت - تقاطع سراوان,1401/12/13 00:00:00,1401/12/14 00:00:00,1285,16287,14385,1154,94,77,577,91,3210,895,0,17750
543219,رشت - تقاطع سراوان,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,17531,15426,1339,88,78,600,92,3656,858,0,17531
543219,رشت - تقاطع سراوان,1401/12/15 00:00:00,1401/12/16 00:00:00,1380,17394,15225,1397,85,71,616,91,3410,831,0,17873
543219,رشت - تقاطع سراوان,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,17921,16314,1016,73,82,436,88,2494,772,0,17921
