Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543283,رشت - سنگر,1401/12/01 00:00:00,1401/12/02 00:00:00,1420,10541,9871,453,64,17,136,58,94,1407,240,10708
543283,رشت - سنگر,1401/12/02 00:00:00,1401/12/03 00:00:00,1425,10521,9719,601,69,18,114,59,126,1381,280,10674
543283,رشت - سنگر,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,10877,10121,551,61,24,120,58,96,1316,303,10877
543283,رشت - سنگر,1401/12/04 00:00:00,1401/12/05 00:00:00,1375,9801,9092,548,56,14,91,58,114,1145,283,10303
543283,رشت - سنگر,1401/12/05 00:00:00,1401/12/06 00:00:00,1270,6082,5898,116,26,14,28,57,25,347,186,7535
543283,رشت - سنگر,1401/12/06 00:00:00,1401/12/07 00:00:00,1415,10600,9945,447,70,24,114,59,110,1341,288,10668
543283,رشت - سنگر,1401/12/07 00:00:00,1401/12/08 00:00:00,1430,10497,9835,453,72,19,118,58,90,1299,297,10607
543283,رشت - سنگر,1401/12/08 00:00:00,1401/12/09 00:00:00,1245,9035,8386,476,60,23,90,57,70,1141,219,10676
543283,رشت - سنگر,1401/12/09 00:00:00,1401/12/10 00:00:00,1335,9435,8799,443,63,23,107,57,65,1045,257,10520
543283,رشت - سنگر,1401/12/10 00:00:00,1401/12/11 00:00:00,1400,10700,9929,537,62,25,147,55,67,1530,265,10932
543283,رشت - سنگر,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,10608,10065,376,40,21,106,56,49,1070,281,10608
543283,رشت - سنگر,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,8048,7633,298,39,13,65,58,136,617,233,8180
543283,رشت - سنگر,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,10745,10012,526,59,19,129,57,104,1209,319,10745
543283,رشت - سنگر,1401/12/14 00:00:00,1401/12/15 00:00:00,1430,10719,9984,531,83,14,107,56,115,1313,285,10797
543283,رشت - سنگر,1401/12/15 00:00:00,1401/12/16 00:00:00,1425,10745,10234,363,42,27,79,57,54,972,255,10920
543283,رشت - سنگر,1401/12/16 00:00:00,1401/12/17 00:00:00,1160,8687,7624,861,82,7,113,58,161,1044,234,10797
543283,رشت - سنگر,1401/12/17 00:00:00,1401/12/18 00:00:00,1420,8956,8058,722,73,13,90,60,228,909,223,9158
543283,رشت - سنگر,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,9892,9456,302,30,22,82,54,25,729,244,9892
543283,رشت - سنگر,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,8417,8079,228,33,16,61,53,66,940,242,8417
543283,رشت - سنگر,1401/12/20 00:00:00,1401/12/21 00:00:00,1295,9658,9093,410,32,15,108,55,46,1035,273,10930
543283,رشت - سنگر,1401/12/21 00:00:00,1401/12/22 00:00:00,1310,9582,9074,345,38,19,106,57,74,917,231,11048
543283,رشت - سنگر,1401/12/22 00:00:00,1401/12/23 00:00:00,1310,10385,9775,408,53,22,127,53,50,1375,285,11141
543283,رشت - سنگر,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,10438,10014,299,35,9,81,54,64,919,246,10642
543283,رشت - سنگر,1401/12/24 00:00:00,1401/12/25 00:00:00,1425,10699,9194,1253,83,21,148,59,247,1287,261,10842
543283,رشت - سنگر,1401/12/25 00:00:00,1401/12/26 00:00:00,1365,10330,9481,660,54,17,118,57,99,1140,262,11181
543283,رشت - سنگر,1401/12/26 00:00:00,1401/12/27 00:00:00,1395,8886,7993,721,78,12,82,62,227,894,239,9314
543283,رشت - سنگر,1401/12/27 00:00:00,1401/12/28 00:00:00,1290,10173,9562,439,43,16,113,54,51,1160,285,11948
543283,رشت - سنگر,1401/12/28 00:00:00,1401/12/29 00:00:00,1160,11248,9483,1482,113,23,147,58,297,1432,262,11652
543283,رشت - سنگر,1401/12/29 00:00:00,1402/01/01 00:00:00,1435,10881,9869,787,99,12,114,59,167,1204,240,10913
543283,رشت - سنگر,1402/01/01 00:00:00,1402/01/02 00:00:00,1405,8071,7577,388,43,8,55,56,121,612,201,8376
543283,رشت - سنگر,1402/01/02 01:05:00,1402/01/03 00:00:00,1370,7899,7700,120,16,14,49,53,17,455,188,8215
543283,رشت - سنگر,1402/01/03 00:00:00,1402/01/04 00:00:00,1380,10050,9537,358,46,22,87,55,86,1020,225,10908
543283,رشت - سنگر,1402/01/04 00:00:00,1402/01/05 00:00:00,1310,8867,8560,169,33,17,88,54,40,764,207,10152
543283,رشت - سنگر,1402/01/05 00:00:00,1402/01/06 00:00:00,1335,11260,10654,374,65,24,143,51,100,1544,186,12370
543283,رشت - سنگر,1402/01/06 00:00:00,1402/01/07 00:00:00,1055,9064,8525,341,55,17,126,52,67,1169,226,11975
543283,رشت - سنگر,1402/01/07 00:00:00,1402/01/07 23:35:00,1125,9120,8729,234,48,19,90,52,18,1040,185,11767
543283,رشت - سنگر,1402/01/08 00:10:00,1402/01/09 00:00:00,1275,10091,9632,308,34,22,95,54,40,1002,212,11777
543283,رشت - سنگر,1402/01/09 00:00:00,1402/01/10 00:00:00,1215,9711,9265,310,27,27,82,57,85,900,226,11730
543283,رشت - سنگر,1402/01/10 00:00:00,1402/01/10 23:55:00,1085,8198,7873,205,22,24,74,56,65,758,206,11960
543283,رشت - سنگر,1402/01/11 00:00:00,1402/01/12 00:00:00,340,1180,1053,115,7,0,5,56,28,43,33,7792
543283,رشت - سنگر,1402/01/12 00:00:00,1402/01/12 23:40:00,1185,8110,7784,216,32,25,53,55,29,658,165,9318
543283,رشت - سنگر,1402/01/13 00:00:00,1402/01/13 23:30:00,1325,7705,7394,243,17,7,44,59,114,613,240,8238
543283,رشت - سنگر,1402/01/14 00:10:00,1402/01/14 23:55:00,1080,7456,6998,305,51,16,86,53,69,915,183,10587
543283,رشت - سنگر,1402/01/15 00:00:00,1402/01/16 00:00:00,1120,8127,7760,268,37,5,57,60,59,596,131,9809
543283,رشت - سنگر,1402/01/16 00:00:00,1402/01/17 00:00:00,1215,9051,8472,418,44,19,98,53,69,1012,229,10306
543283,رشت - سنگر,1402/01/17 00:00:00,1402/01/18 00:00:00,1235,9618,9093,354,41,22,108,54,54,1171,253,10745
543283,رشت - سنگر,1402/01/18 00:00:00,1402/01/19 00:00:00,1160,6246,6055,113,19,14,45,57,66,405,190,8392
543283,رشت - سنگر,1402/01/19 00:00:00,1402/01/20 00:00:00,1155,8900,8339,392,52,21,96,55,95,938,221,10802
543283,رشت - سنگر,1402/01/20 00:00:00,1402/01/21 00:00:00,1300,9633,8969,463,65,17,119,52,85,1376,230,10449
543283,رشت - سنگر,1402/01/21 00:00:00,1402/01/21 23:40:00,1020,7955,7543,294,45,12,61,55,82,753,199,10994
543283,رشت - سنگر,1402/01/22 00:15:00,1402/01/23 00:00:00,1140,8703,8069,455,48,18,113,56,127,887,207,11144
543283,رشت - سنگر,1402/01/23 00:00:00,1402/01/23 14:15:00,765,3417,3215,147,26,7,22,62,70,187,103,6547
543283,رشت - سنگر,1402/01/24 05:50:00,1402/01/25 00:00:00,1090,9617,9133,310,47,16,111,53,53,1077,276,10428
543283,رشت - سنگر,1402/01/25 00:00:00,1402/01/26 00:00:00,1030,6454,6276,119,12,13,34,57,35,458,160,8040
543283,رشت - سنگر,1402/01/26 00:00:00,1402/01/27 00:00:00,1250,9806,9379,309,31,18,69,56,49,891,232,11463
543283,رشت - سنگر,1402/01/27 00:00:00,1402/01/28 00:00:00,1220,8937,8449,366,25,14,83,55,64,890,159,10412
543283,رشت - سنگر,1402/01/28 00:25:00,1402/01/29 00:00:00,1325,9852,8541,1072,107,12,120,60,254,1187,202,10361
543283,رشت - سنگر,1402/01/29 00:00:00,1402/01/30 00:00:00,1380,9703,9030,495,53,9,116,57,118,896,248,10350
543283,رشت - سنگر,1402/01/30 00:00:00,1402/01/31 00:00:00,1360,10146,9493,460,68,18,107,56,137,991,262,10997
543283,رشت - سنگر,1402/01/31 00:00:00,1402/02/01 00:00:00,1300,10663,10156,343,51,17,96,57,108,977,294,11798
