Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543104,رشت - فومن,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,25811,25236,334,137,54,50,78.0,26179.0,341.0,7519.0,0.0
543104,رشت - فومن,1397/12/02 00:00:00,1397/12/03 00:00:00,1430.0,29778,29086,386,160,71,75,77.0,30035.0,362.0,9780.0,0.0
543104,رشت - فومن,1397/12/03 00:00:00,1397/12/04 00:00:00,1415.0,25435,24976,232,94,67,66,79.0,26085.0,444.0,7171.0,0.0
543104,رشت - فومن,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,25982,25361,383,118,46,74,78.0,25987.0,401.0,7240.0,0.0
543104,رشت - فومن,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,25754,25123,365,140,70,56,78.0,25754.0,466.0,7155.0,0.0
543104,رشت - فومن,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,25252,24640,342,116,66,88,77.0,25252.0,306.0,6773.0,0.0
543104,رشت - فومن,1397/12/07 00:00:00,1397/12/08 00:00:00,1420.0,27794,27122,378,161,70,63,77.0,28328.0,342.0,8723.0,0.0
543104,رشت - فومن,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,26860,26265,366,116,57,56,76.0,26860.0,293.0,7839.0,0.0
543104,رشت - فومن,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,27763,27202,339,125,49,48,75.0,27763.0,202.0,8338.0,0.0
543104,رشت - فومن,1397/12/10 00:00:00,1397/12/11 00:00:00,1425.0,23719,23292,207,101,53,66,78.0,24007.0,305.0,6253.0,0.0
543104,رشت - فومن,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,26226,25612,343,136,70,65,78.0,26226.0,422.0,7370.0,0.0
543104,رشت - فومن,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,25660,25037,366,133,62,62,78.0,25660.0,357.0,7313.0,0.0
543104,رشت - فومن,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,24939,24363,349,122,53,52,78.0,25076.0,430.0,6912.0,0.0
543104,رشت - فومن,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,25961,25325,372,121,69,74,78.0,25961.0,381.0,7526.0,0.0
543104,رشت - فومن,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,26830,26150,404,151,68,57,77.0,26830.0,357.0,7996.0,0.0
543104,رشت - فومن,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,30278,29592,418,146,66,56,75.0,30287.0,184.0,9889.0,0.0
543104,رشت - فومن,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,20772,20394,203,70,45,60,72.0,20772.0,73.0,4513.0,0.0
543104,رشت - فومن,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,26490,25937,338,122,51,42,77.0,26490.0,303.0,7420.0,0.0
543104,رشت - فومن,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,26757,26059,407,163,55,73,77.0,26757.0,371.0,7942.0,0.0
543104,رشت - فومن,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,25956,25313,382,152,67,42,78.0,26747.0,347.0,7549.0,0.0
543104,رشت - فومن,1397/12/21 00:00:00,1397/12/22 00:00:00,995.0,21003,20559,242,105,46,51,78.0,26484.0,297.0,5946.0,0.0
543104,رشت - فومن,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,27686,27026,379,145,75,61,77.0,27686.0,348.0,8132.0,0.0
543104,رشت - فومن,1397/12/23 00:00:00,1397/12/24 00:00:00,1410.0,30929,30258,412,136,64,59,75.0,31827.0,267.0,10863.0,0.0
543104,رشت - فومن,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,23060,22628,238,76,49,69,77.0,23060.0,255.0,5483.0,0.0
543104,رشت - فومن,1397/12/25 00:00:00,1397/12/26 00:00:00,1180.0,20661,20162,273,117,44,65,77.0,27347.0,280.0,5763.0,0.0
543104,رشت - فومن,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,27684,27039,370,137,73,65,75.0,27684.0,288.0,8049.0,0.0
543104,رشت - فومن,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,28435,27812,375,131,64,53,76.0,28435.0,268.0,8512.0,0.0
543104,رشت - فومن,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,28179,27592,349,128,48,62,72.0,28304.0,194.0,8509.0,0.0
543104,رشت - فومن,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,26541,26050,269,114,61,47,73.0,26541.0,177.0,7638.0,0.0
543104,رشت - فومن,1401/12/01 00:00:00,1401/12/02 00:00:00,1385.0,27078,26053,787,129,60,49,72.0,28366.0,295.0,3770.0,0.0
543104,رشت - فومن,1401/12/02 00:00:00,1401/12/03 00:00:00,1390.0,27332,26537,545,129,55,66,71.0,28662.0,152.0,3748.0,0.0
543104,رشت - فومن,1401/12/03 00:00:00,1401/12/04 00:00:00,1185.0,22139,21388,537,113,46,55,71.0,29515.0,164.0,3038.0,0.0
543104,رشت - فومن,1401/12/04 00:00:00,1401/12/05 00:00:00,1395.0,30945,30084,578,170,60,53,69.0,32380.0,146.0,4639.0,0.0
543104,رشت - فومن,1401/12/05 00:00:00,1401/12/06 00:00:00,1390.0,22825,22395,304,52,28,46,70.0,23125.0,85.0,2117.0,0.0
543104,رشت - فومن,1401/12/06 00:00:00,1401/12/07 00:00:00,1400.0,28330,27573,533,127,50,47,72.0,28914.0,206.0,3797.0,0.0
543104,رشت - فومن,1401/12/07 00:00:00,1401/12/08 00:00:00,1385.0,27036,26228,587,116,57,48,72.0,28668.0,236.0,3617.0,0.0
543104,رشت - فومن,1401/12/08 00:00:00,1401/12/09 00:00:00,1210.0,22931,22139,591,120,46,35,70.0,28585.0,157.0,3170.0,0.0
543104,رشت - فومن,1401/12/09 00:00:00,1401/12/10 00:00:00,1370.0,28097,27205,652,130,37,73,69.0,29161.0,132.0,3916.0,0.0
543104,رشت - فومن,1401/12/10 00:00:00,1401/12/11 00:00:00,1350.0,27930,27069,633,118,47,63,70.0,29794.0,162.0,3856.0,0.0
543104,رشت - فومن,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,31817,31066,510,130,42,69,69.0,31817.0,160.0,4521.0,0.0
543104,رشت - فومن,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,27299,26502,599,99,41,58,71.0,27299.0,221.0,3320.0,0.0
543104,رشت - فومن,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,28948,28096,619,126,49,58,71.0,28948.0,195.0,3997.0,0.0
543104,رشت - فومن,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,28865,27859,771,135,42,58,72.0,28865.0,294.0,4018.0,0.0
543104,رشت - فومن,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,28958,28188,537,141,39,53,70.0,28958.0,180.0,3674.0,0.0
543104,رشت - فومن,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,29333,28579,531,121,51,51,68.0,29333.0,134.0,3812.0,0.0
543104,رشت - فومن,1401/12/17 00:00:00,1401/12/18 00:00:00,1305.0,23779,23194,410,82,36,57,70.0,27376.0,130.0,2772.0,0.0
543104,رشت - فومن,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,30427,29820,408,95,52,52,67.0,30427.0,95.0,3701.0,0.0
543104,رشت - فومن,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,27624,26732,700,84,34,74,75.0,27624.0,314.0,3504.0,0.0
543104,رشت - فومن,1401/12/20 00:00:00,1401/12/21 00:00:00,1355.0,27423,26716,515,106,35,51,71.0,29821.0,141.0,3480.0,0.0
543104,رشت - فومن,1401/12/21 00:00:00,1401/12/22 00:00:00,1355.0,27474,26717,564,109,40,44,71.0,29708.0,172.0,3546.0,0.0
543104,رشت - فومن,1401/12/22 00:00:00,1401/12/23 00:00:00,1280.0,26054,25254,572,123,45,60,71.0,29905.0,140.0,3533.0,0.0
543104,رشت - فومن,1401/12/23 00:00:00,1401/12/24 00:00:00,1410.0,29077,27970,847,145,52,63,70.0,29765.0,168.0,4526.0,0.0
543104,رشت - فومن,1401/12/24 00:00:00,1401/12/25 00:00:00,1365.0,26474,24607,995,183,127,562,72.0,28367.0,295.0,8851.0,0.0
543104,رشت - فومن,1401/12/25 00:00:00,1401/12/26 00:00:00,1415.0,32210,30278,1539,185,57,151,68.0,32361.0,333.0,5191.0,0.0
543104,رشت - فومن,1401/12/26 00:00:00,1401/12/27 00:00:00,1395.0,27380,26575,572,122,29,82,69.0,28060.0,177.0,3170.0,0.0
543104,رشت - فومن,1401/12/27 00:00:00,1401/12/28 00:00:00,1435.0,32091,31209,660,123,43,56,69.0,32238.0,262.0,4381.0,0.0
543104,رشت - فومن,1401/12/28 00:00:00,1401/12/29 00:00:00,1155.0,29833,28660,845,207,53,68,65.0,31566.0,156.0,4459.0,0.0
543104,رشت - فومن,1401/12/29 00:00:00,1402/01/01 00:00:00,1385.0,27044,26452,387,129,34,42,64.0,28491.0,83.0,3189.0,0.0
543104,رشت - فومن,1396/01/01 00:00:00,1396/01/02 00:00:00,1435.0,25002,23267,1247,224,153,111,75.68,25178.0,429.0,7317.0,0.0
543104,رشت - فومن,1396/01/02 00:00:00,1396/01/03 00:00:00,1380.0,25806,23931,1330,236,201,108,76.09,27354.0,504.0,7989.0,0.0
543104,رشت - فومن,1396/01/03 00:00:00,1396/01/04 00:00:00,1440.0,27182,25260,1388,226,186,122,72.48,27182.0,331.0,8101.0,0.0
543104,رشت - فومن,1396/01/04 00:00:00,1396/01/05 00:00:00,1440.0,26261,24479,1337,202,166,77,73.09,26261.0,305.0,7997.0,0.0
543104,رشت - فومن,1396/01/05 00:00:00,1396/01/06 00:00:00,1440.0,30772,28486,1625,331,210,120,76.03,30772.0,563.0,10081.0,0.0
543104,رشت - فومن,1396/01/06 00:00:00,1396/01/07 00:00:00,1435.0,32106,29632,1702,384,237,151,75.43,32215.0,574.0,11241.0,0.0
543104,رشت - فومن,1396/01/07 00:00:00,1396/01/08 00:00:00,1430.0,32892,30341,1808,354,257,132,75.24,33239.0,533.0,11747.0,0.0
