Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543220,رشت - لاکان,1397/12/01 00:00:00,1397/12/02 00:00:00,1300,6798,6016,681,60,19,22,45,0,1905,79,6851
543220,رشت - لاکان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,6642,5928,627,53,9,25,46,0,1761,83,6642
543220,رشت - لاکان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,4769,4413,313,17,10,16,49,2,842,82,4769
543220,رشت - لاکان,1397/12/04 00:00:00,1397/12/05 00:00:00,1435,6679,5876,699,62,17,25,45,1,1876,69,6680
543220,رشت - لاکان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,6404,5607,704,58,19,16,44,1,1743,92,6404
543220,رشت - لاکان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440,6669,5864,710,58,11,26,44,0,1813,89,6669
543220,رشت - لاکان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,7103,6234,749,63,24,33,45,1,2096,90,7103
543220,رشت - لاکان,1397/12/08 00:00:00,1397/12/09 00:00:00,1435,6854,6045,696,62,18,33,44,0,1862,87,6856
543220,رشت - لاکان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,6458,5761,623,53,7,14,44,0,1628,106,6458
543220,رشت - لاکان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,4780,4409,332,23,5,11,48,1,896,78,4780
543220,رشت - لاکان,1397/12/11 00:00:00,1397/12/12 00:00:00,1425,6805,6005,703,62,17,18,47,2,1938,79,6840
543220,رشت - لاکان,1397/12/12 00:00:00,1397/12/13 00:00:00,1390,5973,5199,672,66,17,19,44,0,1650,78,6371
543220,رشت - لاکان,1397/12/13 00:00:00,1397/12/14 00:00:00,1430,6784,5943,740,58,12,31,44,0,2015,88,6826
543220,رشت - لاکان,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,6999,6198,684,67,16,34,44,0,2010,93,6999
543220,رشت - لاکان,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,5328,4683,573,43,18,11,38,0,1256,51,6312
543220,رشت - لاکان,1397/12/16 00:00:00,1397/12/17 00:00:00,1400,6539,5813,640,52,9,25,45,0,1637,81,6638
543220,رشت - لاکان,1397/12/17 00:00:00,1397/12/18 00:00:00,1440,4001,3599,351,25,10,16,49,0,520,79,4001
543220,رشت - لاکان,1397/12/18 00:00:00,1397/12/19 00:00:00,1440,6480,5671,714,57,14,24,48,1,1696,91,6480
543220,رشت - لاکان,1397/12/19 00:00:00,1397/12/20 00:00:00,1440,6769,5940,726,71,6,26,49,2,1901,114,6769
543220,رشت - لاکان,1397/12/20 00:00:00,1397/12/21 00:00:00,1410,6582,5749,730,71,16,16,48,0,1725,90,6820
543220,رشت - لاکان,1397/12/21 00:00:00,1397/12/22 00:00:00,990,4229,3729,418,48,15,19,49,0,952,50,6812
543220,رشت - لاکان,1397/12/22 00:00:00,1397/12/23 00:00:00,1440,7172,6331,740,59,17,25,49,3,2052,105,7172
543220,رشت - لاکان,1397/12/23 00:00:00,1397/12/24 00:00:00,1440,6992,6205,714,48,12,13,50,2,1790,115,6992
543220,رشت - لاکان,1397/12/24 00:00:00,1397/12/25 00:00:00,1440,4623,4165,406,30,11,11,52,3,703,95,4623
543220,رشت - لاکان,1397/12/25 00:00:00,1397/12/26 00:00:00,1440,7311,6456,740,72,19,24,49,4,2094,90,7311
543220,رشت - لاکان,1397/12/26 00:00:00,1397/12/27 00:00:00,1370,6252,5494,659,48,14,37,48,1,1663,99,6747
543220,رشت - لاکان,1397/12/27 00:00:00,1397/12/28 00:00:00,1440,6966,6236,644,49,14,23,48,3,1944,97,6966
543220,رشت - لاکان,1397/12/28 00:00:00,1397/12/29 00:00:00,1435,6671,6075,531,38,15,12,49,2,1751,84,6701
543220,رشت - لاکان,1397/12/29 00:00:00,1398/01/01 00:00:00,1440,4372,4102,241,20,5,4,53,5,662,97,4372
543220,رشت - لاکان,1401/12/01 00:00:00,1401/12/02 00:00:00,1405,9295,8457,777,22,20,19,39,5,347,140,9347
543220,رشت - لاکان,1401/12/02 00:00:00,1401/12/03 00:00:00,1435,9032,8170,805,21,18,18,37,1,278,145,9068
543220,رشت - لاکان,1401/12/03 00:05:00,1401/12/04 00:00:00,1430,9205,8326,800,27,18,34,37,1,291,142,9227
543220,رشت - لاکان,1401/12/04 00:00:00,1401/12/05 00:00:00,1430,8932,8198,678,15,14,27,37,1,266,154,9020
543220,رشت - لاکان,1401/12/05 00:00:00,1401/12/06 00:00:00,1395,4729,4443,267,6,3,10,40,1,59,124,4970
543220,رشت - لاکان,1401/12/06 00:00:00,1401/12/07 00:00:00,1325,6941,6294,589,19,17,22,37,0,172,124,8434
543220,رشت - لاکان,1401/12/07 00:00:00,1401/12/08 00:00:00,1430,9090,8237,775,17,23,38,38,3,318,131,9164
543220,رشت - لاکان,1401/12/08 00:00:00,1401/12/09 00:00:00,1270,8241,7411,767,18,14,31,37,0,279,113,9355
543220,رشت - لاکان,1401/12/09 00:00:00,1401/12/10 00:00:00,1395,8853,7987,797,22,16,31,36,1,240,100,9182
543220,رشت - لاکان,1401/12/10 00:00:00,1401/12/11 00:00:00,1400,8949,8132,720,35,21,41,36,5,299,118,9529
543220,رشت - لاکان,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,9278,8465,746,21,16,30,35,2,248,107,9278
543220,رشت - لاکان,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,6487,6141,313,12,7,14,42,0,133,114,6487
543220,رشت - لاکان,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,9091,8227,797,17,21,29,39,2,249,150,9091
543220,رشت - لاکان,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,9207,8348,784,23,22,30,36,4,310,135,9207
543220,رشت - لاکان,1401/12/15 00:00:00,1401/12/16 00:00:00,1380,8938,8117,738,27,18,38,36,2,329,124,9497
543220,رشت - لاکان,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,9028,8192,766,24,18,28,36,1,202,127,9028
543220,رشت - لاکان,1401/12/17 00:00:00,1401/12/18 00:00:00,1435,7573,6898,619,24,10,22,39,1,183,168,7583
543220,رشت - لاکان,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,8675,7941,661,28,19,26,37,1,190,138,8675
543220,رشت - لاکان,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,6678,6301,335,11,9,22,41,1,177,137,6678
543220,رشت - لاکان,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,9646,8772,811,24,15,24,37,0,663,151,9646
543220,رشت - لاکان,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,8858,8122,672,19,17,28,35,0,361,150,9509
543220,رشت - لاکان,1401/12/22 00:00:00,1401/12/23 00:00:00,1385,9166,8300,805,21,18,22,36,4,342,156,9352
543220,رشت - لاکان,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,9544,8702,772,27,14,29,36,3,265,143,9692
543220,رشت - لاکان,1401/12/24 00:00:00,1401/12/25 00:00:00,1425,8877,8079,731,23,17,27,37,1,269,189,9046
543220,رشت - لاکان,1401/12/25 00:00:00,1401/12/26 00:00:00,1425,9230,8485,660,20,18,47,36,1,267,148,9234
543220,رشت - لاکان,1401/12/26 00:00:00,1401/12/27 00:00:00,1440,6530,6055,410,19,9,37,40,0,119,157,6530
543220,رشت - لاکان,1401/12/27 00:00:00,1401/12/28 00:00:00,1440,8784,8059,652,22,18,33,37,2,186,211,8784
543220,رشت - لاکان,1401/12/28 00:00:00,1401/12/29 00:00:00,1205,7308,6852,406,8,13,29,38,0,160,127,8091
543220,رشت - لاکان,1401/12/29 00:00:00,1402/01/01 00:00:00,1435,5547,5271,249,10,7,10,41,0,64,148,5558
