Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543109,رشت - پير بازار,1397/12/01 00:00:00,1397/12/02 00:00:00,1115.0,12257,12101,124,18,10,4,59.0,15175.0,11.0,1697.0,0.0
543109,رشت - پير بازار,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,16483,16225,208,32,14,4,59.0,16483.0,19.0,2641.0,0.0
543109,رشت - پير بازار,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,13851,13707,105,11,23,5,62.0,13851.0,32.0,1729.0,0.0
543109,رشت - پير بازار,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,15203,14981,175,23,19,5,59.0,15284.0,10.0,2078.0,0.0
543109,رشت - پير بازار,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,15192,14928,209,29,19,7,59.0,15192.0,18.0,2024.0,0.0
543109,رشت - پير بازار,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,14989,14791,158,24,12,4,57.0,14989.0,13.0,1870.0,0.0
543109,رشت - پير بازار,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,16536,16305,174,38,18,1,60.0,16536.0,24.0,2658.0,0.0
543109,رشت - پير بازار,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,15422,15168,199,28,19,8,57.0,15422.0,9.0,1959.0,0.0
543109,رشت - پير بازار,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,15583,15354,182,22,22,3,56.0,15583.0,4.0,2149.0,0.0
543109,رشت - پير بازار,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,12607,12464,100,19,18,6,61.0,12607.0,17.0,1357.0,0.0
543109,رشت - پير بازار,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,15917,15654,199,33,22,9,60.0,15917.0,27.0,2175.0,0.0
