Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543110,رشت - کوچصفهان,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,24975,17002,3758,1808,1529,878,82.0,25457.0,4084.0,6650.0,0.0
543110,رشت - کوچصفهان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,27626,18474,4333,2114,1733,972,81.0,27626.0,4478.0,7884.0,0.0
543110,رشت - کوچصفهان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,21521,16304,2285,1340,942,650,79.0,21521.0,2694.0,5288.0,0.0
543110,رشت - کوچصفهان,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,20882,15603,2176,1204,1150,749,80.0,20988.0,2899.0,4894.0,0.0
543110,رشت - کوچصفهان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,24146,16586,3537,1770,1429,824,81.0,24146.0,3793.0,6254.0,0.0
543110,رشت - کوچصفهان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,25563,16538,4508,2066,1570,881,82.0,25563.0,4250.0,6553.0,0.0
543110,رشت - کوچصفهان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,26480,17603,4227,2073,1646,931,82.0,26480.0,4405.0,7322.0,0.0
543110,رشت - کوچصفهان,1397/12/08 00:00:00,1397/12/09 00:00:00,1410.0,25189,16820,3913,1982,1590,884,80.0,25775.0,3805.0,6695.0,0.0
543110,رشت - کوچصفهان,1397/12/09 00:00:00,1397/12/10 00:00:00,1395.0,24409,16490,3752,1783,1490,894,78.0,25400.0,3146.0,6632.0,0.0
543110,رشت - کوچصفهان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,24678,16658,4226,1664,1384,746,81.0,24678.0,3483.0,6508.0,0.0
543110,رشت - کوچصفهان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,25621,16864,4277,1979,1609,892,82.0,25621.0,4290.0,6455.0,0.0
543110,رشت - کوچصفهان,1397/12/12 00:00:00,1397/12/13 00:00:00,1425.0,24622,16687,3522,1934,1572,907,82.0,24980.0,4058.0,6299.0,0.0
543110,رشت - کوچصفهان,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,24830,16292,3997,1998,1626,917,82.0,24955.0,4399.0,6177.0,0.0
543110,رشت - کوچصفهان,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,24759,16507,3854,1896,1544,958,82.0,24759.0,4147.0,6240.0,0.0
543110,رشت - کوچصفهان,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,26630,17725,4271,2071,1614,949,81.0,26630.0,4214.0,7249.0,0.0
543110,رشت - کوچصفهان,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,28536,18543,4908,2316,1829,940,79.0,28684.0,4107.0,8423.0,0.0
543110,رشت - کوچصفهان,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,20072,13388,3262,1492,1294,636,79.0,20201.0,2704.0,3954.0,0.0
543110,رشت - کوچصفهان,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,25293,16620,4334,1942,1575,822,82.0,25293.0,4335.0,6585.0,0.0
543110,رشت - کوچصفهان,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,22535,16291,2744,1484,1222,794,79.0,22535.0,3134.0,5517.0,0.0
543110,رشت - کوچصفهان,1397/12/20 00:00:00,1397/12/20 23:25:00,1375.0,24386,16340,4465,1734,1203,644,82.0,25645.0,3432.0,6577.0,0.0
543110,رشت - کوچصفهان,1397/12/21 09:00:00,1397/12/22 00:00:00,810.0,20466,12845,4303,1589,1138,591,83.0,28022.0,3135.0,5947.0,0.0
543110,رشت - کوچصفهان,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,30582,19223,6249,2466,1789,855,83.0,30722.0,4822.0,9115.0,0.0
543110,رشت - کوچصفهان,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,32205,20586,6486,2478,1812,843,83.0,32205.0,4712.0,10292.0,0.0
543110,رشت - کوچصفهان,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,25898,16387,5748,1813,1281,669,82.0,25898.0,3393.0,6476.0,0.0
543110,رشت - کوچصفهان,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,28476,17938,5466,2450,1741,881,83.0,28476.0,4939.0,7831.0,0.0
543110,رشت - کوچصفهان,1397/12/26 00:00:00,1397/12/27 00:00:00,1430.0,29527,18851,5608,2410,1758,900,82.0,29787.0,4641.0,8500.0,0.0
543110,رشت - کوچصفهان,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,29076,18221,6063,2351,1636,805,83.0,29076.0,4424.0,8069.0,0.0
543110,رشت - کوچصفهان,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,28556,18207,5585,2122,1711,931,81.0,28694.0,4125.0,7966.0,0.0
543110,رشت - کوچصفهان,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,26729,17698,4934,1848,1502,747,81.0,26729.0,3707.0,6873.0,0.0
543110,رشت - کوچصفهان,1401/12/02 02:50:00,1401/12/03 00:00:00,1075.0,30331,29442,579,171,45,94,72.0,38511.0,110.0,3632.0,0.0
543110,رشت - کوچصفهان,1401/12/03 00:00:00,1401/12/04 00:00:00,1320.0,35330,34192,751,214,47,126,73.0,39578.0,155.0,4512.0,0.0
543110,رشت - کوچصفهان,1401/12/04 00:00:00,1401/12/05 00:00:00,1370.0,37707,35923,1343,192,50,199,72.0,39774.0,214.0,5155.0,0.0
