Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543352,رضوانشهر - انزلي,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,6709,6358,257,29,30,35,82.0,6822.0,1125.0,1905.0,23.0
543352,رضوانشهر - انزلي,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,7510,7212,181,29,54,34,82.0,7510.0,1352.0,2300.0,22.0
543352,رضوانشهر - انزلي,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,8476,8203,159,32,34,48,79.0,8476.0,1064.0,2989.0,26.0
543352,رضوانشهر - انزلي,1397/12/04 00:00:00,1397/12/05 00:00:00,1435.0,7094,6751,244,30,32,37,83.0,7095.0,1308.0,2010.0,22.0
543352,رضوانشهر - انزلي,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,6682,6358,229,29,30,36,82.0,6682.0,1245.0,1756.0,22.0
543352,رضوانشهر - انزلي,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,6783,6421,255,31,33,43,81.0,6783.0,1066.0,1860.0,21.0
543352,رضوانشهر - انزلي,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,7323,6934,270,39,32,48,81.0,7323.0,1133.0,2106.0,27.0
543352,رضوانشهر - انزلي,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,6798,6448,232,44,42,32,81.0,6800.0,1126.0,1831.0,20.0
543352,رضوانشهر - انزلي,1397/12/09 00:00:00,1397/12/10 00:00:00,1405.0,6895,6585,195,32,40,43,78.0,7219.0,916.0,1947.0,26.0
543352,رضوانشهر - انزلي,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,7752,7524,137,30,32,29,78.0,7752.0,840.0,2589.0,12.0
543352,رضوانشهر - انزلي,1397/12/11 00:00:00,1397/12/12 00:00:00,1435.0,7126,6757,242,41,43,43,82.0,7142.0,1224.0,1972.0,14.0
543352,رضوانشهر - انزلي,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,6713,6312,276,51,46,28,82.0,6713.0,1239.0,1851.0,26.0
543352,رضوانشهر - انزلي,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,6776,6381,279,33,36,47,81.0,6821.0,1072.0,1884.0,28.0
543352,رضوانشهر - انزلي,1397/12/14 00:00:00,1397/12/15 00:00:00,1425.0,6776,6411,258,35,35,37,81.0,6869.0,1078.0,1863.0,16.0
543352,رضوانشهر - انزلي,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,7287,6931,226,42,38,50,75.0,7287.0,631.0,2472.0,21.0
543352,رضوانشهر - انزلي,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,7545,7178,247,47,40,33,78.0,7549.0,777.0,2407.0,20.0
543352,رضوانشهر - انزلي,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,6329,6095,143,36,25,30,78.0,6329.0,713.0,1681.0,19.0
543352,رضوانشهر - انزلي,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,7041,6763,170,38,32,38,82.0,7041.0,1172.0,1950.0,21.0
543352,رضوانشهر - انزلي,1397/12/19 00:00:00,1397/12/20 00:00:00,1420.0,6947,6627,184,49,38,49,81.0,7053.0,1094.0,2006.0,16.0
543352,رضوانشهر - انزلي,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,6969,6625,216,52,38,38,82.0,7164.0,1207.0,2014.0,20.0
543352,رضوانشهر - انزلي,1397/12/21 00:00:00,1397/12/22 00:00:00,1010.0,5996,5722,167,33,31,43,79.0,7328.0,650.0,1839.0,18.0
543352,رضوانشهر - انزلي,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,7417,7021,231,56,51,58,81.0,7417.0,1112.0,2149.0,27.0
543352,رضوانشهر - انزلي,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,8134,7733,259,46,44,52,80.0,8134.0,1055.0,2601.0,28.0
543352,رضوانشهر - انزلي,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,7681,7310,204,59,61,47,78.0,7681.0,832.0,2399.0,30.0
543352,رضوانشهر - انزلي,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,7899,7522,220,57,52,48,82.0,7899.0,1187.0,2390.0,38.0
543352,رضوانشهر - انزلي,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,7655,7278,234,55,40,48,82.0,7655.0,1253.0,2229.0,20.0
543352,رضوانشهر - انزلي,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,8104,7799,187,51,31,36,80.0,8104.0,975.0,2500.0,23.0
543352,رضوانشهر - انزلي,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,7550,7323,134,25,36,32,78.0,7592.0,692.0,2205.0,28.0
543352,رضوانشهر - انزلي,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,8808,8655,88,25,22,18,80.0,8808.0,936.0,2970.0,24.0
543352,رضوانشهر - انزلي,1401/12/01 00:00:00,1401/12/02 00:00:00,1310.0,7845,7481,239,46,13,66,78.0,8348.0,882.0,895.0,174.0
543352,رضوانشهر - انزلي,1401/12/02 00:00:00,1401/12/03 00:00:00,1400.0,7749,7398,237,49,13,52,79.0,8067.0,1033.0,803.0,155.0
543352,رضوانشهر - انزلي,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,8512,8091,309,49,14,49,76.0,8512.0,615.0,982.0,188.0
