Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
543551,رودبار - رستم آباد (جاده قديم),1396/01/01 00:00:00,1396/01/02 00:00:00,5047,4826,131,39,15,36,74.7,42.0,444.0,19.0,5047.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/02 00:00:00,1396/01/03 00:00:00,5791,5422,241,45,31,52,73.43,33.0,546.0,25.0,6246.0,1380.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/03 00:00:00,1396/01/04 00:00:00,4233,3887,211,39,40,56,69.65,15.0,291.0,38.0,4233.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/04 00:00:00,1396/01/05 00:00:00,4034,3626,235,77,31,65,69.26,15.0,282.0,49.0,4034.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/05 00:00:00,1396/01/06 00:00:00,5549,4864,430,120,47,88,71.17,34.0,487.0,50.0,5549.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/06 00:00:00,1396/01/07 00:00:00,6422,5423,593,165,85,156,72.06,47.0,640.0,29.0,6435.0,1435.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/07 00:00:00,1396/01/08 00:00:00,7732,6590,622,182,119,219,72.47,55.0,876.0,55.0,7732.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/08 00:00:00,1396/01/09 00:00:00,6795,5452,720,252,135,236,70.33,51.0,637.0,64.0,6795.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/09 00:00:00,1396/01/10 00:00:00,6238,4874,747,254,151,212,69.24,53.0,528.0,78.0,6251.0,1435.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/10 00:00:00,1396/01/11 00:00:00,5499,4491,515,170,120,203,69.64,28.0,411.0,85.0,5499.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/11 00:00:00,1396/01/12 00:00:00,4022,3252,404,143,97,126,68.62,27.0,258.0,131.0,4022.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/12 00:00:00,1396/01/13 00:00:00,3268,2749,318,75,57,69,67.32,20.0,127.0,120.0,3279.0,1435.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/13 00:00:00,1396/01/14 00:00:00,3049,2849,108,38,25,29,67.18,16.0,245.0,65.0,3069.0,1430.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/14 00:00:00,1396/01/15 00:00:00,3539,2763,434,116,85,141,65.62,31.0,167.0,103.0,3539.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/15 00:00:00,1396/01/16 00:00:00,4905,3338,874,260,174,259,67.07,39.0,312.0,62.0,4905.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/16 00:00:00,1396/01/17 00:00:00,5703,3528,1101,413,213,448,67.12,55.0,374.0,91.0,5703.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/17 00:00:00,1396/01/18 00:00:00,5474,3467,1016,315,264,412,66.71,53.0,370.0,70.0,5474.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/18 00:00:00,1396/01/19 00:00:00,3866,2418,678,253,192,325,65.48,37.0,174.0,65.0,3866.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/19 00:00:00,1396/01/20 00:00:00,5554,3360,1130,358,266,440,66.71,42.0,374.0,78.0,5554.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/20 00:00:00,1396/01/21 00:00:00,6083,3492,1398,424,264,505,65.91,54.0,413.0,114.0,6083.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/21 00:00:00,1396/01/21 23:05:00,5928,3710,1155,362,224,477,65.62,47.0,401.0,105.0,6082.0,1385.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/22 00:40:00,1396/01/23 00:00:00,4817,2836,1037,298,205,441,65.02,39.0,249.0,59.0,4986.0,1390.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/23 00:00:00,1396/01/24 00:00:00,5735,3539,1117,318,276,485,65.15,49.0,390.0,79.0,5786.0,1425.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/24 00:00:00,1396/01/25 00:00:00,5748,3556,1067,338,271,516,66.36,39.0,383.0,79.0,5748.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/25 00:00:00,1396/01/26 00:00:00,4076,2333,759,269,259,456,66.32,30.0,188.0,76.0,4137.0,1415.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/26 00:00:00,1396/01/27 00:00:00,5552,3363,1016,312,287,574,64.33,36.0,355.0,97.0,5574.0,1430.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/27 00:00:00,1396/01/28 00:00:00,5874,3454,1212,399,281,528,64.89,54.0,406.0,95.0,5874.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/28 00:00:00,1396/01/29 00:00:00,5993,3435,1201,419,302,636,65.3,51.0,380.0,106.0,6104.0,1420.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/29 00:00:00,1396/01/30 00:00:00,6220,3446,1357,418,291,708,65.88,54.0,383.0,102.0,6220.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1396/01/30 00:00:00,1396/01/30 20:40:00,5732,3344,1209,404,244,531,67.31,43.0,367.0,101.0,6547.0,1240.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/01 00:00:00,1395/01/02 02:00:00,3215,2979,171,54,10,1,77.95,509.0,113.0,0.0,,1485.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/02 02:00:00,1395/01/03 00:00:00,4620,4392,160,57,6,5,74.42,366.0,261.0,0.0,,1320.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/03 00:00:00,1395/01/04 00:00:00,4511,4151,251,89,18,2,77.26,616.0,218.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/04 00:00:00,1395/01/05 00:00:00,3901,3514,257,102,28,0,77.36,510.0,187.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/05 00:00:00,1395/01/06 00:00:00,3709,3337,244,93,32,3,76.33,421.0,167.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/06 00:00:00,1395/01/07 00:00:00,3476,3067,253,93,42,21,74.85,302.0,134.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/07 00:00:00,1395/01/08 00:00:00,5020,4179,410,189,140,102,76.04,565.0,228.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/08 00:00:00,1395/01/09 00:00:00,4117,3130,466,216,202,103,71.52,233.0,165.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/09 00:00:00,1395/01/10 00:00:00,3908,2828,521,197,209,153,70.79,198.0,131.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/10 00:00:00,1395/01/11 00:00:00,3558,2650,466,183,182,77,71.56,245.0,106.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/11 00:00:00,1395/01/12 00:00:00,3601,2764,420,186,137,94,72.43,220.0,133.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/12 00:00:00,1395/01/13 00:00:00,2720,2243,255,127,49,46,72.75,199.0,64.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/13 00:00:00,1395/01/14 00:00:00,1670,1521,101,40,8,0,70.52,130.0,50.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/14 00:00:00,1395/01/15 00:00:00,2683,2080,331,157,80,35,75.44,302.0,70.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/15 00:00:00,1395/01/16 00:00:00,4021,2541,708,313,193,266,72.81,308.0,108.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/16 00:00:00,1395/01/17 00:00:00,3950,2392,767,327,211,253,72.71,342.0,117.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/17 00:00:00,1395/01/18 00:00:00,4307,2519,906,355,258,269,70.31,241.0,108.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/18 00:00:00,1395/01/19 00:00:00,4361,2491,884,434,291,261,72.02,419.0,119.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/19 00:00:00,1395/01/20 00:00:00,4000,2534,659,289,270,248,71.06,288.0,116.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/20 00:00:00,1395/01/21 00:00:00,3030,1764,495,277,217,277,71.17,212.0,87.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/21 00:00:00,1395/01/22 00:00:00,4443,2567,865,339,322,350,71.61,313.0,158.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/22 00:00:00,1395/01/23 00:00:00,4933,2829,1049,491,243,321,71.25,430.0,202.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/23 00:00:00,1395/01/24 00:00:00,4728,2664,950,404,284,426,69.38,294.0,152.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/24 00:00:00,1395/01/25 00:00:00,5060,2893,1020,356,284,507,68.0,203.0,165.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/25 00:00:00,1395/01/26 00:00:00,5175,3095,938,302,339,501,67.37,190.0,209.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/26 00:00:00,1395/01/27 00:00:00,4744,3081,691,260,282,430,68.76,205.0,205.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/27 00:00:00,1395/01/28 00:00:00,3660,2382,438,255,249,336,66.83,106.0,148.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/28 00:00:00,1395/01/29 00:00:00,4920,3080,772,272,291,505,68.02,189.0,219.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/29 00:00:00,1395/01/30 00:00:00,4928,2841,994,316,275,502,65.06,155.0,191.0,0.0,,1425.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/30 00:00:00,1395/01/31 00:00:00,5100,2941,1025,382,277,475,69.31,266.0,186.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/01/31 00:00:00,1395/02/01 00:00:00,5126,2775,1072,503,281,495,70.73,371.0,176.0,0.0,,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/12/01 00:00:00,1395/12/02 00:00:00,3734,2279,728,175,139,413,66.22,56.0,212.0,99.0,3958.0,1370.0
543551,رودبار - رستم آباد (جاده قديم),1395/12/02 00:00:00,1395/12/03 00:00:00,5392,3101,1120,321,229,621,65.44,65.0,330.0,88.0,5392.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/12/03 00:00:00,1395/12/04 00:00:00,6196,3435,1322,375,274,790,65.03,74.0,413.0,109.0,6196.0,1440.0
543551,رودبار - رستم آباد (جاده قديم),1395/12/04 00:00:00,1395/12/05 00:00:00,6726,3737,1456,392,312,829,65.01,76.0,423.0,154.0,6726.0,1440.0
