Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/01 00:00:00,1397/12/02 00:00:00,1280.0,15877,15607,25,32,209,4,96.0,138.0,2684.0,0.0,16955.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/02 00:00:00,1397/12/03 00:00:00,1425.0,19332,19020,24,30,252,6,96.0,198.0,3397.0,0.0,19535.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,14311,13987,21,32,267,4,95.0,152.0,1843.0,0.0,14311.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,12175,11840,27,50,253,5,95.0,130.0,1311.0,0.0,12255.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/05 00:00:00,1397/12/06 00:00:00,1435.0,11547,11246,34,34,229,4,94.0,111.0,1221.0,0.0,11564.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,11503,11218,20,37,224,4,93.0,66.0,1248.0,0.0,11503.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,12695,12383,31,44,233,4,95.0,126.0,1458.0,0.0,12695.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,17460,17092,49,53,259,7,94.0,121.0,2934.0,0.0,17460.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,18965,18643,32,40,245,5,93.0,110.0,3268.0,0.0,18965.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,13735,13385,28,46,271,5,92.0,78.0,1842.0,0.0,13735.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,12060,11756,23,28,251,2,95.0,119.0,1352.0,0.0,12060.0
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1397/12/12 00:00:00,1397/12/13 00:00:00,1375.0,10932,10659,29,39,202,3,95.0,121.0,1112.0,0.0,11655.0
