Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543505,رودبار - منجيل,1397/12/01 00:00:00,1397/12/02 00:00:00,1280.0,8823,5930,1153,577,270,893,67.0,9389.0,10.0,792.0,0.0
543505,رودبار - منجيل,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,9749,7020,1111,502,240,876,67.0,9749.0,15.0,882.0,0.0
543505,رودبار - منجيل,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,12457,10091,859,486,232,789,66.0,12457.0,16.0,2132.0,0.0
543505,رودبار - منجيل,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,11007,8040,1124,616,238,989,67.0,11007.0,10.0,1136.0,0.0
543505,رودبار - منجيل,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,13042,9734,1360,670,286,992,70.0,13042.0,37.0,1834.0,0.0
543505,رودبار - منجيل,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,9289,6330,1192,583,273,911,66.0,9289.0,6.0,781.0,0.0
543505,رودبار - منجيل,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,9659,6404,1258,675,291,1031,66.0,9659.0,9.0,846.0,0.0
543505,رودبار - منجيل,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,9684,6542,1193,699,259,991,67.0,9684.0,14.0,853.0,0.0
543505,رودبار - منجيل,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,9536,6637,1114,595,264,926,67.0,9536.0,9.0,852.0,0.0
543505,رودبار - منجيل,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,17496,14940,1064,444,207,841,69.0,17496.0,27.0,4649.0,0.0
543505,رودبار - منجيل,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,21193,17245,1509,760,415,1264,74.0,21193.0,79.0,4282.0,0.0
543505,رودبار - منجيل,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,18986,14509,1831,965,380,1301,73.0,18986.0,86.0,3373.0,0.0
543505,رودبار - منجيل,1397/12/13 00:00:00,1397/12/14 00:00:00,1425.0,14759,11275,1359,770,303,1052,71.0,14970.0,132.0,2167.0,0.0
543505,رودبار - منجيل,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,9521,6122,1301,754,284,1060,66.0,9521.0,7.0,838.0,0.0
543505,رودبار - منجيل,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,17955,13607,1738,1012,391,1207,71.0,17955.0,50.0,3582.0,0.0
543505,رودبار - منجيل,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,20244,15992,1811,825,441,1175,73.0,20261.0,60.0,4037.0,0.0
543505,رودبار - منجيل,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,26791,23225,1516,683,314,1053,65.0,26791.0,38.0,8769.0,0.0
543505,رودبار - منجيل,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,20680,16723,1582,825,394,1156,73.0,20680.0,61.0,4140.0,0.0
543505,رودبار - منجيل,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,19119,14661,1841,998,391,1228,73.0,19119.0,50.0,3335.0,0.0
543505,رودبار - منجيل,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,18256,13786,1812,1008,408,1242,73.0,18702.0,69.0,3178.0,0.0
543505,رودبار - منجيل,1397/12/21 00:00:00,1397/12/22 00:00:00,995.0,16059,11951,1671,1007,325,1105,72.0,19534.0,47.0,3243.0,0.0
543505,رودبار - منجيل,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,20500,15501,1999,1162,445,1393,73.0,20500.0,70.0,4134.0,0.0
543505,رودبار - منجيل,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,20395,15855,1909,1072,382,1177,73.0,20395.0,83.0,4114.0,0.0
543505,رودبار - منجيل,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,24968,20785,1801,879,324,1179,73.0,24968.0,68.0,6911.0,0.0
543505,رودبار - منجيل,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,22349,17677,1958,1057,398,1259,73.0,22349.0,82.0,4789.0,0.0
543505,رودبار - منجيل,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,21611,16806,1964,1101,408,1332,69.0,21611.0,71.0,4487.0,0.0
543505,رودبار - منجيل,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,20658,16413,1768,875,377,1225,71.0,20658.0,48.0,4162.0,0.0
543505,رودبار - منجيل,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,18943,15882,1343,612,268,838,71.0,19037.0,50.0,3383.0,0.0
543505,رودبار - منجيل,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,17361,15692,736,285,193,455,73.0,17361.0,49.0,2896.0,0.0
543505,رودبار - منجيل,1401/12/01 00:00:00,1401/12/02 00:00:00,1410.0,22884,16328,4041,722,111,1682,71.0,23655.0,833.0,2879.0,0.0
543505,رودبار - منجيل,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,21960,16405,3329,591,98,1537,70.0,22062.0,320.0,2429.0,0.0
543505,رودبار - منجيل,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,22913,14994,5319,814,111,1675,73.0,22913.0,1113.0,3170.0,0.0
543505,رودبار - منجيل,1401/12/04 00:00:00,1401/12/05 00:00:00,1410.0,22246,16128,3826,656,107,1529,71.0,22757.0,784.0,2814.0,0.0
543505,رودبار - منجيل,1401/12/05 00:00:00,1401/12/06 00:00:00,1395.0,29514,26497,1599,340,99,979,63.0,29961.0,45.0,3685.0,0.0
543505,رودبار - منجيل,1401/12/06 00:00:00,1401/12/07 00:00:00,1380.0,24285,19879,2255,532,125,1494,68.0,25241.0,80.0,2690.0,0.0
543505,رودبار - منجيل,1401/12/07 00:00:00,1401/12/08 00:00:00,1405.0,22017,16913,2701,683,107,1613,67.0,22793.0,157.0,2331.0,0.0
543505,رودبار - منجيل,1401/12/08 00:00:00,1401/12/09 00:00:00,1255.0,18400,13066,3146,718,96,1374,71.0,21635.0,592.0,2170.0,0.0
