Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544701,شلمان - املش,1397/12/01 00:00:00,1397/12/02 00:00:00,1300.0,5951,5626,271,29,18,7,40.0,6018.0,9.0,1150.0,1085.0
544701,شلمان - املش,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,6650,6405,201,27,9,8,38.0,6650.0,4.0,1442.0,77.0
544701,شلمان - املش,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,4852,4653,152,20,18,9,39.0,4852.0,6.0,804.0,139.0
544701,شلمان - املش,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,5626,5377,202,28,15,4,40.0,5655.0,8.0,1116.0,391.0
544701,شلمان - املش,1397/12/05 00:00:00,1397/12/05 05:55:00,355.0,138,118,16,4,0,0,42.0,5946.0,2.0,0.0,5.0
544701,شلمان - املش,1397/12/06 10:15:00,1397/12/07 00:00:00,825.0,4321,4091,183,32,6,9,43.0,5749.0,6.0,815.0,1630.0
544701,شلمان - املش,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,6217,5983,181,31,11,11,39.0,6217.0,7.0,1219.0,134.0
544701,شلمان - املش,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,5538,5277,203,29,15,14,39.0,5538.0,4.0,966.0,309.0
544701,شلمان - املش,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,5817,5534,229,31,18,5,41.0,5817.0,5.0,1058.0,1100.0
544701,شلمان - املش,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,4432,4193,196,26,6,11,43.0,4432.0,14.0,642.0,1295.0
544701,شلمان - املش,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,5556,5300,197,25,18,16,39.0,5556.0,3.0,1036.0,81.0
544701,شلمان - املش,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,5327,5080,187,27,17,16,39.0,5327.0,2.0,960.0,46.0
544701,شلمان - املش,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,5379,5114,210,32,13,10,38.0,5409.0,7.0,897.0,315.0
544701,شلمان - املش,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,5720,5511,168,21,15,5,39.0,5720.0,5.0,1066.0,58.0
544701,شلمان - املش,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,5558,5331,164,39,14,10,39.0,5558.0,3.0,1055.0,27.0
544701,شلمان - املش,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,5996,5772,175,27,15,7,39.0,6033.0,6.0,1136.0,257.0
544701,شلمان - املش,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,4097,3951,111,23,8,4,43.0,4123.0,10.0,517.0,1300.0
544701,شلمان - املش,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,5838,5598,192,23,12,13,40.0,5838.0,5.0,1151.0,834.0
544701,شلمان - املش,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,5865,5593,215,31,15,11,40.0,5865.0,8.0,1093.0,833.0
544701,شلمان - املش,1397/12/20 00:00:00,1397/12/21 00:00:00,1350.0,5195,4968,183,25,13,6,41.0,5750.0,9.0,940.0,1001.0
544701,شلمان - املش,1397/12/21 00:00:00,1397/12/22 00:00:00,885.0,4482,4294,147,26,9,6,40.0,5983.0,10.0,870.0,571.0
544701,شلمان - املش,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,6282,5989,235,38,10,10,39.0,6319.0,10.0,1217.0,1489.0
544701,شلمان - املش,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,6627,6354,210,42,11,10,41.0,6627.0,20.0,1294.0,2240.0
544701,شلمان - املش,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,5122,4949,129,25,17,2,41.0,5122.0,5.0,774.0,1226.0
544701,شلمان - املش,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,6380,6163,157,37,13,10,40.0,6380.0,9.0,1314.0,805.0
544701,شلمان - املش,1397/12/26 00:00:00,1397/12/27 00:00:00,1430.0,6261,5984,223,31,17,6,40.0,6316.0,8.0,1278.0,1040.0
544701,شلمان - املش,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,6778,6452,238,54,20,14,40.0,6778.0,10.0,1461.0,1615.0
544701,شلمان - املش,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,7590,7374,185,20,9,2,39.0,7630.0,8.0,1617.0,1573.0
544701,شلمان - املش,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,7201,6999,156,28,15,3,41.0,7201.0,13.0,1530.0,1703.0
544701,شلمان - املش,1401/12/01 00:00:00,1401/12/02 00:00:00,1435.0,6778,6662,87,13,3,13,32.0,6781.0,1.0,57.0,216.0
544701,شلمان - املش,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,7374,7238,105,15,3,13,32.0,7408.0,1.0,97.0,241.0
544701,شلمان - املش,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,7252,7110,107,13,4,18,33.0,7252.0,5.0,58.0,210.0
544701,شلمان - املش,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,7560,7425,107,11,3,14,33.0,7560.0,2.0,63.0,221.0
544701,شلمان - املش,1401/12/05 00:00:00,1401/12/06 00:00:00,1320.0,4669,4623,36,4,2,4,33.0,5100.0,1.0,23.0,127.0
544701,شلمان - املش,1401/12/06 00:00:00,1401/12/07 00:00:00,1405.0,7184,7079,81,10,4,10,33.0,7273.0,0.0,80.0,240.0
544701,شلمان - املش,1401/12/07 00:00:00,1401/12/08 00:00:00,1390.0,6403,6263,115,10,3,12,34.0,6717.0,4.0,82.0,214.0
544701,شلمان - املش,1401/12/08 00:00:00,1401/12/09 00:00:00,1290.0,5806,5668,114,11,5,8,33.0,6679.0,2.0,63.0,190.0
544701,شلمان - املش,1401/12/09 00:00:00,1401/12/10 00:00:00,1430.0,7108,6951,133,12,1,11,33.0,7180.0,0.0,111.0,194.0
544701,شلمان - املش,1401/12/10 00:00:00,1401/12/11 00:00:00,1400.0,7019,6846,144,11,3,15,33.0,7159.0,1.0,100.0,203.0
544701,شلمان - املش,1401/12/11 00:00:00,1401/12/12 00:00:00,1405.0,6964,6831,102,10,3,18,33.0,7231.0,0.0,79.0,216.0
544701,شلمان - املش,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,5801,5707,75,7,2,10,34.0,5801.0,5.0,59.0,156.0
544701,شلمان - املش,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,7041,6865,134,17,4,21,33.0,7041.0,1.0,85.0,208.0
544701,شلمان - املش,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,6787,6626,120,15,2,24,33.0,6787.0,3.0,71.0,242.0
544701,شلمان - املش,1401/12/15 00:00:00,1401/12/16 00:00:00,1355.0,6307,6165,110,11,2,19,33.0,6930.0,3.0,92.0,222.0
544701,شلمان - املش,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,7295,7134,132,11,5,13,33.0,7295.0,1.0,103.0,236.0
544701,شلمان - املش,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,6480,6322,129,10,2,17,34.0,6480.0,3.0,67.0,247.0
544701,شلمان - املش,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,7061,6915,112,15,7,12,34.0,7061.0,1.0,78.0,214.0
544701,شلمان - املش,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,6053,5963,65,8,4,13,34.0,6053.0,0.0,67.0,171.0
544701,شلمان - املش,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,6992,6836,114,18,3,21,34.0,6992.0,3.0,97.0,253.0
544701,شلمان - املش,1401/12/21 00:00:00,1401/12/22 00:00:00,1360.0,6341,6145,155,23,2,16,33.0,6922.0,3.0,79.0,225.0
544701,شلمان - املش,1401/12/22 00:00:00,1401/12/23 00:00:00,1390.0,6702,6559,103,21,5,14,33.0,6867.0,4.0,92.0,195.0
544701,شلمان - املش,1401/12/23 00:00:00,1401/12/24 00:00:00,1410.0,6945,6778,129,17,4,17,33.0,7078.0,3.0,88.0,234.0
544701,شلمان - املش,1401/12/24 00:00:00,1401/12/25 00:00:00,1435.0,7355,7196,127,17,2,13,33.0,7389.0,1.0,85.0,245.0
544701,شلمان - املش,1401/12/25 00:00:00,1401/12/26 00:00:00,1390.0,7362,7209,122,16,5,10,33.0,7696.0,1.0,102.0,240.0
544701,شلمان - املش,1401/12/26 00:00:00,1401/12/27 00:00:00,1400.0,6663,6567,63,12,8,13,33.0,6917.0,1.0,72.0,190.0
544701,شلمان - املش,1401/12/27 00:00:00,1401/12/28 00:00:00,1440.0,8364,8201,134,13,7,9,33.0,8364.0,3.0,110.0,274.0
544701,شلمان - املش,1401/12/28 00:00:00,1401/12/29 00:00:00,1250.0,8192,8080,79,15,4,14,33.0,8488.0,1.0,111.0,240.0
544701,شلمان - املش,1401/12/29 00:00:00,1402/01/01 00:00:00,1435.0,7649,7589,42,9,5,4,33.0,7669.0,0.0,87.0,222.0
544701,شلمان - املش,1396/01/28 16:45:00,1396/01/29 00:00:00,435.0,1695,1549,123,14,7,2,77.3,4836.0,98.0,276.0,452.0
544701,شلمان - املش,1396/01/29 00:00:00,1396/01/30 00:00:00,1442.0,5194,4881,260,31,12,10,76.42,5184.0,250.0,921.0,825.0
544701,شلمان - املش,1396/01/30 00:00:00,1396/01/31 00:00:00,1440.0,4936,4566,323,38,3,6,78.97,4936.0,359.0,856.0,1237.0
544701,شلمان - املش,1396/01/31 00:00:00,1396/02/01 00:00:00,1440.0,5300,4994,257,30,10,9,75.64,5300.0,291.0,955.0,966.0
544701,شلمان - املش,1395/01/01 00:00:00,1395/01/02 02:00:00,1470.0,4199,4164,28,6,1,0,68.49,,230.0,481.0,0.0
544701,شلمان - املش,1395/01/02 02:00:00,1395/01/03 00:00:00,1305.0,4131,4087,37,6,1,0,66.53,,127.0,508.0,0.0
544701,شلمان - املش,1395/01/03 00:00:00,1395/01/04 00:00:00,1425.0,5114,5054,53,7,0,0,66.58,,188.0,837.0,0.0
544701,شلمان - املش,1395/01/04 00:00:00,1395/01/05 00:00:00,1410.0,5032,4967,51,14,0,0,67.25,,183.0,859.0,0.0
544701,شلمان - املش,1395/01/05 00:00:00,1395/01/06 00:00:00,1440.0,5517,5451,53,12,1,0,69.02,,281.0,925.0,0.0
544701,شلمان - املش,1395/01/06 00:00:00,1395/01/07 00:00:00,1440.0,4991,4944,43,4,0,0,69.02,,247.0,834.0,0.0
544701,شلمان - املش,1395/01/07 00:00:00,1395/01/08 00:00:00,1425.0,5323,5231,76,14,2,0,69.95,,317.0,833.0,0.0
544701,شلمان - املش,1395/01/08 00:00:00,1395/01/09 00:00:00,1440.0,5082,5005,65,12,0,0,66.7,,171.0,716.0,0.0
544701,شلمان - املش,1395/01/09 00:00:00,1395/01/10 00:00:00,1440.0,4784,4694,69,19,2,0,67.89,,198.0,708.0,0.0
544701,شلمان - املش,1395/01/10 00:00:00,1395/01/11 00:00:00,1200.0,4591,4515,62,13,1,0,63.18,,148.0,740.0,0.0
544701,شلمان - املش,1395/01/11 00:00:00,1395/01/12 00:00:00,1440.0,5079,5007,61,10,1,0,70.22,,282.0,755.0,0.0
544701,شلمان - املش,1395/01/12 00:00:00,1395/01/13 00:00:00,1440.0,4542,4483,50,9,0,0,67.5,,144.0,537.0,0.0
544701,شلمان - املش,1395/01/13 00:00:00,1395/01/14 00:00:00,1440.0,3911,3872,34,4,1,0,67.69,,144.0,577.0,0.0
544701,شلمان - املش,1395/01/14 00:00:00,1395/01/15 00:00:00,1440.0,4814,4706,84,21,3,0,74.3,,402.0,606.0,0.0
544701,شلمان - املش,1395/01/15 00:00:00,1395/01/16 00:00:00,1425.0,3686,3566,90,26,3,1,73.69,,335.0,363.0,0.0
544701,شلمان - املش,1395/01/16 00:00:00,1395/01/17 00:00:00,1410.0,3536,3433,81,21,1,0,73.39,,263.0,334.0,0.0
544701,شلمان - املش,1395/01/17 00:00:00,1395/01/18 00:00:00,1425.0,3953,3852,75,26,0,0,73.65,,313.0,459.0,0.0
544701,شلمان - املش,1395/01/18 00:00:00,1395/01/19 00:00:00,1440.0,3518,3411,82,23,2,0,74.53,,346.0,374.0,0.0
544701,شلمان - املش,1395/01/19 00:00:00,1395/01/20 00:00:00,1440.0,3663,3569,79,12,3,0,75.0,,403.0,409.0,0.0
544701,شلمان - املش,1395/01/20 00:00:00,1395/01/21 00:00:00,1410.0,3239,3171,55,11,2,0,73.55,,323.0,342.0,0.0
