Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543152,رودسر - لنگرود,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,25105,23750,775,175,160,245,62.0,25416.0,85.0,6825.0,0.0
543152,رودسر - لنگرود,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,26959,25503,881,203,157,215,63.0,26959.0,120.0,7703.0,0.0
543152,رودسر - لنگرود,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,26643,25481,640,159,164,199,63.0,26643.0,115.0,7864.0,0.0
543152,رودسر - لنگرود,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,23676,22358,792,163,154,209,64.0,23676.0,108.0,5741.0,0.0
543152,رودسر - لنگرود,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,22682,21257,843,198,143,241,64.0,22682.0,92.0,5312.0,0.0
543152,رودسر - لنگرود,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,22384,20898,862,212,175,237,63.0,22384.0,73.0,5223.0,0.0
543152,رودسر - لنگرود,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,23080,21646,804,225,178,227,65.0,23080.0,109.0,5499.0,0.0
543152,رودسر - لنگرود,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,22864,21408,844,205,187,220,63.0,22864.0,52.0,5447.0,0.0
543152,رودسر - لنگرود,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,23567,22164,835,192,189,187,63.0,23567.0,86.0,5801.0,0.0
543152,رودسر - لنگرود,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,24972,23883,598,166,156,169,63.0,24972.0,79.0,6963.0,0.0
543152,رودسر - لنگرود,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,24181,22809,807,199,174,192,64.0,24181.0,89.0,5946.0,0.0
543152,رودسر - لنگرود,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,22681,21091,927,244,191,228,64.0,22681.0,79.0,5341.0,0.0
543152,رودسر - لنگرود,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,22092,20579,894,206,182,231,64.0,22227.0,100.0,5038.0,0.0
543152,رودسر - لنگرود,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,22100,20603,842,237,184,234,64.0,22100.0,94.0,5071.0,0.0
543152,رودسر - لنگرود,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,23133,21529,873,279,192,260,65.0,23133.0,87.0,5535.0,0.0
543152,رودسر - لنگرود,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,24714,23168,888,236,176,246,64.0,24733.0,63.0,6302.0,0.0
543152,رودسر - لنگرود,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,23202,22008,632,223,154,185,59.0,23202.0,32.0,5742.0,0.0
543152,رودسر - لنگرود,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,26024,24686,820,170,165,183,63.0,26024.0,70.0,7067.0,0.0
543152,رودسر - لنگرود,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,25312,23782,914,227,167,222,63.0,25312.0,79.0,6698.0,0.0
543152,رودسر - لنگرود,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,22601,21029,881,229,217,245,64.0,23265.0,98.0,5373.0,0.0
543152,رودسر - لنگرود,1397/12/21 00:00:00,1397/12/22 00:00:00,975.0,18319,16995,746,214,168,196,64.0,23167.0,58.0,4601.0,0.0
543152,رودسر - لنگرود,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,24573,22865,981,292,236,199,64.0,24573.0,115.0,6181.0,0.0
543152,رودسر - لنگرود,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,25487,23723,1039,282,229,214,63.0,25487.0,76.0,6842.0,0.0
543152,رودسر - لنگرود,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,25234,23742,849,216,192,235,62.0,25234.0,63.0,6933.0,0.0
543152,رودسر - لنگرود,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,25695,23994,1019,271,202,209,65.0,25695.0,102.0,6735.0,0.0
543152,رودسر - لنگرود,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,25949,24163,1082,276,213,215,62.0,25949.0,65.0,6909.0,0.0
543152,رودسر - لنگرود,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,27420,25914,907,192,214,193,61.0,27420.0,59.0,7652.0,0.0
543152,رودسر - لنگرود,1397/12/28 00:00:00,1397/12/29 00:00:00,1435.0,25480,24394,661,137,176,112,61.0,25616.0,47.0,6571.0,0.0
543152,رودسر - لنگرود,1397/12/29 00:00:00,1398/01/01 00:00:00,1440.0,24094,23420,376,84,153,61,62.0,24094.0,59.0,5713.0,0.0
543152,رودسر - لنگرود,1401/12/01 00:00:00,1401/12/02 00:00:00,1380.0,24534,23345,731,118,47,293,68.0,26185.0,67.0,1429.0,0.0
543152,رودسر - لنگرود,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,26076,24781,832,115,34,314,68.0,26205.0,84.0,1566.0,0.0
543152,رودسر - لنگرود,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,26823,25478,837,129,38,341,69.0,26823.0,157.0,1812.0,0.0
543152,رودسر - لنگرود,1401/12/04 00:00:00,1401/12/05 00:00:00,1400.0,26193,24866,857,131,32,307,67.0,27333.0,129.0,1584.0,0.0
543152,رودسر - لنگرود,1401/12/05 00:00:00,1401/12/06 00:00:00,1405.0,24048,22786,862,109,47,244,67.0,24239.0,235.0,1447.0,0.0
543152,رودسر - لنگرود,1401/12/06 00:00:00,1401/12/07 00:00:00,1400.0,28023,26743,797,151,29,303,68.0,28765.0,160.0,1864.0,0.0
543152,رودسر - لنگرود,1401/12/07 00:00:00,1401/12/08 00:00:00,1430.0,25551,24164,871,141,42,333,66.0,25852.0,65.0,1589.0,0.0
543152,رودسر - لنگرود,1401/12/08 00:00:00,1401/12/09 00:00:00,1210.0,21059,19919,729,86,29,296,67.0,26092.0,116.0,1101.0,0.0
543152,رودسر - لنگرود,1401/12/09 00:00:00,1401/12/10 00:00:00,1335.0,24402,23200,744,130,35,293,67.0,26451.0,38.0,1409.0,0.0
543152,رودسر - لنگرود,1401/12/10 00:00:00,1401/12/11 00:00:00,1345.0,24963,23052,1365,186,41,319,70.0,27244.0,626.0,1781.0,0.0
543152,رودسر - لنگرود,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,27822,26456,888,130,40,308,68.0,27822.0,56.0,1744.0,0.0
543152,رودسر - لنگرود,1401/12/12 00:00:00,1401/12/13 00:00:00,1400.0,26014,25035,602,100,37,240,69.0,27362.0,112.0,1633.0,0.0
543152,رودسر - لنگرود,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,26570,25295,806,125,33,311,69.0,26570.0,106.0,1700.0,0.0
543152,رودسر - لنگرود,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,26051,24723,834,121,35,338,68.0,26051.0,81.0,1606.0,0.0
543152,رودسر - لنگرود,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,26209,24881,798,123,47,360,69.0,26209.0,68.0,1651.0,0.0
543152,رودسر - لنگرود,1401/12/16 00:00:00,1401/12/17 00:00:00,1400.0,26229,25012,736,124,35,322,65.0,27389.0,52.0,1368.0,0.0
543152,رودسر - لنگرود,1401/12/17 00:00:00,1401/12/18 00:00:00,1400.0,24207,23012,721,118,35,321,65.0,24914.0,46.0,1158.0,0.0
543152,رودسر - لنگرود,1401/12/18 00:00:00,1401/12/19 00:00:00,1375.0,27376,26245,688,120,21,302,66.0,27952.0,46.0,1497.0,0.0
