Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543602,رودسر - کلاچاي,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,19362,18020,700,258,116,268,74.0,19687.0,28.0,3848.0,0.0
543602,رودسر - کلاچاي,1397/12/02 00:00:00,1397/12/03 00:00:00,1405.0,21166,19848,681,235,122,280,74.0,21838.0,37.0,4650.0,0.0
543602,رودسر - کلاچاي,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,19552,18469,461,232,125,265,74.0,19552.0,40.0,3964.0,0.0
543602,رودسر - کلاچاي,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,19053,17820,626,223,119,265,74.0,19053.0,38.0,3642.0,0.0
543602,رودسر - کلاچاي,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,18631,17251,750,259,103,268,75.0,18631.0,28.0,3407.0,0.0
543602,رودسر - کلاچاي,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,18789,17380,702,281,105,321,73.0,18789.0,35.0,3468.0,0.0
543602,رودسر - کلاچاي,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,19403,18024,685,299,118,277,74.0,19403.0,24.0,3783.0,0.0
543602,رودسر - کلاچاي,1397/12/08 00:00:00,1397/12/09 00:00:00,1435.0,19524,18221,679,259,102,263,74.0,19532.0,36.0,3798.0,0.0
543602,رودسر - کلاچاي,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,21140,19906,640,275,107,212,74.0,21140.0,20.0,4342.0,0.0
543602,رودسر - کلاچاي,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,17894,16825,509,231,95,234,74.0,17894.0,38.0,3286.0,0.0
543602,رودسر - کلاچاي,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,19213,17968,654,253,109,229,74.0,19213.0,29.0,3664.0,0.0
543602,رودسر - کلاچاي,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,19050,17531,788,332,121,278,74.0,19050.0,31.0,3657.0,0.0
543602,رودسر - کلاچاي,1397/12/13 00:00:00,1397/12/14 00:00:00,1440.0,18523,17109,697,296,130,291,74.0,18523.0,25.0,3365.0,0.0
543602,رودسر - کلاچاي,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,18743,17228,749,324,129,313,74.0,18743.0,36.0,3552.0,0.0
543602,رودسر - کلاچاي,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,20141,18600,759,324,133,325,74.0,20141.0,25.0,4088.0,0.0
543602,رودسر - کلاچاي,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,21989,20576,728,297,122,266,74.0,22004.0,38.0,4804.0,0.0
543602,رودسر - کلاچاي,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,16093,14970,525,247,115,236,71.0,16093.0,10.0,2488.0,0.0
543602,رودسر - کلاچاي,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,19540,18305,649,215,102,269,75.0,19540.0,35.0,3731.0,0.0
543602,رودسر - کلاچاي,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,19607,18181,774,299,93,260,74.0,19607.0,24.0,3807.0,0.0
543602,رودسر - کلاچاي,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,18886,17337,768,351,125,305,74.0,19493.0,33.0,3739.0,0.0
543602,رودسر - کلاچاي,1397/12/21 00:00:00,1397/12/22 00:00:00,985.0,15785,14675,538,229,119,224,74.0,19945.0,23.0,3171.0,0.0
543602,رودسر - کلاچاي,1397/12/22 00:00:00,1397/12/23 00:00:00,1440.0,20969,19333,856,323,139,318,74.0,20969.0,27.0,4371.0,0.0
543602,رودسر - کلاچاي,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,22735,21147,843,337,136,272,74.0,22735.0,28.0,4927.0,0.0
543602,رودسر - کلاچاي,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,19183,17836,637,304,139,267,72.0,19183.0,24.0,3307.0,0.0
543602,رودسر - کلاچاي,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,21850,20253,854,335,152,256,74.0,21850.0,34.0,4673.0,0.0
543602,رودسر - کلاچاي,1397/12/26 00:00:00,1397/12/27 00:00:00,1440.0,23031,21435,879,323,150,244,74.0,23031.0,39.0,5189.0,0.0
543602,رودسر - کلاچاي,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,23782,22466,743,237,136,200,72.0,23782.0,23.0,5419.0,0.0
