Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/01 00:00:00,1401/12/02 00:00:00,1380,24302,19331,2887,519,150,1415,65,40,3185,0,25461
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/02 00:00:00,1401/12/03 00:00:00,1160,16991,13496,2066,370,107,952,67,23,1920,0,22716
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/03 00:00:00,1401/12/04 00:00:00,1140,18594,14709,2357,403,123,1002,66,33,2527,0,25097
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/04 00:00:00,1401/12/05 00:00:00,725,10775,8765,1200,215,54,541,65,34,1376,0,25079
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/05 00:00:00,1401/12/06 00:00:00,850,15725,13993,903,216,99,514,62,15,2281,0,25896
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/06 00:00:00,1401/12/07 00:00:00,1245,22663,18285,2554,445,127,1252,67,52,3225,0,27058
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/07 00:00:00,1401/12/08 00:00:00,1370,23063,17870,3026,550,156,1461,67,70,3117,0,24834
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/08 00:00:00,1401/12/09 00:00:00,1135,17811,13932,2298,396,130,1055,68,44,2281,0,23980
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/09 00:00:00,1401/12/10 00:00:00,1360,22953,17813,3074,538,146,1382,68,49,3158,0,24886
543230,آزادراه رشت - قزوين (امامزاده هاشم),1401/12/10 00:00:00,1401/12/11 00:00:00,1115,19094,15340,2307,391,135,921,67,40,2596,0,25812
