Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543151,تقاطع سراوان - امامزاده هاشم,1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,20571,16426,2130,548,548,919,87.0,1543.0,4263.0,10.0,21380.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,22760,18932,1956,499,492,881,88.0,1852.0,5117.0,10.0,22760.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,29532,26595,1314,418,465,740,88.0,1991.0,9709.0,14.0,29532.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,24261,20017,2167,574,554,949,89.0,2146.0,5489.0,9.0,24408.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/05 00:00:00,1397/12/06 00:00:00,1430.0,21585,17170,2266,661,530,958,88.0,1728.0,4518.0,6.0,21697.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/06 00:00:00,1397/12/07 00:00:00,1430.0,20903,16325,2494,603,574,907,85.0,1288.0,4071.0,0.0,21078.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,22045,17409,2410,659,597,970,87.0,1720.0,4643.0,3.0,22045.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,22372,17680,2427,668,615,982,85.0,1409.0,4660.0,9.0,22372.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,22531,18291,2165,572,580,923,85.0,1211.0,5064.0,9.0,22531.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,28508,25680,1306,391,416,715,87.0,1292.0,9111.0,8.0,28508.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,24053,19568,2247,568,626,1044,88.0,1941.0,5370.0,12.0,24053.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/12 00:00:00,1397/12/13 00:00:00,1435.0,21975,17196,2403,785,545,1046,87.0,1494.0,4646.0,14.0,22090.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/13 00:00:00,1397/12/14 00:00:00,1430.0,21138,16452,2317,775,546,1048,88.0,1772.0,4315.0,10.0,21361.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,21677,16690,2465,808,587,1127,87.0,1773.0,4371.0,12.0,21677.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,23194,18229,2463,823,602,1077,87.0,1861.0,5289.0,11.0,23194.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,24228,19644,2372,626,610,976,86.0,1559.0,6102.0,18.0,24349.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/17 00:00:00,1397/12/18 00:00:00,1360.0,26404,23456,1288,507,403,750,75.0,135.0,7911.0,30.0,26948.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,23326,18818,2359,636,533,980,86.0,1346.0,5152.0,16.0,23326.0
543151,تقاطع سراوان - امامزاده هاشم,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,22352,17555,2482,749,558,1008,87.0,1652.0,4666.0,7.0,22352.0
