Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543269,تقاطع سراوان - رشت,1397/12/01 00:00:00,1397/12/02 00:00:00,1305,14915,12712,980,478,93,652,89,389,2130,0,15262
543269,تقاطع سراوان - رشت,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,16951,14892,891,447,98,623,88,422,2850,0,16951
543269,تقاطع سراوان - رشت,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,17776,16523,498,253,71,431,89,392,3078,0,17776
543269,تقاطع سراوان - رشت,1397/12/04 00:00:00,1397/12/05 00:00:00,1435,16180,13964,1005,436,83,692,89,463,2295,0,16258
543269,تقاطع سراوان - رشت,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,14758,12641,1005,442,102,568,89,399,1844,0,14758
543269,تقاطع سراوان - رشت,1397/12/06 00:00:00,1397/12/07 00:00:00,1420,14248,11941,1030,542,102,633,86,257,1847,0,14507
543269,تقاطع سراوان - رشت,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,15800,13437,1099,531,113,620,88,411,2229,0,15800
543269,تقاطع سراوان - رشت,1397/12/08 00:00:00,1397/12/09 00:00:00,1440,15530,13274,1031,502,114,609,85,273,2181,0,15530
543269,تقاطع سراوان - رشت,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,15979,13811,951,494,109,614,85,242,2455,0,15979
543269,تقاطع سراوان - رشت,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,15895,14792,416,238,66,383,88,283,2599,0,15895
543269,تقاطع سراوان - رشت,1397/12/11 00:00:00,1397/12/12 00:00:00,1440,16361,13927,1048,528,118,740,88,346,2366,0,16361
543269,تقاطع سراوان - رشت,1397/12/12 00:00:00,1397/12/13 00:00:00,1440,15233,12779,1022,602,119,711,87,311,2150,0,15233
543269,تقاطع سراوان - رشت,1397/12/13 00:00:00,1397/12/14 00:00:00,1430,14638,12323,1021,550,126,618,88,385,2002,0,14725
543269,تقاطع سراوان - رشت,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,15128,12664,1099,576,116,673,88,365,2139,0,15128
543269,تقاطع سراوان - رشت,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,16252,13727,1089,588,142,706,88,369,2484,0,16252
543269,تقاطع سراوان - رشت,1397/12/16 00:00:00,1397/12/16 22:55:00,1370,17189,14927,981,524,125,632,87,328,2958,0,17720
543269,تقاطع سراوان - رشت,1397/12/17 00:15:00,1397/12/18 00:00:00,1355,14531,13308,464,260,69,430,79,28,2037,0,14820
543269,تقاطع سراوان - رشت,1397/12/18 00:00:00,1397/12/19 00:00:00,1440,15762,13395,1035,561,125,646,87,311,2135,0,15762
543269,تقاطع سراوان - رشت,1397/12/19 00:00:00,1397/12/20 00:00:00,1440,15679,13206,1067,594,142,670,88,343,2253,0,15679
