Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544358,سراوان - فومن (فومن),1401/12/01 00:00:00,1401/12/02 00:00:00,1435,9659,7581,1239,299,43,497,81,696,442,0,9670
544358,سراوان - فومن (فومن),1401/12/02 00:00:00,1401/12/03 00:00:00,1415,9592,7309,1325,391,40,527,82,733,417,0,9795
544358,سراوان - فومن (فومن),1401/12/03 00:00:00,1401/12/04 00:00:00,1345,9450,7662,1078,246,42,422,80,624,356,0,10372
544358,سراوان - فومن (فومن),1401/12/04 00:00:00,1401/12/05 00:00:00,1365,10212,8375,1072,244,37,484,79,585,408,0,10957
544358,سراوان - فومن (فومن),1401/12/05 00:30:00,1401/12/06 00:00:00,1190,6382,5428,512,121,33,288,69,91,283,0,8172
544358,سراوان - فومن (فومن),1401/12/06 00:00:00,1401/12/07 00:00:00,1395,8814,6943,1077,267,46,481,81,594,415,0,9006
544358,سراوان - فومن (فومن),1401/12/07 00:00:00,1401/12/08 00:00:00,1410,8927,7111,1097,240,50,429,78,464,365,0,9215
544358,سراوان - فومن (فومن),1401/12/08 00:00:00,1401/12/09 00:00:00,1270,8121,6397,1069,208,34,413,77,387,333,0,9356
544358,سراوان - فومن (فومن),1401/12/09 00:00:00,1401/12/10 00:00:00,1255,8033,6394,938,246,43,412,78,431,310,0,9570
544358,سراوان - فومن (فومن),1401/12/10 00:00:00,1401/12/11 00:00:00,1395,10271,8392,1142,260,39,438,78,509,508,0,10490
544358,سراوان - فومن (فومن),1401/12/11 00:00:00,1401/12/12 00:00:00,1440,11214,9314,1066,293,33,508,80,816,551,0,11214
544358,سراوان - فومن (فومن),1401/12/12 00:00:00,1401/12/13 00:00:00,1425,8439,7025,758,148,34,474,82,616,315,0,8471
544358,سراوان - فومن (فومن),1401/12/13 00:00:00,1401/12/14 00:00:00,1420,8996,7197,1045,242,38,474,79,474,323,0,9124
544358,سراوان - فومن (فومن),1401/12/14 00:00:00,1401/12/15 00:00:00,1410,9408,7343,1200,305,41,519,79,505,382,0,9677
544358,سراوان - فومن (فومن),1401/12/15 00:00:00,1401/12/16 00:00:00,1375,9647,7546,1200,316,40,545,79,514,358,0,10122
544358,سراوان - فومن (فومن),1401/12/16 00:00:00,1401/12/17 00:00:00,1380,10956,9030,1088,330,42,466,81,711,518,0,11695
544358,سراوان - فومن (فومن),1401/12/17 00:00:00,1401/12/18 00:00:00,1365,11315,9508,980,218,31,578,83,837,544,0,12171
544358,سراوان - فومن (فومن),1401/12/18 00:00:00,1401/12/19 00:00:00,1440,9967,8225,966,265,40,471,79,479,319,0,9967
544358,سراوان - فومن (فومن),1401/12/19 00:00:00,1401/12/20 00:00:00,1440,8717,7354,770,160,40,393,83,682,291,0,8717
544358,سراوان - فومن (فومن),1401/12/20 00:00:00,1401/12/21 00:00:00,1440,9475,7693,1042,251,42,447,79,462,309,0,9475
544358,سراوان - فومن (فومن),1401/12/21 00:00:00,1401/12/22 00:00:00,1360,9166,7297,1126,232,40,471,79,453,359,0,9998
544358,سراوان - فومن (فومن),1401/12/22 00:00:00,1401/12/23 00:00:00,1340,9956,7890,1253,292,41,480,80,687,433,0,10600
544358,سراوان - فومن (فومن),1401/12/23 00:00:00,1401/12/24 00:00:00,1395,9969,8269,1110,212,49,329,83,743,531,0,10261
544358,سراوان - فومن (فومن),1401/12/24 00:00:00,1401/12/25 00:00:00,1405,10971,8793,1271,319,36,552,83,856,571,0,11355
544358,سراوان - فومن (فومن),1401/12/25 00:00:00,1401/12/26 00:00:00,1335,12009,10087,1151,260,48,463,83,801,687,0,13395
544358,سراوان - فومن (فومن),1401/12/26 00:00:00,1401/12/27 00:00:00,1275,11178,9473,1000,210,47,448,86,1083,646,0,13250
