Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
544352,سراوان - فومن,1397/12/01 00:00:00,1397/12/02 00:00:00,1295.0,7816,5500,1121,262,206,727,72.0,8122.0,779.0,1881.0,44.0
544352,سراوان - فومن,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,8136,6030,1010,230,184,682,75.0,8136.0,1018.0,2019.0,64.0
544352,سراوان - فومن,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,9169,7537,731,193,147,561,77.0,9169.0,1323.0,2798.0,32.0
544352,سراوان - فومن,1397/12/04 00:00:00,1397/12/05 00:00:00,1430.0,8763,6455,1096,305,199,708,74.0,8818.0,1090.0,2287.0,37.0
544352,سراوان - فومن,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,8382,5900,1194,325,218,745,73.0,8382.0,977.0,1959.0,35.0
544352,سراوان - فومن,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,8202,5615,1287,328,229,743,71.0,8202.0,752.0,1909.0,54.0
544352,سراوان - فومن,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,8654,6005,1331,327,248,743,73.0,8654.0,955.0,2183.0,45.0
544352,سراوان - فومن,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,8517,5885,1314,338,229,751,70.0,8517.0,766.0,2105.0,61.0
544352,سراوان - فومن,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,8023,5660,1222,290,224,627,70.0,8023.0,667.0,2019.0,64.0
544352,سراوان - فومن,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,8766,7086,759,237,145,539,76.0,8766.0,1236.0,2511.0,35.0
544352,سراوان - فومن,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,8917,6428,1240,254,243,752,73.0,8917.0,1047.0,2265.0,41.0
544352,سراوان - فومن,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,8675,5980,1386,360,221,728,73.0,8675.0,975.0,2110.0,41.0
544352,سراوان - فومن,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,8182,5682,1222,339,209,730,73.0,8229.0,927.0,1956.0,46.0
544352,سراوان - فومن,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,8482,5846,1272,338,268,758,74.0,8482.0,1081.0,2106.0,51.0
544352,سراوان - فومن,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,8903,6246,1316,347,274,720,73.0,8903.0,1058.0,2417.0,63.0
544352,سراوان - فومن,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,8538,6150,1155,276,247,710,72.0,8583.0,962.0,2268.0,65.0
544352,سراوان - فومن,1397/12/17 00:00:00,1397/12/18 00:00:00,1430.0,8326,6413,737,239,187,750,68.0,8387.0,332.0,2315.0,27.0
544352,سراوان - فومن,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,8596,6103,1184,321,217,771,73.0,8596.0,946.0,2162.0,42.0
544352,سراوان - فومن,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,8636,5977,1354,338,233,734,74.0,8636.0,1120.0,2090.0,38.0
544352,سراوان - فومن,1397/12/20 00:00:00,1397/12/21 00:00:00,1410.0,8353,5820,1282,331,220,700,74.0,8588.0,976.0,2097.0,49.0
544352,سراوان - فومن,1397/12/21 00:00:00,1397/12/22 00:00:00,880.0,6578,4525,1023,288,152,590,72.0,8696.0,618.0,1727.0,32.0
544352,سراوان - فومن,1397/12/22 00:00:00,1397/12/23 00:00:00,1435.0,9169,6376,1417,358,221,797,73.0,9218.0,1076.0,2326.0,57.0
544352,سراوان - فومن,1397/12/23 00:00:00,1397/12/24 00:00:00,1440.0,8718,6290,1253,294,226,655,73.0,8718.0,969.0,2230.0,76.0
544352,سراوان - فومن,1397/12/24 00:00:00,1397/12/25 00:00:00,1440.0,8523,6426,921,313,166,697,72.0,8523.0,744.0,2224.0,53.0
544352,سراوان - فومن,1397/12/25 00:00:00,1397/12/26 00:00:00,1440.0,9485,6658,1429,361,214,823,72.0,9485.0,1009.0,2544.0,65.0
544352,سراوان - فومن,1397/12/26 00:00:00,1397/12/27 00:00:00,1435.0,8908,6285,1340,330,217,736,70.0,8944.0,775.0,2278.0,79.0
544352,سراوان - فومن,1397/12/27 00:00:00,1397/12/28 00:00:00,1440.0,8570,6387,1120,249,183,631,71.0,8570.0,725.0,2181.0,69.0
