Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543233,سنگر- رشت,1401/12/01 00:00:00,1401/12/02 00:00:00,1420,9992,9531,300,53,21,87,59,108,1214,70,10149
543233,سنگر- رشت,1401/12/02 00:00:00,1401/12/03 00:00:00,1420,10092,9599,291,71,33,98,59,103,1305,77,10311
543233,سنگر- رشت,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,10339,9816,356,54,26,87,60,127,1248,70,10339
543233,سنگر- رشت,1401/12/04 00:00:00,1401/12/05 00:00:00,1375,9122,8703,259,47,25,88,58,85,1028,79,9564
543233,سنگر- رشت,1401/12/05 00:00:00,1401/12/06 00:00:00,1295,6184,5985,128,31,15,25,56,34,393,39,7360
543233,سنگر- رشت,1401/12/06 00:00:00,1401/12/07 00:00:00,1430,10351,9856,293,78,32,92,60,89,1419,80,10406
543233,سنگر- رشت,1401/12/07 00:00:00,1401/12/08 00:00:00,1420,9926,9422,297,71,29,107,61,105,1452,60,10140
543233,سنگر- رشت,1401/12/08 00:00:00,1401/12/09 00:00:00,1250,8642,8213,267,68,25,69,60,74,1199,58,10003
543233,سنگر- رشت,1401/12/09 00:00:00,1401/12/10 00:00:00,1340,9169,8734,290,58,25,62,61,103,1173,51,10075
543233,سنگر- رشت,1401/12/10 00:00:00,1401/12/11 00:00:00,1410,10203,9716,304,65,28,90,61,125,1366,132,10416
543233,سنگر- رشت,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,9729,9283,281,56,25,84,60,90,1241,66,9729
543233,سنگر- رشت,1401/12/12 00:00:00,1401/12/13 00:00:00,1435,8295,2338,5725,96,10,126,73,860,1341,56,8311
543233,سنگر- رشت,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,10419,9686,519,62,30,122,60,127,1516,76,10419
543233,سنگر- رشت,1401/12/14 00:00:00,1401/12/15 00:00:00,1430,10201,9663,347,64,24,103,61,124,1384,88,10261
543233,سنگر- رشت,1401/12/15 00:00:00,1401/12/16 00:00:00,1425,10332,9408,646,122,33,123,61,209,1415,89,10483
543233,سنگر- رشت,1401/12/16 00:00:00,1401/12/17 00:00:00,1160,7963,7535,269,62,26,71,59,46,985,59,10371
543233,سنگر- رشت,1401/12/17 00:00:00,1401/12/18 00:00:00,1420,8191,7799,242,67,23,60,60,95,846,42,8385
543233,سنگر- رشت,1401/12/18 00:00:00,1401/12/19 00:00:00,1440,8964,8579,243,55,27,60,58,39,821,58,8964
543233,سنگر- رشت,1401/12/19 00:00:00,1401/12/20 00:00:00,1440,8448,8156,156,47,25,64,60,129,885,147,8448
543233,سنگر- رشت,1401/12/20 00:00:00,1401/12/21 00:00:00,1295,9343,8462,633,126,24,98,62,255,1361,92,10566
543233,سنگر- رشت,1401/12/21 00:00:00,1401/12/22 00:00:00,1310,9294,8500,588,89,24,93,62,208,1277,126,10504
543233,سنگر- رشت,1401/12/22 00:00:00,1401/12/23 00:00:00,1320,10046,9019,751,133,25,118,63,297,1458,138,10843
543233,سنگر- رشت,1401/12/23 00:00:00,1401/12/24 00:00:00,1410,9774,9201,365,86,24,98,61,119,1265,100,9951
543233,سنگر- رشت,1401/12/24 00:00:00,1401/12/25 00:00:00,1425,10389,9813,336,111,27,102,60,88,1412,78,10540
543233,سنگر- رشت,1401/12/25 00:00:00,1401/12/26 00:00:00,1370,9521,9045,269,71,30,106,60,72,1209,71,10218
543233,سنگر- رشت,1401/12/26 00:00:00,1401/12/27 00:00:00,1390,8515,8158,200,48,24,85,61,93,959,59,9007
543233,سنگر- رشت,1401/12/27 00:00:00,1401/12/28 00:00:00,1295,9566,9099,315,53,16,83,62,96,1357,97,11100
543233,سنگر- رشت,1401/12/28 00:00:00,1401/12/29 00:00:00,1245,10142,9660,267,92,30,93,59,81,1243,60,10449
543233,سنگر- رشت,1401/12/29 00:00:00,1402/01/01 00:00:00,1440,9007,8697,181,42,29,58,58,66,935,46,9007
543233,سنگر- رشت,1402/01/01 00:00:00,1402/01/02 00:00:00,1405,7358,7189,91,30,21,27,56,48,589,34,7586
543233,سنگر- رشت,1402/01/02 01:05:00,1402/01/03 00:00:00,1370,7728,7511,115,39,24,39,57,31,670,48,8041
543233,سنگر- رشت,1402/01/03 00:00:00,1402/01/04 00:00:00,1380,9394,9128,142,42,27,55,60,110,1134,95,10172
543233,سنگر- رشت,1402/01/04 00:00:00,1402/01/05 00:00:00,1310,9578,9301,142,44,30,61,60,89,1147,87,11033
543233,سنگر- رشت,1402/01/05 00:00:00,1402/01/06 00:00:00,1335,11970,11571,238,54,32,75,59,71,1649,151,13198
543233,سنگر- رشت,1402/01/06 00:00:00,1402/01/07 00:00:00,1055,9419,9103,180,32,25,79,59,64,1286,136,12354
543233,سنگر- رشت,1402/01/07 00:00:00,1402/01/07 23:35:00,1125,9795,9349,266,43,34,103,57,55,1425,102,12592
543233,سنگر- رشت,1402/01/08 00:10:00,1402/01/09 00:00:00,1275,10544,10022,310,75,29,108,61,107,1380,106,12324
543233,سنگر- رشت,1402/01/09 00:00:00,1402/01/10 00:00:00,1215,9938,8890,816,96,20,116,61,182,1419,116,12143
543233,سنگر- رشت,1402/01/10 00:00:00,1402/01/10 23:55:00,1085,8353,7479,704,62,22,86,62,170,1094,92,11790
543233,سنگر- رشت,1402/01/11 00:00:00,1402/01/12 00:00:00,435,1699,1666,20,3,1,9,58,6,97,7,8736
543233,سنگر- رشت,1402/01/12 00:00:00,1402/01/12 23:40:00,1185,8779,8453,178,60,22,66,59,36,976,50,10213
