Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543222,سنگر - سياهکل,1397/12/01 00:00:00,1397/12/02 00:00:00,1300,6994,5881,557,270,88,198,71,671,2317,52,7284
543222,سنگر - سياهکل,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,8406,7231,635,253,95,192,71,774,2784,55,8406
543222,سنگر - سياهکل,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,6383,5531,416,209,77,150,69,477,1938,92,6383
543222,سنگر - سياهکل,1397/12/04 00:00:00,1397/12/05 00:00:00,1435,6032,5019,535,235,78,165,66,291,1636,68,6038
543222,سنگر - سياهکل,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,6168,4896,640,308,98,226,66,297,1628,57,6168
543222,سنگر - سياهکل,1397/12/06 00:00:00,1397/12/07 00:00:00,1440,6114,4854,656,304,95,205,64,238,1659,70,6114
543222,سنگر - سياهکل,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,6734,5384,735,311,106,198,65,335,1935,89,6734
543222,سنگر - سياهکل,1397/12/08 00:00:00,1397/12/09 00:00:00,1440,7662,6420,690,275,90,187,63,296,2366,74,7662
543222,سنگر - سياهکل,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,8381,7162,685,282,93,159,64,325,2817,64,8381
543222,سنگر - سياهکل,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,6101,5225,443,233,67,133,67,375,1779,92,6101
543222,سنگر - سياهکل,1397/12/11 00:00:00,1397/12/12 00:00:00,1440,6135,5032,598,244,84,177,66,306,1720,58,6135
543222,سنگر - سياهکل,1397/12/12 00:00:00,1397/12/13 00:00:00,1440,6346,4873,772,371,109,221,64,274,1831,68,6346
543222,سنگر - سياهکل,1397/12/13 00:00:00,1397/12/14 00:00:00,1435,6084,4740,726,320,102,196,64,246,1725,56,6118
543222,سنگر - سياهکل,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,6604,5201,747,334,108,214,65,278,1955,71,6604
543222,سنگر - سياهکل,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,8010,6531,825,327,122,205,64,360,2758,59,8010
543222,سنگر - سياهکل,1397/12/16 00:00:00,1397/12/17 00:00:00,1435,8748,7376,731,329,105,207,62,306,3105,62,8757
