Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
543153,سنگر - کوچصفهان,1397/12/01 00:00:00,1397/12/02 00:00:00,1305.0,6128,5525,324,92,80,107,72.0,6305.0,471.0,1290.0,36.0
543153,سنگر - کوچصفهان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440.0,6710,6104,327,84,74,121,72.0,6710.0,532.0,1433.0,43.0
543153,سنگر - کوچصفهان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440.0,5196,4773,170,72,72,109,72.0,5196.0,399.0,960.0,15.0
543153,سنگر - کوچصفهان,1397/12/04 00:00:00,1397/12/05 00:00:00,1440.0,5335,4756,322,77,71,109,73.0,5335.0,470.0,965.0,29.0
543153,سنگر - کوچصفهان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440.0,5295,4733,292,82,76,112,73.0,5295.0,436.0,970.0,23.0
543153,سنگر - کوچصفهان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440.0,5505,4785,406,108,61,145,71.0,5505.0,423.0,984.0,39.0
543153,سنگر - کوچصفهان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440.0,5883,5212,374,102,75,120,73.0,5883.0,520.0,1180.0,30.0
543153,سنگر - کوچصفهان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440.0,6258,5611,334,98,85,130,69.0,6258.0,443.0,1356.0,41.0
543153,سنگر - کوچصفهان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440.0,6293,5696,340,79,84,94,70.0,6293.0,419.0,1248.0,30.0
543153,سنگر - کوچصفهان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440.0,4883,4428,205,80,55,115,71.0,4883.0,353.0,855.0,16.0
543153,سنگر - کوچصفهان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440.0,5377,4744,340,92,82,119,72.0,5377.0,466.0,987.0,22.0
543153,سنگر - کوچصفهان,1397/12/12 00:00:00,1397/12/13 00:00:00,1440.0,5797,5116,363,105,86,127,72.0,5797.0,460.0,1189.0,38.0
543153,سنگر - کوچصفهان,1397/12/13 00:00:00,1397/12/14 00:00:00,1435.0,5211,4538,349,100,75,149,72.0,5239.0,441.0,974.0,34.0
543153,سنگر - کوچصفهان,1397/12/14 00:00:00,1397/12/15 00:00:00,1440.0,5358,4662,346,111,84,155,73.0,5358.0,473.0,1017.0,27.0
543153,سنگر - کوچصفهان,1397/12/15 00:00:00,1397/12/16 00:00:00,1440.0,6888,6103,395,122,106,162,71.0,6888.0,503.0,1645.0,44.0
543153,سنگر - کوچصفهان,1397/12/16 00:00:00,1397/12/17 00:00:00,1435.0,6680,6028,377,89,76,110,67.0,6686.0,400.0,1579.0,30.0
543153,سنگر - کوچصفهان,1397/12/17 00:00:00,1397/12/18 00:00:00,1440.0,4764,4268,225,97,59,115,65.0,4764.0,118.0,796.0,19.0
543153,سنگر - کوچصفهان,1397/12/18 00:00:00,1397/12/19 00:00:00,1440.0,5592,4908,374,108,69,133,72.0,5592.0,486.0,1075.0,39.0
543153,سنگر - کوچصفهان,1397/12/19 00:00:00,1397/12/20 00:00:00,1440.0,6067,5390,366,116,74,121,72.0,6067.0,460.0,1233.0,28.0
