Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544601,سياهکل - ديلمان,1397/12/01 00:00:00,1397/12/02 00:00:00,1440,523,408,61,40,3,11,50,0,19,13,530
544601,سياهکل - ديلمان,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,789,623,73,65,2,26,55,0,33,27,798
544601,سياهکل - ديلمان,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,1008,873,61,42,0,32,53,0,84,42,1008
544601,سياهکل - ديلمان,1397/12/04 00:00:00,1397/12/05 00:00:00,1430,654,486,69,66,9,24,57,0,23,20,658
544601,سياهکل - ديلمان,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,574,413,74,63,4,20,57,0,20,19,576
544601,سياهکل - ديلمان,1397/12/06 00:00:00,1397/12/07 00:00:00,1440,565,408,70,63,2,22,56,0,18,11,570
544601,سياهکل - ديلمان,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,677,504,76,68,2,27,57,0,16,13,677
544601,سياهکل - ديلمان,1397/12/08 00:00:00,1397/12/09 00:00:00,1440,610,459,70,54,4,23,56,0,25,6,610
544601,سياهکل - ديلمان,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,672,511,65,67,2,27,56,0,28,13,672
544601,سياهکل - ديلمان,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,663,565,46,47,0,5,50,0,44,17,689
544601,سياهکل - ديلمان,1397/12/11 00:00:00,1397/12/12 00:00:00,1440,648,485,69,65,3,26,57,0,27,9,654
544601,سياهکل - ديلمان,1397/12/12 00:00:00,1397/12/13 00:00:00,1440,599,438,78,61,1,21,53,0,33,21,599
544601,سياهکل - ديلمان,1397/12/13 00:00:00,1397/12/14 00:00:00,1440,704,534,78,62,6,24,57,0,34,29,711
544601,سياهکل - ديلمان,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,728,552,84,66,2,24,58,0,33,26,733
544601,سياهکل - ديلمان,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,802,596,104,71,5,26,57,0,30,15,802
544601,سياهکل - ديلمان,1397/12/16 00:00:00,1397/12/17 00:00:00,1435,861,700,78,58,2,23,55,0,53,23,864
544601,سياهکل - ديلمان,1397/12/17 00:00:00,1397/12/18 00:00:00,1435,403,375,21,5,2,0,41,0,15,33,601
544601,سياهکل - ديلمان,1397/12/18 00:00:00,1397/12/19 00:00:00,1370,370,294,47,25,0,4,45,0,12,8,375
544601,سياهکل - ديلمان,1397/12/19 00:00:00,1397/12/20 00:00:00,1425,554,392,71,58,3,30,52,0,11,12,566
544601,سياهکل - ديلمان,1397/12/20 00:00:00,1397/12/21 00:00:00,1410,658,485,87,56,6,24,53,0,28,16,671
544601,سياهکل - ديلمان,1397/12/21 00:00:00,1397/12/22 00:00:00,965,543,417,67,41,2,16,54,0,22,22,747
544601,سياهکل - ديلمان,1397/12/22 00:00:00,1397/12/23 00:00:00,1440,758,577,86,69,4,22,56,0,22,20,767
544601,سياهکل - ديلمان,1397/12/23 00:00:00,1397/12/24 00:00:00,1440,900,719,83,62,5,31,54,0,87,38,900
544601,سياهکل - ديلمان,1397/12/24 00:00:00,1397/12/25 00:00:00,1360,629,507,54,44,2,22,53,0,27,29,706
544601,سياهکل - ديلمان,1397/12/25 00:00:00,1397/12/26 00:00:00,1440,744,557,81,70,8,28,56,0,24,16,750
544601,سياهکل - ديلمان,1397/12/26 00:00:00,1397/12/27 00:00:00,1430,741,569,84,59,4,25,54,0,26,24,746
544601,سياهکل - ديلمان,1397/12/27 00:00:00,1397/12/28 00:00:00,1440,609,515,54,29,1,10,49,0,28,32,624
544601,سياهکل - ديلمان,1397/12/28 00:00:00,1397/12/29 00:00:00,1435,918,809,60,39,1,9,53,0,58,20,931
544601,سياهکل - ديلمان,1397/12/29 00:00:00,1398/01/01 00:00:00,1440,1093,1047,36,9,0,1,52,0,109,37,1093
544601,سياهکل - ديلمان,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,1208,940,173,36,0,59,61,30,52,172,1227
544601,سياهکل - ديلمان,1401/12/02 00:00:00,1401/12/03 00:00:00,1325,1138,899,167,29,0,43,56,10,36,197,1167
544601,سياهکل - ديلمان,1401/12/03 00:00:00,1401/12/04 00:00:00,1440,1231,973,174,36,0,48,59,18,42,219,1237
544601,سياهکل - ديلمان,1401/12/04 00:00:00,1401/12/05 00:00:00,1315,1238,1143,77,13,0,5,59,8,38,163,1325
544601,سياهکل - ديلمان,1401/12/05 00:00:00,1401/12/06 00:00:00,1390,1318,571,665,63,11,8,66,83,113,64,1331
544601,سياهکل - ديلمان,1401/12/06 00:00:00,1401/12/07 00:00:00,1435,1026,770,187,30,0,39,60,40,26,166,1032
544601,سياهکل - ديلمان,1401/12/07 00:00:00,1401/12/08 00:00:00,1440,1072,808,173,36,1,54,60,16,26,203,1072
544601,سياهکل - ديلمان,1401/12/08 00:00:00,1401/12/09 00:00:00,1315,1035,754,199,31,1,50,60,26,31,172,1198
544601,سياهکل - ديلمان,1401/12/09 00:00:00,1401/12/10 00:00:00,1405,1168,840,233,41,0,54,59,14,39,200,1220
544601,سياهکل - ديلمان,1401/12/10 00:00:00,1401/12/11 00:00:00,1415,1290,1007,192,41,0,50,58,13,40,225,1306
544601,سياهکل - ديلمان,1401/12/11 00:00:00,1401/12/12 00:00:00,1440,1380,1322,42,13,0,3,55,0,39,210,1380
544601,سياهکل - ديلمان,1401/12/12 00:00:00,1401/12/13 00:00:00,1420,1735,1673,51,2,0,9,56,3,75,151,1806
