Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543272,سياهکل - سنگر,1397/12/01 00:00:00,1397/12/02 00:00:00,1300,5938,4903,534,243,85,173,59,71,872,150,6059
543272,سياهکل - سنگر,1397/12/02 00:00:00,1397/12/03 00:00:00,1440,6548,5549,566,221,66,146,59,87,1046,170,6548
543272,سياهکل - سنگر,1397/12/03 00:00:00,1397/12/04 00:00:00,1440,9374,8557,428,198,69,122,60,106,2238,110,9374
543272,سياهکل - سنگر,1397/12/04 00:00:00,1397/12/05 00:00:00,1435,6869,5897,515,260,69,128,59,51,1087,99,6872
543272,سياهکل - سنگر,1397/12/05 00:00:00,1397/12/06 00:00:00,1440,6376,5249,613,274,92,148,57,27,954,117,6376
543272,سياهکل - سنگر,1397/12/06 00:00:00,1397/12/07 00:00:00,1440,6346,5192,622,287,71,174,57,25,954,121,6346
543272,سياهکل - سنگر,1397/12/07 00:00:00,1397/12/08 00:00:00,1440,6632,5436,636,314,93,153,57,24,1015,114,6632
543272,سياهکل - سنگر,1397/12/08 00:00:00,1397/12/09 00:00:00,1440,6415,5254,630,309,76,146,56,27,1084,144,6415
543272,سياهکل - سنگر,1397/12/09 00:00:00,1397/12/10 00:00:00,1440,6508,5441,599,251,81,136,57,30,1080,200,6508
543272,سياهکل - سنگر,1397/12/10 00:00:00,1397/12/11 00:00:00,1440,8719,7940,401,199,64,115,59,20,2125,103,8719
543272,سياهکل - سنگر,1397/12/11 00:00:00,1397/12/12 00:00:00,1440,6983,5909,589,268,92,125,58,24,1130,103,6983
543272,سياهکل - سنگر,1397/12/12 00:00:00,1397/12/13 00:00:00,1440,6413,5145,700,315,76,177,56,33,1008,113,6413
543272,سياهکل - سنگر,1397/12/13 00:00:00,1397/12/14 00:00:00,1435,6196,4941,668,342,88,157,56,27,971,116,6229
543272,سياهکل - سنگر,1397/12/14 00:00:00,1397/12/15 00:00:00,1440,6373,5142,677,310,82,162,57,22,1026,124,6373
543272,سياهکل - سنگر,1397/12/15 00:00:00,1397/12/16 00:00:00,1440,6747,5466,737,289,90,165,58,50,1124,190,6747
543272,سياهکل - سنگر,1397/12/16 00:00:00,1397/12/17 00:00:00,1435,6940,5729,701,258,83,169,56,39,1353,151,6948
543272,سياهکل - سنگر,1397/12/17 00:00:00,1397/12/18 00:00:00,1440,8127,7356,409,192,52,118,58,28,1908,105,8127
543272,سياهکل - سنگر,1397/12/18 00:00:00,1397/12/19 00:00:00,1440,6759,5723,594,238,64,140,59,29,1045,113,6759
543272,سياهکل - سنگر,1397/12/19 00:00:00,1397/12/20 00:00:00,1440,6578,5370,686,296,74,152,55,20,949,125,6578
543272,سياهکل - سنگر,1397/12/20 00:00:00,1397/12/21 00:00:00,1410,6440,5243,680,265,90,162,56,21,1004,160,6591
543272,سياهکل - سنگر,1397/12/21 00:00:00,1397/12/22 00:00:00,980,5336,4190,634,281,80,151,54,12,860,147,6914
543272,سياهکل - سنگر,1397/12/22 00:00:00,1397/12/23 00:00:00,1440,6990,5721,690,332,93,154,55,19,1133,185,6990
543272,سياهکل - سنگر,1397/12/23 00:00:00,1397/12/24 00:00:00,1440,7455,6135,735,339,75,171,55,15,1358,226,7455
543272,سياهکل - سنگر,1397/12/24 00:00:00,1397/12/25 00:00:00,1440,8495,7406,623,235,87,144,56,24,1833,152,8495
543272,سياهکل - سنگر,1397/12/25 00:00:00,1397/12/26 00:00:00,1440,7856,6448,797,365,94,152,54,16,1402,144,7856
543272,سياهکل - سنگر,1397/12/26 00:00:00,1397/12/27 00:00:00,1345,6921,5694,702,318,78,129,54,19,1193,209,7409
543272,سياهکل - سنگر,1397/12/27 00:00:00,1397/12/28 00:00:00,1440,7303,6165,686,233,77,142,54,16,1325,292,7303
543272,سياهکل - سنگر,1397/12/28 00:00:00,1397/12/29 00:00:00,1435,6757,5983,492,167,48,67,57,22,1181,384,6788
543272,سياهکل - سنگر,1397/12/29 00:00:00,1398/01/01 00:00:00,1440,5576,5242,209,71,24,30,59,21,761,357,5576
