Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544551,سياهکل - لاهيجان,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,11346,9609,1200,141,6,390,48.0,10.0,1521.0,85.0,11346.0
544551,سياهکل - لاهيجان,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,11767,9913,1289,140,2,423,48.0,15.0,1263.0,78.0,11817.0
544551,سياهکل - لاهيجان,1401/12/03 00:00:00,1401/12/04 00:00:00,1400.0,12432,10629,1215,149,4,435,49.0,17.0,1621.0,75.0,12884.0
544551,سياهکل - لاهيجان,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,13263,11611,1150,132,5,365,48.0,18.0,1285.0,95.0,13263.0
544551,سياهکل - لاهيجان,1401/12/05 00:00:00,1401/12/06 00:00:00,1325.0,8765,7800,568,91,7,299,47.0,5.0,553.0,53.0,9439.0
544551,سياهکل - لاهيجان,1401/12/06 00:00:00,1401/12/07 00:00:00,1260.0,9093,7705,939,100,4,345,50.0,14.0,947.0,84.0,10997.0
544551,سياهکل - لاهيجان,1401/12/07 00:00:00,1401/12/08 00:00:00,1425.0,11106,9227,1271,155,2,451,50.0,22.0,1414.0,105.0,11285.0
544551,سياهکل - لاهيجان,1401/12/08 00:00:00,1401/12/09 00:00:00,1215.0,9232,7663,1099,129,2,339,49.0,12.0,1006.0,75.0,11337.0
544551,سياهکل - لاهيجان,1401/12/09 00:00:00,1401/12/10 00:00:00,1405.0,11203,9321,1278,162,5,437,46.0,8.0,1143.0,53.0,11560.0
544551,سياهکل - لاهيجان,1401/12/10 00:00:00,1401/12/11 00:00:00,1405.0,12249,10331,1327,139,4,448,46.0,6.0,1427.0,70.0,12516.0
544551,سياهکل - لاهيجان,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,13023,11249,1263,144,2,365,47.0,15.0,1346.0,92.0,13023.0
544551,سياهکل - لاهيجان,1401/12/12 00:00:00,1401/12/12 06:55:00,415.0,1130,856,184,30,0,60,52.0,6.0,65.0,24.0,10319.0
544551,سياهکل - لاهيجان,1401/12/23 16:00:00,1401/12/24 00:00:00,450.0,3899,3392,349,36,0,122,48.0,11.0,398.0,14.0,11794.0
544551,سياهکل - لاهيجان,1401/12/24 00:00:00,1401/12/25 00:00:00,1430.0,13526,11422,1449,174,1,480,46.0,7.0,1421.0,62.0,13623.0
544551,سياهکل - لاهيجان,1401/12/25 00:00:00,1401/12/26 00:00:00,1435.0,16262,14441,1281,112,4,424,45.0,5.0,1616.0,73.0,16301.0
544551,سياهکل - لاهيجان,1401/12/26 00:00:00,1401/12/27 00:00:00,1440.0,15992,14640,887,112,5,348,46.0,13.0,1384.0,111.0,15992.0
544551,سياهکل - لاهيجان,1401/12/27 00:00:00,1401/12/28 00:00:00,1390.0,16395,14960,1055,83,5,292,47.0,6.0,1926.0,87.0,17175.0
544551,سياهکل - لاهيجان,1401/12/28 00:05:00,1401/12/29 00:00:00,1095.0,17791,17005,594,62,1,129,44.0,17.0,1509.0,67.0,20112.0
544551,سياهکل - لاهيجان,1401/12/29 00:00:00,1402/01/01 00:00:00,1430.0,22143,21699,326,36,6,76,47.0,6.0,1702.0,152.0,22284.0
544551,سياهکل - لاهيجان,1402/01/01 00:00:00,1402/01/02 00:00:00,1440.0,18568,18385,122,20,1,40,43.0,13.0,928.0,113.0,18568.0
544551,سياهکل - لاهيجان,1402/01/02 01:05:00,1402/01/03 00:00:00,1370.0,18034,17826,164,16,4,24,38.0,7.0,611.0,82.0,18687.0
544551,سياهکل - لاهيجان,1402/01/03 00:00:00,1402/01/04 00:00:00,1435.0,19766,19454,224,24,6,58,39.0,8.0,1128.0,63.0,19809.0
544551,سياهکل - لاهيجان,1402/01/04 00:00:00,1402/01/05 00:00:00,1435.0,17794,17392,320,21,6,55,37.0,5.0,1073.0,43.0,17822.0
544551,سياهکل - لاهيجان,1402/01/05 00:00:00,1402/01/06 00:00:00,1440.0,18349,17798,434,26,3,88,39.0,9.0,1151.0,37.0,18349.0
544551,سياهکل - لاهيجان,1402/01/06 00:00:00,1402/01/07 00:00:00,1405.0,18706,18089,470,48,3,96,41.0,10.0,1344.0,35.0,18912.0
544551,سياهکل - لاهيجان,1402/01/07 00:00:00,1402/01/08 00:00:00,1390.0,17774,17054,525,50,5,140,41.0,7.0,1311.0,54.0,18518.0
544551,سياهکل - لاهيجان,1402/01/08 00:00:00,1402/01/09 00:00:00,1440.0,17619,16753,597,66,6,197,35.0,5.0,1014.0,54.0,17619.0
544551,سياهکل - لاهيجان,1402/01/09 00:00:00,1402/01/10 00:00:00,1325.0,16440,14506,1130,380,167,257,48.0,242.0,1704.0,50.0,17956.0
544551,سياهکل - لاهيجان,1402/01/10 00:00:00,1402/01/11 00:00:00,1390.0,16219,15340,603,98,20,158,46.0,53.0,1194.0,48.0,16969.0
544551,سياهکل - لاهيجان,1402/01/11 00:00:00,1402/01/12 00:00:00,985.0,8664,8373,180,21,3,87,46.0,0.0,419.0,23.0,12069.0
