Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
543234,شاقاجي - امامزاده هاشم,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,2662,2301,353,5,0,3,58,7,112,75,2662
543234,شاقاجي - امامزاده هاشم,1401/12/02 00:00:00,1401/12/03 00:00:00,1315,2383,2109,261,3,0,10,59,3,117,61,2747
543234,شاقاجي - امامزاده هاشم,1401/12/03 00:00:00,1401/12/04 00:00:00,1340,2599,2221,368,3,0,7,59,7,136,67,2856
543234,شاقاجي - امامزاده هاشم,1401/12/04 00:00:00,1401/12/05 00:00:00,1295,2772,2398,361,4,0,9,58,2,136,65,3028
543234,شاقاجي - امامزاده هاشم,1401/12/05 00:00:00,1401/12/06 00:00:00,1405,2052,2006,41,2,0,3,57,0,50,81,2084
543234,شاقاجي - امامزاده هاشم,1401/12/06 00:00:00,1401/12/07 00:00:00,1405,2798,2378,415,2,0,3,59,6,157,58,2848
543234,شاقاجي - امامزاده هاشم,1401/12/07 00:00:00,1401/12/08 00:00:00,1435,2697,2309,380,2,0,6,59,1,131,60,2709
543234,شاقاجي - امامزاده هاشم,1401/12/08 00:00:00,1401/12/09 00:00:00,1235,2058,1807,247,1,0,3,58,1,98,39,2677
543234,شاقاجي - امامزاده هاشم,1401/12/09 00:00:00,1401/12/10 00:00:00,1425,2739,2325,405,3,0,6,59,1,161,74,2787
543234,شاقاجي - امامزاده هاشم,1401/12/10 00:00:00,1401/12/11 00:00:00,1405,2784,2372,398,9,1,4,59,7,154,65,2835
543234,شاقاجي - امامزاده هاشم,1401/12/11 00:00:00,1401/12/12 00:00:00,1415,2764,2413,327,13,0,11,59,3,146,66,2837
543234,شاقاجي - امامزاده هاشم,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,2412,2353,52,3,0,4,60,6,99,66,2412
543234,شاقاجي - امامزاده هاشم,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,2744,2339,393,9,0,3,59,10,152,84,2744
543234,شاقاجي - امامزاده هاشم,1401/12/14 00:00:00,1401/12/15 00:00:00,1415,2800,2397,383,14,0,6,59,3,131,60,2813
543234,شاقاجي - امامزاده هاشم,1401/12/15 00:00:00,1401/12/16 00:00:00,1435,2818,2392,404,11,0,11,59,14,133,144,2834
543234,شاقاجي - امامزاده هاشم,1401/12/16 00:00:00,1401/12/17 00:00:00,1440,2646,2339,279,21,0,7,58,0,115,64,2646
543234,شاقاجي - امامزاده هاشم,1401/12/17 00:00:00,1401/12/18 00:00:00,1440,2356,2238,104,10,0,4,58,3,107,58,2356
543234,شاقاجي - امامزاده هاشم,1401/12/18 00:00:00,1401/12/19 00:00:00,1425,2726,2426,279,16,0,5,56,2,107,77,2726
543234,شاقاجي - امامزاده هاشم,1401/12/19 00:00:00,1401/12/20 00:00:00,1430,2687,2622,52,5,0,8,61,7,133,67,2719
543234,شاقاجي - امامزاده هاشم,1401/12/20 00:00:00,1401/12/21 00:00:00,1440,2779,2443,325,8,0,3,59,4,118,71,2779
543234,شاقاجي - امامزاده هاشم,1401/12/21 00:00:00,1401/12/22 00:00:00,1360,2546,2204,317,15,0,10,59,17,145,125,2808
543234,شاقاجي - امامزاده هاشم,1401/12/22 00:00:00,1401/12/23 00:00:00,1415,2724,2344,364,11,0,5,59,5,140,63,2755
543234,شاقاجي - امامزاده هاشم,1401/12/23 00:00:00,1401/12/24 00:00:00,1400,2803,2405,383,11,0,4,59,0,137,50,2908
543234,شاقاجي - امامزاده هاشم,1401/12/24 00:00:00,1401/12/25 00:00:00,1435,2642,2262,369,10,0,1,58,7,123,50,2655
543234,شاقاجي - امامزاده هاشم,1401/12/25 00:00:00,1401/12/26 00:00:00,1435,2936,2565,360,3,0,8,59,5,170,59,2941
543234,شاقاجي - امامزاده هاشم,1401/12/26 00:00:00,1401/12/27 00:00:00,1440,2416,2342,64,5,0,5,60,7,110,50,2416
543234,شاقاجي - امامزاده هاشم,1401/12/27 00:00:00,1401/12/28 00:00:00,1225,2120,1863,240,12,0,5,59,5,94,49,2842
543234,شاقاجي - امامزاده هاشم,1401/12/28 00:00:00,1401/12/29 00:00:00,1220,2797,2573,200,18,0,6,58,1,146,40,2870
543234,شاقاجي - امامزاده هاشم,1401/12/29 00:00:00,1401/12/29 02:55:00,175,67,67,0,0,0,0,55,0,0,2,536
543234,شاقاجي - امامزاده هاشم,1402/01/01 14:00:00,1402/01/02 00:00:00,570,1444,1433,8,1,0,2,54,0,75,30,2966
543234,شاقاجي - امامزاده هاشم,1402/01/02 01:05:00,1402/01/03 00:00:00,1370,2248,2227,15,2,1,3,56,1,82,43,2400
543234,شاقاجي - امامزاده هاشم,1402/01/03 00:00:00,1402/01/03 10:35:00,630,437,433,4,0,0,0,60,1,7,8,994
543234,شاقاجي - امامزاده هاشم,1402/01/14 02:15:00,1402/01/15 00:00:00,1305,4076,3901,162,2,0,11,60,10,270,81,4125
543234,شاقاجي - امامزاده هاشم,1402/01/15 00:00:00,1402/01/15 23:25:00,1400,2958,2798,158,0,0,2,60,4,160,40,2997
543234,شاقاجي - امامزاده هاشم,1402/01/16 00:10:00,1402/01/16 09:00:00,525,367,326,40,1,0,0,60,2,16,12,2638
543234,شاقاجي - امامزاده هاشم,1402/01/18 23:10:00,1402/01/19 00:00:00,50,46,46,0,0,0,0,55,0,0,0,2374
543234,شاقاجي - امامزاده هاشم,1402/01/19 00:00:00,1402/01/19 23:05:00,1380,2597,2358,227,7,0,5,59,6,134,50,2641
