Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
544359,صومعه سرا - فومن,1401/12/01 00:00:00,1401/12/02 00:00:00,1440,10956,9350,912,229,42,423,57,37,943,80,10956
544359,صومعه سرا - فومن,1401/12/02 00:00:00,1401/12/03 00:00:00,1405,10620,9142,879,170,93,336,56,54,785,56,10991
544359,صومعه سرا - فومن,1401/12/03 00:00:00,1401/12/04 00:00:00,1395,10287,8778,894,200,54,361,56,60,879,56,10765
544359,صومعه سرا - فومن,1401/12/04 00:00:00,1401/12/05 00:00:00,1335,10349,9012,791,129,97,320,51,17,998,48,11580
544359,صومعه سرا - فومن,1401/12/05 00:00:00,1401/12/06 00:00:00,1215,8227,7336,408,136,45,302,54,1,538,50,10006
544359,صومعه سرا - فومن,1401/12/06 00:00:00,1401/12/07 00:00:00,1375,11001,9441,896,179,51,434,54,19,1044,51,11525
544359,صومعه سرا - فومن,1401/12/07 00:00:00,1401/12/08 00:00:00,1415,10931,9372,918,208,53,380,57,53,948,84,11211
544359,صومعه سرا - فومن,1401/12/08 00:00:00,1401/12/09 00:00:00,1245,9096,7741,770,195,57,333,55,44,750,58,10843
544359,صومعه سرا - فومن,1401/12/09 00:00:00,1401/12/10 00:00:00,1415,10990,9401,926,233,71,359,55,31,1007,76,11261
544359,صومعه سرا - فومن,1401/12/10 00:00:00,1401/12/11 00:00:00,1390,10801,9144,981,203,63,410,54,26,1013,51,11172
544359,صومعه سرا - فومن,1401/12/11 00:00:00,1401/12/12 00:00:00,1435,11993,10411,917,177,75,413,52,14,1277,75,12061
544359,صومعه سرا - فومن,1401/12/12 00:00:00,1401/12/13 00:00:00,1440,11268,9958,678,149,104,379,54,27,1002,48,11268
544359,صومعه سرا - فومن,1401/12/13 00:00:00,1401/12/14 00:00:00,1440,11698,10170,896,166,64,402,50,35,869,101,11698
544359,صومعه سرا - فومن,1401/12/14 00:00:00,1401/12/15 00:00:00,1440,11263,9615,979,185,73,411,55,26,931,84,11263
544359,صومعه سرا - فومن,1401/12/15 00:00:00,1401/12/16 00:00:00,1390,10899,9212,943,236,62,446,53,22,973,105,11412
